weights,kv_loc,kv_evict_loc,requests,mean_ttft_ms,mean_tpot_ms,mean_e2e_ms,makespan_ms
npu,npu,cpu,8,607.280115375,17.789944625,1158.76841325,1182.818528
npu,npu,cxl:0,8,607.280115375,17.789944625,1158.76841325,1182.818528
npu,cxl:0,cpu,8,607.280115375,17.789944625,1158.76841325,1182.818528
npu,cxl:0,cxl:0,8,607.280115375,17.789944625,1158.76841325,1182.818528
cxl:0,npu,cpu,8,1655.23305875,268.571375625,9980.9457195,10485.778047
cxl:0,npu,cxl:0,8,1655.23305875,268.571375625,9980.9457195,10485.778047
cxl:0,cxl:0,cpu,8,1655.23305875,268.571375625,9980.9457195,10485.778047
cxl:0,cxl:0,cxl:0,8,1655.23305875,268.571375625,9980.9457195,10485.778047
