target,n,mae_ms,r2,abs_error_p50_ms,abs_error_p90_ms,abs_error_p95_ms,abs_error_p99_ms,test_scenario
ttft,900,107.37087054291791,0.10036455215191076,100.37057264059146,117.6429076720416,166.88841679142345,348.6250271676383,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
ttft,900,121.81521504576686,0.48944702395291084,99.11737360123183,115.59120146300614,228.04630624750033,497.3272915159325,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2
ttft,900,108.81042195683219,-0.3175811647656057,98.38606054592148,115.04478718188663,216.35144583273305,321.6283315157009,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3
ttft,900,437.20023859215945,-0.5995353779128063,107.28841937055404,484.6446806590443,2336.2416523680154,6743.082533775795,2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1
ttft,900,1169.1248314040351,0.30408776763891565,118.77658434005406,5421.291012614239,6722.774583216066,16457.306518683334,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1
ttft,900,1219.7875521527121,0.08344768383008272,121.60331969970446,6353.601562853444,7165.194107163017,9521.176769193087,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed2
ttft,900,741.345251947055,0.05122533723148914,114.4075925479433,1079.6978386496953,6479.851371455325,7369.610796444929,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed3
ttft,900,498.03581670620076,0.39206646316937177,32.173020923426634,350.66741502958786,5443.069237903985,7215.889174804847,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1
ttft,900,3395.6417218772203,0.16629416513495832,521.6848409621024,9262.323544585704,16702.180942285697,36191.10137037569,2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1
ttft,900,1484.1966062694441,0.2728831677798389,105.04944958584218,4409.227051021267,5408.343150135906,23895.601280014034,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1
ttft,900,1469.8010877932227,0.2421131541782937,100.26918288843308,3979.469372189315,5269.414041105884,23183.579817465037,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed2
ttft,900,1440.3469356015157,0.25600767966127846,100.25305283960847,4947.823699073756,5544.247748729331,16620.81425754786,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed3
ttft,900,761.9481180156954,0.30046610570691434,16.89666831723798,3705.209535467087,4629.215283420897,11820.55461580456,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1
ttft,900,756.064605719397,0.26604893981772204,17.54860464120577,3880.779540790033,4832.601466562024,10468.494507497948,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed2
ttft,900,436.9582374715234,-0.048152432272967616,14.604173550039945,1165.9398950637326,4302.608642060642,5073.239954397789,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed3
