series,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
A: all,300,1563.361328,24.383282,0.000000,416.307494,0.000000,2004.052103
B: all,300,18.967768,42.087829,0.000000,457.437566,0.049551,518.542715
B: redirected only,24,208.812563,138.987821,0.000000,833.197281,0.619393,1181.617058
B: not redirected only,276,2.459525,33.661743,0.000000,424.762808,0.000000,460.884076
C: all,300,5.274225,29.943302,25.337213,426.482630,0.049551,487.086922
C: handoff only,24,44.475644,71.546998,316.715168,479.399110,0.619393,912.756314
C: no handoff only,276,1.865406,26.325589,0.000000,421.881197,0.000000,450.072193
