workload,workload_label,arm,logical_instances,mean_utilization_pct,min_utilization_pct,max_utilization_pct,std_utilization_pct,cv_utilization,completed_batch_count
input512_reuse00,512 / reuse 0%,PP1: 10 replicas,10,91.44758947782847,84.52213694375355,98.8244614022761,4.798325305752853,0.05247076859162275,52427
input512_reuse00,512 / reuse 0%,PP2: 5 groups,5,96.38988331636101,93.59140029070916,98.83553941085864,1.7917460822495277,0.01858852838703873,50210
input2000_reuse025,2000 / reuse 25%,PP1: 10 replicas,10,91.80456178629159,85.17146627988751,98.73777866891972,4.446864905625926,0.04843838714657357,48414
input2000_reuse025,2000 / reuse 25%,PP2: 5 groups,5,96.162883562375,93.23302852643974,98.84668339929598,1.8959888594538588,0.01971643100972577,44442
input6000_reuse05,6000 / reuse 50%,PP1: 10 replicas,10,93.09020563891825,85.62443069824414,98.21778821599824,3.404700990877697,0.03657421280262263,40042
input6000_reuse05,6000 / reuse 50%,PP2: 5 groups,5,96.30171492981671,93.76207864495775,98.87269328537688,1.8409176581254358,0.019116146160710324,33491
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,10,94.18892313533674,90.54446789249178,96.2887557787408,1.7852206073831378,0.018953615223076894,33069
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,5,97.57720833571025,95.78548720027992,98.9110436123181,1.1369357278753738,0.011651652545375089,24493
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,10,94.88755314599273,91.45863486477536,98.8672244340824,1.8916907223518729,0.019936131343184102,36184
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,5,96.27162267828572,93.70415381778444,98.90440580067464,1.9214346170473071,0.01995847336518086,27311
mixed_rate3p33_seed1,Mixed / burst,PP1: 10 replicas,10,91.1584437261995,84.46707719776968,98.66002203764435,4.140116443859845,0.04541670825683425,38430
mixed_rate3p33_seed1,Mixed / burst,PP2: 5 groups,5,96.27371072429483,89.25908189018593,99.93002381077405,3.7563640429143303,0.039017547102465695,31238
