pp,instances,rows,rerouted,total_latency_s,req_per_s,prompt_tok_per_s,gen_tok_per_s,total_tok_per_s,req_mean_ttft_ms,req_mean_e2e_ttft_ms,req_mean_queue_ms,req_mean_prefill_ms,req_mean_other_ttft_ms,req_mean_extra_comm_ms,req_mean_comm_ms,req_mean_decode_ms,log_mean_ttft_ms,log_mean_e2e_ttft_ms,log_mean_queue_ms,log_mean_prefill_ms,log_mean_other_ttft_ms,log_mean_extra_comm_ms,log_mean_decode_ms
1,12,300,44,38.912,7.71,29759.34,2155.55,31914.89,392.04675746576333,441.9430670566667,82.79163209909666,309.2551253666667,0.0,49.89630959090334,30.41982109090335,8567.599417533334,394.5075,443.51500000000004,83.74083333333333,310.76666666666665,0.0,49.00750000000005,8568.560833333333
2,6,300,0,44.282,6.77,26150.44,1894.15,28044.58,398.5614866,399.84552410000003,62.11467052333333,336.44681607666666,0.0,1.2840375000000108,1.2840375,10708.18988699,398.82166666666666,400.10833333333335,61.76833333333334,337.055,0.0,1.2866666666666902,10684.305
3,4,300,0,49.689,6.04,23304.92,1688.04,24992.95,427.0749972,428.3590347,49.599662493333334,377.4753347066667,0.0,1.2840375000000108,1.2840375,14570.925123276667,422.0875,423.37,48.307500000000005,373.78000000000003,0.0,1.2825000000000273,14459.25
