layer,sequences,time_us
lm_head,1,289.282
lm_head,2,291.52
lm_head,3,289.824
lm_head,4,289.793
lm_head,5,294.303
lm_head,6,292.928
lm_head,7,290.369
lm_head,8,292.128
lm_head,9,295.616
lm_head,10,295.137
lm_head,11,296.418
lm_head,12,297.535
lm_head,13,296.224
lm_head,14,294.753
lm_head,15,296.543
lm_head,16,295.201
lm_head,20,297.279
lm_head,24,298.048
lm_head,28,298.816
lm_head,32,297.824
lm_head,36,302.562
lm_head,40,300.32
lm_head,44,300.641
lm_head,48,302.24
lm_head,52,308.704
lm_head,56,309.823
lm_head,60,309.056
lm_head,64,313.568
lm_head,80,312.354
lm_head,96,309.249
lm_head,112,310.178
lm_head,128,312.737
lm_head,144,316.896
lm_head,160,317.216
lm_head,176,321.121
lm_head,192,322.048
lm_head,208,328.257
lm_head,224,343.969
lm_head,240,352.609
lm_head,256,358.977
sampler,1,31.872
sampler,2,32.864
sampler,3,32.033
sampler,4,32.64
sampler,5,32.48
sampler,6,32.64
sampler,7,32.672
sampler,8,32.384
sampler,9,34.208
sampler,10,34.016
sampler,11,34.144
sampler,12,34.176
sampler,13,34.784
sampler,14,35.328
sampler,15,34.753
sampler,16,34.56
sampler,20,36.704
sampler,24,37.76
sampler,28,39.36
sampler,32,39.936
sampler,36,41.536
sampler,40,42.624
sampler,44,44.032
sampler,48,47.84
sampler,52,53.056
sampler,56,56.64
sampler,60,58.784
sampler,64,61.856
sampler,80,70.656
sampler,96,80.193
sampler,112,88.608
sampler,128,96.352
sampler,144,104.448
sampler,160,111.36
sampler,176,118.848
sampler,192,125.983
sampler,208,133.313
sampler,224,140.288
sampler,240,147.968
sampler,256,155.489
