arrival_window_s,policy,requests,redirects,e2e_ttft_mean_ms,e2e_ttft_p50_ms,e2e_ttft_p95_ms,e2e_ttft_p99_ms,e2e_ttft_max_ms,router_queue_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,kv_transfer_mean_ms,completion_mean_ms,completion_p95_ms
90,NEAREST_KV,300,0,13426.594585653333,6106.4565695,71145.5095039,81904.41043967998,84917.961827,12615.266391193332,55.73375643000001,755.59443803,0.0,33000.50791345667,89041.8522681
180,NEAREST_KV,300,0,3046.325454836667,725.744324,18954.062672550004,25183.17262452995,33395.518623,2277.2929256566667,33.78821524,735.2443139400001,0.0,19896.440457616667,39098.907457450005
90,NEAREST_MIGRATE,300,86,12913.477852043334,7421.7391025,51970.74813375002,73593.02611975996,83543.556438,11924.574503689999,65.12486504666666,923.5974948733335,0.0,33381.42541313,74279.34407215001
180,NEAREST_MIGRATE,300,33,967.5296997966666,726.193299,1907.8696057000002,4711.75230307998,8204.572349,114.28774707333332,45.37427618,807.7982274933333,0.0,17976.675597233334,24100.968600450004
90,NEAREST_MIGRATE_KV,300,91,10835.041348536666,5761.252689999999,40670.77768340002,50475.98386751999,60210.233202,9852.901760186667,62.75633506066639,758.9643534033332,160.2273888693333,30467.985003963335,61278.20149485
180,NEAREST_MIGRATE_KV,300,28,874.3591289866665,725.269544,1394.8246128500007,2639.3098458499876,4975.987426,50.464761200000225,35.2459928999485,739.2887133833333,49.300735036717946,17554.316002246665,23400.2383021
