policy,requests,redirects,e2e_ttft_mean_ms,e2e_ttft_p50_ms,e2e_ttft_p95_ms,e2e_ttft_p99_ms,e2e_ttft_max_ms,router_queue_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,completion_mean_ms,completion_p95_ms
NEAREST_KV,300,0,68.43723906999999,68.5396415,81.1227384,87.27350461999998,103.240476,0.0,9.080772993333333,59.35646607666667,12220.390883113334,14971.7874955
NEAREST_MIGRATE,300,0,68.43723906999999,68.5396415,81.1227384,87.27350461999998,103.240476,0.0,9.080772993333333,59.35646607666667,12220.390883113334,14971.7874955
NEAREST_MIGRATE_KV,300,0,68.43723906999999,68.5396415,81.1227384,87.27350461999998,103.240476,0.0,9.080772993333333,59.35646607666667,12220.390883113334,14971.7874955
