series,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
A: all,300,4183.466152,30.307458,0.000000,425.899389,0.000000,4639.672999
B: all,300,2468.587921,57.829353,0.000000,514.327975,0.132137,3040.877386
B: redirected only,64,6047.645896,98.349023,0.000000,815.793755,0.619393,6962.408067
B: not redirected only,236,1497.995927,46.840968,0.000000,432.574543,0.000000,1977.411439
C: all,300,2063.375998,40.155137,65.454468,444.686640,0.128008,2613.800251
C: handoff only,62,5982.826071,78.161980,316.715168,501.186616,0.619393,6879.509228
C: no handoff only,238,1042.342785,30.254195,0.000000,429.968159,0.000000,1502.565139
