method,peak_nx,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,rerouted_requests,mean_router_capacity_wait_ms,p95_router_capacity_wait_ms,mean_scheduler_queue_ms,mean_compute_prefill_ms,mean_rtt_other_comm_ms,mean_residual_ms
local_only,5,600,608.2226305066666,212.465684,2163.429851,3331.3007711699934,0,548.7243835883334,2081.7595274999994,8.15278532,50.06131488166667,1.2842559333333334,6.751666666666666e-05
redirect_cold,5,600,959.5106968466667,813.6376265,2759.23025,2977.20316238,358,875.41490746,2659.6194786,4.905201598333334,73.16910601000001,1.6495826366666668,4.371969516666667
local_only,6,600,1110.3237609583334,627.8313559999999,3729.3754925999997,6513.116139389998,0,1051.96582274,3675.5132844499994,8.849795871666666,48.223995630000005,1.2842559333333334,6.751666666666666e-05
redirect_cold,6,600,1757.395339815,1633.336675,4562.755536199999,4837.5049405,379,1672.3887144583332,4485.74026025,5.00432904,73.73329760333334,1.6710486216666667,4.5980184883333335
local_only,7,600,1641.326276095,1250.0645064999999,4859.646583249999,7532.73056304,0,1580.8220267133333,4796.456604249998,9.224943798333333,49.995158866666664,1.2842559333333334,6.751666666666666e-05
redirect_cold,7,600,2377.6027011816664,2168.7087954999997,5924.6790462,6193.6853903,416,2284.6974851466666,5804.44261205,5.5530532416666665,79.88314392833333,1.7088531100000002,5.760222565
local_only,8,600,2025.9323473433335,1730.235667,5619.697057249999,7824.384647829996,0,1965.2814810799998,5535.972273099997,9.590511451666666,49.776208095,1.2842559333333334,6.751666666666666e-05
redirect_cold,8,600,2908.7573062266665,2716.646434,6914.637241899999,7357.77090922,423,2817.0986548166666,6820.691179699998,6.28454882,78.13271175833334,1.7159253466666666,5.525525611666667
local_only,9,600,2383.841524853333,2106.362175,6665.885534499999,8574.945787489996,0,2322.2644557816666,6606.22894785,10.312221521666666,49.98070083333334,1.2842559333333334,6.751666666666666e-05
redirect_cold,9,600,3296.2490676899997,3099.8364495,7646.557192599999,8092.93817844,429,3200.62207227,7566.7915027,7.728612503333333,80.62227695666667,1.7220993733333332,5.5540562
local_only,10,600,2686.394325115,2399.160143,7143.358573899997,8651.474680959998,0,2622.7082644633333,7092.054685249998,10.52386934,51.878044595,1.2842559333333334,6.751666666666666e-05
redirect_cold,10,600,3584.6599648450006,3455.217676,8238.265211649998,8669.98583801,425,3491.0459281999997,8136.192392949998,6.140637813333333,80.69497093833333,1.7179662216666667,5.061418440000001
