arm,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,max_ttft_ms,redirects,Router queue,Scheduler queue,KV transfer,PP transfer (est.),Compute / prefill,RTT / other comm,Total
1: no_redirect,300,2548.661259706667,1604.4419455,8059.835555650005,11625.585476889994,14798.896854,0,1532.1238027833335,600.4713061900002,0.0,0.0,414.7821132333333,1.2840375,2548.661259706667
2: redirect_no_kv,300,2613.8500932566676,1876.705586,7741.48788425,9243.609842579997,11272.358746,67,1455.1951712766663,695.0793088899998,0.0,0.0,462.15489070333325,1.420722386666666,2613.850093256666
3: redirect_kv_nopp,300,2323.465940796667,1831.7732265,6408.74388245,7061.508845359997,7733.904606,105,1196.2273023666662,634.4533470377239,70.28608750479289,0.0,421.13010734666653,1.4983587666666836,2323.465940796666
4: redirect_kv_pp2,300,1907.7476663266673,1871.0018380000001,3614.82258245,3843.8764238,3893.890789,0,0.0,1376.3151523466652,0.0,1.9963200000000005,528.15215648,1.2840375,1907.7476663266661
