arm,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,max_ttft_ms,redirects,Router queue,Scheduler queue,KV transfer,PP transfer (est.),Compute / prefill,RTT / other comm,Total
1: no_redirect,300,446.9104001133335,269.507382,1737.7890743500013,2886.7231609699993,3923.429064,0,136.94978322999998,42.79047028333334,0.0,0.0,265.88610910000006,1.2840375,446.9104001133334
2: redirect_no_kv,300,349.00853012333323,267.944482,755.8477861000002,1063.8335906999998,1122.388046,15,0.0,54.54605562,0.0,0.0,293.14780893000005,1.3146655733333334,349.00853012333334
3: redirect_kv_nopp,300,325.2578826233334,255.18049050000002,625.7277824000001,842.6927662799992,1437.006044,12,0.0,45.744089863049325,8.50614907695069,0.0,269.6990840466667,1.3085596366666756,325.2578826233333
4: redirect_kv_pp2,300,312.1576911766668,272.50048549999997,558.9123911500001,614.3349644799999,822.338735,0,0.0,33.06742917333332,0.0,1.996320000000001,275.8099045033331,1.2840375,312.1576911766666
