method,label,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,ttft_slo_2s_percent,rerouted_requests,rerouted_percent,mean_queueing_ms,p95_queueing_ms,mean_prefill_ms,mean_kv_migration_ms_redirected,mean_kv_migration_ms_all_requests,mean_rtt_other_communication_ms
local_only,Local only,600,1558.0592830616667,315.99652249999997,5318.133409299999,10856.34003529,70.33333333333334,0,0.0,1509.09617693,5277.990916350001,47.678959415,0.0,0.0,1.2842559333333334
redirect_cold,Naive cold redirect,600,985.3224602816667,730.7635204999999,2730.8903702499993,3016.19358995,82.16666666666667,358,59.66666666666667,116.28694118833333,1180.4963050499994,71.86415500833334,0.0,0.0,1.6496584183333332
kv_redirect,KV redirect,600,649.2116283716667,550.7415954999999,1913.4526797999986,2689.78082439,95.33333333333334,355,59.166666666666664,66.92225984038058,501.47536264999957,49.79750284833334,190.10704451766665,112.4800013396194,1.6465818116666668
pp2,PP=2,600,976.6447819950001,82.92557450000001,3470.422106599998,4814.329612369999,78.5,0,0.0,924.1870139583334,3413.0544426999995,51.17362132,0.0,0.0,1.2842559333333334
proposed,KV redirect + PP=2,600,117.06701392333333,60.763179,384.53837684999957,514.4429171599999,100.0,126,21.0,11.04400726583838,27.900391990328583,53.63298599,193.51660111505538,40.63848623416163,1.412898215
