instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,user_id,gpu_id,user_x_m,user_y_m,gpu_x_m,gpu_y_m,distance_m,network_throughput_mbps,request_payload_bytes,first_token_payload_bytes,uplink_distance_latency_ns,uplink_serialization_latency_ns,uplink_latency_ns,downlink_distance_latency_ns,downlink_serialization_latency_ns,downlink_latency_ns,communication_latency_ns,request_send_time_ns,gpu_arrival_time_ns,first_schedule_time_ns,first_token_ready_time_ns,first_token_received_time_ns,request_end_time_ns,queueing_before_ttft_ns,prefill_service_ns,simulator_ttft_ns,e2e_ttft_ns,decode_queueing_ns,decode_active_ns,decode_after_ttft_ns,request_completion_latency_ns,ttft_bottleneck,total_latency_bottleneck,communication_ratio,queueing_ratio,prefill_ratio,decode_ratio,nearest_gpu_id,rerouted,reject_penalty_ns,migration_latency_ns,redirect_capacity_reason,capacity_running_reqs,capacity_max_num_seqs,capacity_required_kv_bytes,capacity_free_npu_bytes,failover_mode,failed_instance_id,failover_target_instance_id,reuse_prefix_toks,kv_migration_tokens,kv_migration_bytes,kv_migration_latency_ns,kv_migration_distance_latency_ns,kv_migration_serialization_latency_ns,kv_migration_bandwidth_gbps,kv_migration_distance_m
4,0,meta-llama/Llama-3.1-8B,16000,1,0,1224159068,1224159068,895906474,1224159068,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,1,1224159068,1224159068,1224159068,1,1224159067,1224159068,1224159068,0,0,0,1224159068,prefill,prefill,0.0,8.168873034072072e-10,0.9999999991831127,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
4,1,meta-llama/Llama-3.1-8B,16000,1,0,3416141627,3416141627,3085433321,3416141627,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,895906474,3416141627,3416141627,3416141627,895906474,2520235153,3416141627,3416141627,0,0,0,3416141627,prefill,prefill,0.0,0.26225683002105815,0.7377431699789418,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
4,2,meta-llama/Llama-3.1-8B,16000,1,0,5637288444,5637288444,5304188522,5637288444,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,3085433321,5637288444,5637288444,5637288444,3085433321,2551855123,5637288444,5637288444,0,0,0,5637288444,queueing,queueing,0.0,0.5473257846658449,0.4526742153341551,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
4,3,meta-llama/Llama-3.1-8B,16000,1,0,7886048289,7886048289,7550617519,7886048289,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,5304188522,7886048289,7886048289,7886048289,5304188522,2581859767,7886048289,7886048289,0,0,0,7886048289,queueing,queueing,0.0,0.6726041139512987,0.32739588604870135,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
4,4,meta-llama/Llama-3.1-8B,16000,1,0,10182033128,10182033128,9837576790,10182033128,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,7550617519,10182033128,10182033128,10182033128,7550617519,2631415609,10182033128,10182033128,0,0,0,10182033128,queueing,queueing,0.0,0.7415628513559085,0.2584371486440915,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
4,5,meta-llama/Llama-3.1-8B,16000,1,0,12146501688,12146501688,11817413963,12146501688,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,9837576790,12146501688,12146501688,12146501688,9837576790,2308924898,12146501688,12146501688,0,0,0,12146501688,queueing,queueing,0.0,0.8099102970297138,0.1900897029702862,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
4,6,meta-llama/Llama-3.1-8B,16000,1,0,14349811387,14349811387,14015195435,14349811387,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,11817413963,14349811387,14349811387,14349811387,11817413963,2532397424,14349811387,14349811387,0,0,0,14349811387,queueing,queueing,0.0,0.823523992357545,0.17647600764245502,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
4,7,meta-llama/Llama-3.1-8B,16000,1,0,16604173238,16604173238,16264094243,16604173238,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,14015195435,16604173238,16604173238,16604173238,14015195435,2588977803,16604173238,16604173238,0,0,0,16604173238,queueing,queueing,0.0,0.8440766808506361,0.15592331914936383,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
4,8,meta-llama/Llama-3.1-8B,16000,1,0,18687052795,18687052795,18546436611,18687052795,0,[],8,4,4752.8237809873135,5498.035934949439,3333.333,5000.0,1504.3250545706321,10700.0,64500,100.0,0,0,0,0,0,0,0,0,0,16264094243,18687052795,18687052795,18687052795,16264094243,2422958552,18687052795,18687052795,0,0,0,18687052795,queueing,queueing,0.0,0.8703402522280935,0.12965974777190648,0.0,4,0,0,0,,,,,,local_kv,4,4,8000,8000,1048576000,0,0,0,0,0
5,9,meta-llama/Llama-3.1-8B,16000,1,846677403.9597633,2106568031,1259890627.0402367,890542705.0402367,1259890627.0402367,0,[],8,5,4752.8237809873135,5498.035934949439,3333.333,5000.0,1977.583287616935,10700.0,64500,100.0,0,0,0,300500,75,300575,846977977.9597633,0,846677403.9597633,849337181,2106568031,2106868606,2106568031,2659777.0402367115,1257230850,1259890627.0402367,2106868606,0,0,0,2106568031,prefill,prefill,0.40200797332578,0.0012624313798803373,0.5967295952943397,0.0,4,1,0,348724,npu_memory,0,128,1317011456,272097280,migrate_kv,4,5,8000,8000,1048576000,846328678.9597633,300500,783982056,10.7,10000.0
