policy,home_gpu_id,destination_gpu_id,redirected,request_count,home_request_count,share_of_home_requests
NEAREST_KV,0,0,0,24,24,1.000000
NEAREST_KV,1,1,0,30,30,1.000000
NEAREST_KV,2,2,0,22,22,1.000000
NEAREST_KV,3,3,0,35,35,1.000000
NEAREST_KV,4,4,0,49,49,1.000000
NEAREST_KV,5,5,0,25,25,1.000000
NEAREST_KV,6,6,0,30,30,1.000000
NEAREST_KV,7,7,0,29,29,1.000000
NEAREST_KV,8,8,0,30,30,1.000000
NEAREST_KV,9,9,0,26,26,1.000000
NEAREST_MIGRATE,0,0,0,19,24,0.791667
NEAREST_MIGRATE,0,1,1,4,24,0.166667
NEAREST_MIGRATE,0,3,1,1,24,0.041667
NEAREST_MIGRATE,1,0,1,5,30,0.166667
NEAREST_MIGRATE,1,1,0,25,30,0.833333
NEAREST_MIGRATE,2,2,0,22,22,1.000000
NEAREST_MIGRATE,3,0,1,3,35,0.085714
NEAREST_MIGRATE,3,3,0,29,35,0.828571
NEAREST_MIGRATE,3,4,1,3,35,0.085714
NEAREST_MIGRATE,4,4,0,31,49,0.632653
NEAREST_MIGRATE,4,5,1,18,49,0.367347
NEAREST_MIGRATE,5,5,0,9,25,0.360000
NEAREST_MIGRATE,5,8,1,7,25,0.280000
NEAREST_MIGRATE,5,9,1,9,25,0.360000
NEAREST_MIGRATE,6,5,1,1,30,0.033333
NEAREST_MIGRATE,6,6,0,29,30,0.966667
NEAREST_MIGRATE,7,7,0,25,29,0.862069
NEAREST_MIGRATE,7,8,1,4,29,0.137931
NEAREST_MIGRATE,8,5,1,2,30,0.066667
NEAREST_MIGRATE,8,7,1,5,30,0.166667
NEAREST_MIGRATE,8,8,0,23,30,0.766667
NEAREST_MIGRATE,9,5,1,1,26,0.038462
NEAREST_MIGRATE,9,8,1,1,26,0.038462
NEAREST_MIGRATE,9,9,0,24,26,0.923077
NEAREST_MIGRATE_KV,0,0,0,22,24,0.916667
NEAREST_MIGRATE_KV,0,1,1,1,24,0.041667
NEAREST_MIGRATE_KV,0,3,1,1,24,0.041667
NEAREST_MIGRATE_KV,1,0,1,4,30,0.133333
NEAREST_MIGRATE_KV,1,1,0,26,30,0.866667
NEAREST_MIGRATE_KV,2,2,0,22,22,1.000000
NEAREST_MIGRATE_KV,3,0,1,3,35,0.085714
NEAREST_MIGRATE_KV,3,3,0,29,35,0.828571
NEAREST_MIGRATE_KV,3,4,1,3,35,0.085714
NEAREST_MIGRATE_KV,4,4,0,30,49,0.612245
NEAREST_MIGRATE_KV,4,5,1,19,49,0.387755
NEAREST_MIGRATE_KV,5,5,0,12,25,0.480000
NEAREST_MIGRATE_KV,5,8,1,6,25,0.240000
NEAREST_MIGRATE_KV,5,9,1,7,25,0.280000
NEAREST_MIGRATE_KV,6,5,1,3,30,0.100000
NEAREST_MIGRATE_KV,6,6,0,27,30,0.900000
NEAREST_MIGRATE_KV,7,7,0,24,29,0.827586
NEAREST_MIGRATE_KV,7,8,1,5,29,0.172414
NEAREST_MIGRATE_KV,8,5,1,3,30,0.100000
NEAREST_MIGRATE_KV,8,7,1,6,30,0.200000
NEAREST_MIGRATE_KV,8,8,0,21,30,0.700000
NEAREST_MIGRATE_KV,9,8,1,1,26,0.038462
NEAREST_MIGRATE_KV,9,9,0,25,26,0.961538
