request id,output_toks,user_id,home_gpu,send_time_s,A_target_gpu,A_rerouted,A_e2e_ttft_ms,A_completion_ms,A_prefill_ms,A_queue_wait_ms,B_target_gpu,B_rerouted,B_e2e_ttft_ms,B_completion_ms,B_prefill_ms,B_queue_wait_ms,C_target_gpu,C_rerouted,C_e2e_ttft_ms,C_completion_ms,C_prefill_ms,C_queue_wait_ms,delta_B_minus_A_ttft_ms,delta_C_minus_A_ttft_ms,delta_C_minus_B_ttft_ms,delta_C_minus_B_completion_ms,redirect_group
0,595,17,8,0.0,8,0,361.609295,14822.428594,361.609295,0.0,8,0,361.609295,14822.428594,361.609295,0.0,8,0,361.609295,14822.428594,361.609295,0.0,0.0,0.0,0.0,0.0,neither
1,715,6,3,0.8035215,3,0,361.719017,17474.484929,361.609295,0.109722,3,0,361.719017,17474.484929,361.609295,0.109722,3,0,361.719017,17474.484929,361.609295,0.109722,0.0,0.0,0.0,0.0,neither
2,601,16,8,0.849218431,8,0,390.809073,15177.88895,373.923251,16.885822,8,0,390.809073,15177.88895,373.923251,16.885822,8,0,390.809073,15177.88895,373.923251,16.885822,0.0,0.0,0.0,0.0,neither
3,586,11,5,0.867394168,5,0,362.013082,12581.205105,361.609295,0.403787,5,0,362.013082,16844.019722,361.609295,0.403787,5,0,362.013082,13423.208738,361.609295,0.403787,0.0,0.0,0.0,-3420.8109840000016,neither
4,566,3,1,0.966715458,1,0,361.924247,15373.723153,361.609295,0.314952,1,0,361.924247,15373.723153,361.609295,0.314952,1,0,361.924247,15373.723153,361.609295,0.314952,0.0,0.0,0.0,0.0,neither
5,736,15,7,1.049036523,7,0,361.695665,18569.886941,361.609295,0.08637,7,0,361.695665,18569.886941,361.609295,0.08637,7,0,361.695665,18569.886941,361.609295,0.08637,0.0,0.0,0.0,0.0,neither
6,692,17,8,1.503957629,8,0,534.34944,17160.933764,532.646267,1.703173,8,0,534.34944,17160.933764,532.646267,1.703173,8,0,534.34944,17160.933764,532.646267,1.703173,0.0,0.0,0.0,0.0,neither
7,769,6,3,1.558861811,3,0,380.400303,18484.530336,373.912083,6.48822,3,0,380.400303,18484.530336,373.912083,6.48822,3,0,380.400303,18484.530336,373.912083,6.48822,0.0,0.0,0.0,0.0,neither
8,588,0,0,1.576667721,0,0,361.696056,15593.711643,361.609295,0.086761,0,0,361.696056,15593.711643,361.609295,0.086761,0,0,361.696056,15593.711643,361.609295,0.086761,0.0,0.0,0.0,0.0,neither
9,589,17,8,1.738136544,8,0,545.984654,14400.504996,532.117761,13.866893,8,0,545.984654,14400.504996,532.117761,13.866893,8,0,545.984654,14400.504996,532.117761,13.866893,0.0,0.0,0.0,0.0,neither
10,542,11,5,1.894486413,5,0,387.341634,11493.49601,373.941779,13.399855,5,0,387.341634,15735.650373,373.941779,13.399855,5,0,387.341634,12329.507716,373.941779,13.399855,0.0,0.0,0.0,-3406.1426570000003,neither
11,770,0,0,1.924509702,0,0,538.41724,19300.430518,524.563165,13.854075,0,0,538.41724,19300.430518,524.563165,13.854075,0,0,538.41724,19300.430518,524.563165,13.854075,0.0,0.0,0.0,0.0,neither
12,537,3,1,2.008602807,1,0,540.537679,14995.918703,524.622781,15.914898,1,0,540.537679,14995.918703,524.622781,15.914898,1,0,540.537679,14995.918703,524.622781,15.914898,0.0,0.0,0.0,0.0,neither
13,541,1,0,2.097977729,0,0,645.068141,14044.580979,560.327803,84.740338,0,0,645.068141,14044.580979,560.327803,84.740338,0,0,645.068141,14044.580979,560.327803,84.740338,0.0,0.0,0.0,0.0,neither
14,556,2,1,2.166310708,1,0,625.324836,15669.683235,522.718365,102.606471,1,0,625.324836,15669.683235,522.718365,102.606471,1,0,625.324836,15669.683235,522.718365,102.606471,0.0,0.0,0.0,0.0,neither
15,576,8,4,2.247978507,4,0,361.615192,17858.513371,361.609295,0.005897,4,0,361.615192,17858.513371,361.609295,0.005897,4,0,361.615192,17858.513371,361.609295,0.005897,0.0,0.0,0.0,0.0,neither
16,767,0,0,2.334326472,0,0,777.272937,18890.613748,648.672467,128.60047,0,0,777.272937,18890.613748,648.672467,128.60047,0,0,777.272937,18890.613748,648.672467,128.60047,0.0,0.0,0.0,0.0,neither
17,530,18,9,2.558457902,9,0,361.631079,12554.944869,361.609295,0.021784,9,0,361.631079,12554.944869,361.609295,0.021784,9,0,361.631079,12554.944869,361.609295,0.021784,0.0,0.0,0.0,0.0,neither
18,761,15,7,2.773984979,7,0,385.281718,20031.092915,374.015667,11.266051,7,0,385.281718,20031.092915,374.015667,11.266051,7,0,385.281718,20031.092915,374.015667,11.266051,0.0,0.0,0.0,0.0,neither
19,681,12,6,2.833393691,6,0,361.637312,16504.26324,361.609295,0.028017,6,0,361.637312,16504.26324,361.609295,0.028017,6,0,361.637312,16504.26324,361.609295,0.028017,0.0,0.0,0.0,0.0,neither
20,719,5,2,3.325895111,2,0,361.611365,16904.534794,361.609295,0.00207,2,0,361.611365,16904.534794,361.609295,0.00207,2,0,361.611365,16904.534794,361.609295,0.00207,0.0,0.0,0.0,0.0,neither
21,525,15,7,3.787292381,7,0,394.854576,12920.780995,377.435974,17.418602,7,0,394.854576,12920.780995,377.435974,17.418602,7,0,394.854576,12920.780995,377.435974,17.418602,0.0,0.0,0.0,0.0,neither
22,533,8,4,3.832315534,4,0,386.576722,17485.230015,374.000915,12.575807,4,0,386.576722,17485.230015,374.000915,12.575807,4,0,386.576722,17485.230015,374.000915,12.575807,0.0,0.0,0.0,0.0,neither
23,550,2,1,3.95997908,1,0,400.061187,15558.789687,380.988721,19.072466,1,0,400.061187,15558.789687,380.988721,19.072466,1,0,400.061187,15558.789687,380.988721,19.072466,0.0,0.0,0.0,0.0,neither
24,578,6,3,4.040358173,3,0,383.8779,14260.979852,377.525094,6.352806,3,0,383.8779,14260.979852,377.525094,6.352806,3,0,383.8779,14260.979852,377.525094,6.352806,0.0,0.0,0.0,0.0,neither
25,758,12,6,4.270625852,6,0,377.071206,19424.394131,373.984339,3.086867,6,0,377.071206,19424.394131,373.984339,3.086867,6,0,377.071206,19424.394131,373.984339,3.086867,0.0,0.0,0.0,0.0,neither
26,545,14,7,4.284434374,7,0,399.451196,13429.011928,380.951025,18.500171,7,0,399.451196,13429.011928,380.951025,18.500171,7,0,399.451196,13429.011928,380.951025,18.500171,0.0,0.0,0.0,0.0,neither
27,754,8,4,4.86211655,4,0,379.609758,25229.960878,377.42839,2.181368,4,0,379.609758,25188.631987,377.42839,2.181368,4,0,379.609758,25188.631987,377.42839,2.181368,0.0,0.0,0.0,0.0,neither
28,769,3,1,5.47844441,1,0,396.148228,22459.727519,383.690577,12.457651,1,0,396.148228,22459.727519,383.690577,12.457651,1,0,396.148228,22459.727519,383.690577,12.457651,0.0,0.0,0.0,0.0,neither
