request id,output_toks,user_id,home_gpu,send_time_s,A_target_gpu,A_rerouted,A_e2e_ttft_ms,A_completion_ms,A_prefill_ms,A_queue_wait_ms,B_target_gpu,B_rerouted,B_e2e_ttft_ms,B_completion_ms,B_prefill_ms,B_queue_wait_ms,C_target_gpu,C_rerouted,C_e2e_ttft_ms,C_completion_ms,C_prefill_ms,C_queue_wait_ms,delta_B_minus_A_ttft_ms,delta_C_minus_A_ttft_ms,delta_C_minus_B_ttft_ms,delta_C_minus_B_completion_ms,redirect_group
0,595,17,8,0.0,8,0,361.609295,13955.542791,361.609295,0.0,8,0,361.609295,13955.542791,361.609295,0.0,8,0,361.609295,13955.542791,361.609295,0.0,0.0,0.0,0.0,0.0,neither
1,715,6,3,1.20528225,3,0,361.653431,15698.523972,361.609295,0.044136,3,0,361.653431,15698.523972,361.609295,0.044136,3,0,361.653431,15698.523972,361.609295,0.044136,0.0,0.0,0.0,0.0,neither
2,601,16,8,1.273827646,8,0,383.82349,13971.068848,373.967699,9.855791,8,0,383.82349,13971.068848,373.967699,9.855791,8,0,383.82349,13971.068848,373.967699,9.855791,0.0,0.0,0.0,0.0,neither
3,586,11,5,1.301091252,5,0,362.83204,11728.295008,361.609295,1.222745,5,0,362.83204,11728.295008,361.609295,1.222745,5,0,362.83204,11728.295008,361.609295,1.222745,0.0,0.0,0.0,0.0,neither
4,566,3,1,1.450073187,1,0,361.973064,14009.43176,361.609295,0.363769,1,0,361.973064,14009.43176,361.609295,0.363769,1,0,361.973064,14009.43176,361.609295,0.363769,0.0,0.0,0.0,0.0,neither
5,736,15,7,1.573554784,7,0,361.655395,16226.243488,361.609295,0.0461,7,0,361.655395,16226.243488,361.609295,0.0461,7,0,361.655395,16226.243488,361.609295,0.0461,0.0,0.0,0.0,0.0,neither
6,692,17,8,2.255936444,8,0,386.47217,15402.076237,377.407622,9.064548,8,0,386.47217,15402.076237,377.407622,9.064548,8,0,386.47217,15402.076237,377.407622,9.064548,0.0,0.0,0.0,0.0,neither
7,769,6,3,2.338292716,3,0,385.470326,16601.952213,373.952915,11.517411,3,0,385.470326,16601.952213,373.952915,11.517411,3,0,385.470326,16601.952213,373.952915,11.517411,0.0,0.0,0.0,0.0,neither
8,588,0,0,2.365001582,0,0,361.616004,14450.638206,361.609295,0.006709,0,0,361.616004,14450.638206,361.609295,0.006709,0,0,361.616004,14450.638206,361.609295,0.006709,0.0,0.0,0.0,0.0,neither
9,589,17,8,2.607204816,8,0,416.113991,13124.308174,380.910193,35.203798,8,0,416.113991,13124.308174,380.910193,35.203798,8,0,416.113991,13124.308174,380.910193,35.203798,0.0,0.0,0.0,0.0,neither
10,542,11,5,2.84172962,5,0,379.280467,10641.296892,373.995411,5.285056,5,0,379.280467,10641.296892,373.995411,5.285056,5,0,379.280467,10641.296892,373.995411,5.285056,0.0,0.0,0.0,0.0,neither
11,770,0,0,2.886764553,0,0,387.69484,18320.444955,373.887923,13.806917,0,0,387.69484,18320.444955,373.887923,13.806917,0,0,387.69484,18320.444955,373.887923,13.806917,0.0,0.0,0.0,0.0,neither
12,537,3,1,3.01290421,1,0,541.70473,13406.886018,524.667229,17.037501,1,0,541.70473,13406.886018,524.667229,17.037501,1,0,541.70473,13406.886018,524.667229,17.037501,0.0,0.0,0.0,0.0,neither
13,541,1,0,3.146966594,0,0,660.103226,12970.374647,532.610427,127.492799,0,0,660.103226,12970.374647,532.610427,127.492799,0,0,660.103226,12970.374647,532.610427,127.492799,0.0,0.0,0.0,0.0,neither
14,556,2,1,3.249466062,1,0,547.652624,13591.902914,522.743805,24.908819,1,0,547.652624,13591.902914,522.743805,24.908819,1,0,547.652624,13591.902914,522.743805,24.908819,0.0,0.0,0.0,0.0,neither
15,576,8,4,3.37196776,4,0,361.621408,16254.932158,361.609295,0.012113,4,0,361.621408,16254.932158,361.609295,0.012113,4,0,361.621408,16254.932158,361.609295,0.012113,0.0,0.0,0.0,0.0,neither
16,767,0,0,3.501489708,0,0,551.372897,17705.7198,532.087329,19.285568,0,0,551.372897,17705.7198,532.087329,19.285568,0,0,551.372897,17705.7198,532.087329,19.285568,0.0,0.0,0.0,0.0,neither
17,530,18,9,3.837686853,9,0,361.643874,10522.245496,361.609295,0.034579,9,0,361.643874,10522.245496,361.609295,0.034579,9,0,361.643874,10522.245496,361.609295,0.034579,0.0,0.0,0.0,0.0,neither
18,761,15,7,4.160977468,7,0,375.730426,16382.032108,374.105523,1.624903,7,0,375.730426,16382.032108,374.105523,1.624903,7,0,375.730426,16382.032108,374.105523,1.624903,0.0,0.0,0.0,0.0,neither
19,681,12,6,4.250090536,6,0,361.617521,14608.298867,361.609295,0.008226,6,0,361.617521,14608.298867,361.609295,0.008226,6,0,361.617521,14608.298867,361.609295,0.008226,0.0,0.0,0.0,0.0,neither
20,719,5,2,4.988842666,2,0,361.610723,15038.139804,361.609295,0.001428,2,0,361.610723,15038.139804,361.609295,0.001428,2,0,361.610723,15038.139804,361.609295,0.001428,0.0,0.0,0.0,0.0,neither
21,525,15,7,5.680938572,7,0,391.959363,11752.53604,377.532774,14.426589,7,0,391.959363,11752.53604,377.532774,14.426589,7,0,391.959363,11752.53604,377.532774,14.426589,0.0,0.0,0.0,0.0,neither
22,533,8,4,5.748473301,4,0,377.701926,16353.006647,374.083571,3.618355,4,0,377.701926,16283.448103,374.083571,3.618355,4,0,377.701926,16283.448103,374.083571,3.618355,0.0,0.0,0.0,0.0,neither
23,550,2,1,5.93996862,1,0,393.245253,12987.204654,381.133073,12.11218,1,0,393.245253,12987.204654,381.133073,12.11218,1,0,393.245253,12987.204654,381.133073,12.11218,0.0,0.0,0.0,0.0,neither
24,578,6,3,6.06053726,3,0,384.509708,12631.198098,377.66423,6.845478,3,0,384.509708,12631.198098,377.66423,6.845478,3,0,384.509708,12631.198098,377.66423,6.845478,0.0,0.0,0.0,0.0,neither
25,758,12,6,6.405938778,6,0,389.458402,17018.172802,374.061587,15.396815,6,0,389.458402,17018.172802,374.061587,15.396815,6,0,389.458402,17018.172802,374.061587,15.396815,0.0,0.0,0.0,0.0,neither
26,545,14,7,6.426651561,7,0,389.988963,11793.729249,381.067345,8.921618,7,0,389.988963,11793.729249,381.067345,8.921618,7,0,389.988963,11793.729249,381.067345,8.921618,0.0,0.0,0.0,0.0,neither
27,754,8,4,7.293174825,4,0,388.078042,23281.988812,377.523334,10.554708,4,0,388.078042,23199.626959,377.523334,10.554708,4,0,388.078042,23199.626959,377.523334,10.554708,0.0,0.0,0.0,0.0,neither
28,769,3,1,8.217666615,1,0,387.152409,18582.944048,383.924177,3.228232,1,0,387.152409,18582.944048,383.924177,3.228232,1,0,387.152409,18582.944048,383.924177,3.228232,0.0,0.0,0.0,0.0,neither
29,604,4,2,8.231344892,2,0,382.256488,12867.826696,374.174707,8.081781,2,0,382.256488,12867.826696,374.174707,8.081781,2,0,382.256488,12867.826696,374.174707,8.081781,0.0,0.0,0.0,0.0,neither
30,582,1,0,8.748857972,0,0,403.468125,13612.67085,384.031313,19.436812,0,0,403.468125,13612.67085,384.031313,19.436812,0,0,403.468125,13612.67085,384.031313,19.436812,0.0,0.0,0.0,0.0,neither
31,770,8,4,10.359596403,4,0,385.678559,26682.544574,381.340913,4.337646,4,0,385.678559,24359.297955,381.340913,4.337646,4,0,385.678559,24359.297955,381.340913,4.337646,0.0,0.0,0.0,0.0,neither
32,743,19,9,10.806064616,9,0,385.255802,18743.343123,374.556467,10.699335,9,0,385.255802,18743.343123,374.556467,10.699335,9,0,385.255802,18743.343123,374.556467,10.699335,0.0,0.0,0.0,0.0,neither
33,769,6,3,10.958629464,3,0,395.002481,17220.246622,381.683217,13.319264,3,0,395.002481,17220.246622,381.683217,13.319264,3,0,395.002481,17220.246622,381.683217,13.319264,0.0,0.0,0.0,0.0,neither
34,535,13,6,11.266103042,6,0,394.472404,12473.394135,377.82743,16.644974,6,0,394.472404,12473.394135,377.82743,16.644974,6,0,394.472404,12473.394135,377.82743,16.644974,0.0,0.0,0.0,0.0,neither
35,724,9,4,11.411543782,4,0,389.444445,24934.287511,383.940337,5.504108,4,0,389.444445,23026.137536,383.940337,5.504108,4,0,389.444445,23026.137536,383.940337,5.504108,0.0,0.0,0.0,0.0,neither
36,765,8,4,12.127874631,4,0,394.718481,26924.422407,388.57316,6.145321,4,0,394.718481,23937.674774,388.57316,6.145321,4,0,394.718481,23937.674774,388.57316,6.145321,0.0,0.0,0.0,0.0,neither
37,651,8,4,13.413717598,4,0,405.28638,22145.051382,392.502622,12.783758,4,0,405.28638,20304.535446,392.502622,12.783758,4,0,405.28638,20304.535446,392.502622,12.783758,0.0,0.0,0.0,0.0,neither
38,573,19,9,13.440375578,9,0,394.250375,14923.350808,377.870406,16.379969,9,0,394.250375,14923.350808,377.870406,16.379969,9,0,394.250375,14923.350808,377.870406,16.379969,0.0,0.0,0.0,0.0,neither
39,599,16,8,13.446324822,8,0,397.289122,12763.65179,384.868369,12.420753,8,0,397.289122,12763.65179,384.868369,12.420753,8,0,397.289122,12763.65179,384.868369,12.420753,0.0,0.0,0.0,0.0,neither
40,543,3,1,14.493931888,1,0,405.524067,13218.886898,389.407336,16.116731,1,0,405.524067,13218.886898,389.407336,16.116731,1,0,405.524067,13218.886898,389.407336,16.116731,0.0,0.0,0.0,0.0,neither
41,550,9,4,15.13442689,4,0,403.732669,18808.088563,395.95587,7.776799,4,0,403.732669,17509.790558,395.95587,7.776799,4,0,403.732669,17509.790558,395.95587,7.776799,0.0,0.0,0.0,0.0,neither
42,527,9,4,15.530093139,4,0,406.825871,17454.33253,398.759451,8.06642,4,0,406.825871,16585.642083,398.759451,8.06642,4,0,406.825871,16585.642083,398.759451,8.06642,0.0,0.0,0.0,0.0,neither
43,698,4,2,15.689548652,2,0,385.246186,16130.918792,378.123238,7.122948,2,0,385.246186,16130.918792,378.123238,7.122948,2,0,385.246186,16130.918792,378.123238,7.122948,0.0,0.0,0.0,0.0,neither
