request_id,policy,send_time_s,home_gpu,target_gpu,capacity_reason,capacity_running_reqs,capacity_max_num_seqs,capacity_required_kv_mib,capacity_available_kv_mib,local_ttft_ms,local_queue_ms,local_prefill_ms,redirect_ttft_ms,redirect_queue_ms,redirect_prefill_ms,kv_transfer_ms,redirect_minus_local_ms,local_faster
126,B,37.629424096,5,8,npu_memory,10.0,128.0,878.0,835.4921875,395.406774,2.723032,392.683742,2575.127663,1814.207444,760.300826,0.0,2179.720889,True
265,B,77.674814116,6,5,npu_memory,11.0,128.0,816.0,15.4921875,797.570566,383.102902,414.467664,1833.547155,788.403949,1044.523813,0.0,1035.9765889999999,True
123,B,36.760230192,5,8,npu_memory,11.0,128.0,846.0,11.4921875,407.564312,18.726096,388.838216,806.998664,25.858072,780.521199,0.0,399.434352,True
136,B,40.147773861,5,9,npu_memory,11.0,128.0,824.0,13.4921875,422.66777,21.093074,401.574696,781.764418,10.388245,770.75678,0.0,359.09664799999996,True
134,B,39.140830714,8,7,npu_memory,11.0,128.0,848.0,51.4921875,403.87181,0.711444,403.160366,759.173713,11.792678,746.761642,0.0,355.30190300000004,True
167,B,50.200271768,5,8,npu_memory,11.0,128.0,818.0,61.4921875,426.855702,21.276416,405.579286,764.867759,5.748847,758.499519,0.0,338.01205699999997,True
157,B,47.287855857,8,7,npu_memory,11.0,128.0,848.0,19.4921875,417.72303,12.945953,404.777077,751.988666,10.720244,740.649029,0.0,334.265636,True
111,B,34.170703332,5,8,npu_memory,10.0,128.0,836.0,833.4921875,607.14859,71.027382,536.121208,777.727891,13.570616,763.537882,0.0,170.579301,True
197,B,59.248167936,3,4,npu_memory,11.0,128.0,830.0,77.4921875,1204.348893,789.773705,414.575188,786.988286,16.772513,769.59638,0.0,-417.3606070000001,False
49,B,17.873615254,4,5,npu_memory,11.0,128.0,824.0,129.4921875,2190.406403,1780.506184,409.900219,722.824224,14.752208,707.452623,0.0,-1467.582179,False
267,B,77.859829689,6,5,npu_memory,11.0,128.0,826.0,15.4921875,4821.508721,4410.460664,411.048057,2373.960061,1374.031172,999.309496,0.0,-2447.54866,False
51,B,18.21799358,4,5,npu_memory,11.0,128.0,848.0,129.4921875,4321.829836,3910.742672,411.087164,1121.509904,125.603006,995.287505,0.0,-3200.319932,False
263,B,77.129693726,6,5,npu_memory,11.0,128.0,838.0,15.4921875,4544.423903,4130.087462,414.336441,1334.143732,256.782444,1076.741895,0.0,-3210.280171,False
90,B,30.141378148,4,5,npu_memory,11.0,128.0,830.0,87.4921875,6644.91108,6231.837097,413.073983,766.806178,18.634494,747.552291,0.0,-5878.104902,False
82,B,26.781136197,4,5,npu_memory,11.0,128.0,848.0,87.4921875,7607.491338,7188.862056,418.629282,749.483804,9.000225,739.864186,0.0,-6858.007534,False
84,B,26.997786849,4,5,npu_memory,11.0,128.0,848.0,87.4921875,9006.090816,8588.441987,417.648829,1259.579564,269.386509,989.573662,0.0,-7746.511252,False
