request_id,policy,send_time_s,home_gpu,target_gpu,capacity_reason,capacity_running_reqs,capacity_max_num_seqs,capacity_required_kv_mib,capacity_available_kv_mib,local_ttft_ms,local_queue_ms,local_prefill_ms,redirect_ttft_ms,redirect_queue_ms,redirect_prefill_ms,kv_transfer_ms,redirect_minus_local_ms,local_faster
67,B,21.888218808,4,5,npu_memory,11.0,128.0,840.0,117.4921875,11038.971411,10621.373842,417.597569,730.886401,20.38389,709.883118,0.0,-10308.08501,False
165,B,49.41089657,4,5,npu_memory,11.0,128.0,818.0,107.4921875,16394.064622,15984.087321,409.977301,2388.021871,1618.530636,768.871842,0.0,-14006.042751,False
154,B,45.407830899,4,5,npu_memory,11.0,128.0,822.0,77.4921875,15177.31179,14762.021103,415.290687,782.711906,14.383152,767.709361,0.0,-14394.599884,False
156,B,45.841376388,4,5,npu_memory,11.0,128.0,828.0,77.4921875,15612.654258,15197.947371,414.706887,1105.804124,77.771641,1027.41309,0.0,-14506.850134,False
161,B,48.338200581,4,5,npu_memory,11.0,128.0,836.0,107.4921875,16152.117755,15740.396869,411.720886,776.625144,10.409687,765.596064,0.0,-15375.492611,False
173,B,51.312511814,4,5,npu_memory,11.0,128.0,848.0,107.4921875,19044.070824,18628.290404,415.78042,1244.943294,213.266649,1031.057252,0.0,-17799.127529999998,False
199,B,59.676008712,4,5,npu_memory,11.0,128.0,822.0,99.4921875,20441.766769,20025.811587,415.955182,794.238222,24.089002,769.529827,0.0,-19647.528547,False
175,B,51.40843976,4,5,npu_memory,11.0,128.0,848.0,107.4921875,24548.445878,24132.000954,416.444924,2369.086757,1602.72191,765.745454,0.0,-22179.359120999998,False
136,C,40.147773861,5,9,npu_memory,11.0,128.0,824.0,13.4921875,422.66777,21.093074,401.574696,1399.788029,402.7440021822485,679.709466,316.71516781775154,977.120259,True
126,C,37.629424096,5,8,npu_memory,10.0,128.0,878.0,835.4921875,395.406774,2.723032,392.683742,1060.246563,334.27478818224847,408.637214,316.71516781775154,664.8397889999999,True
123,C,36.760230192,5,8,npu_memory,10.0,128.0,846.0,835.4921875,407.564312,18.726096,388.838216,900.203007,16.658148182248475,566.210298,316.71516781775154,492.638695,True
111,C,34.170703332,5,8,npu_memory,10.0,128.0,836.0,833.4921875,607.14859,71.027382,536.121208,1086.352747,211.24828618224848,557.7699,316.71516781775154,479.2041569999999,True
265,C,77.674814116,6,5,npu_memory,11.0,128.0,816.0,15.4921875,797.570566,383.102902,414.467664,1141.703394,227.06201418224848,597.306819,316.71516781775154,344.1328279999999,True
134,C,39.140830714,8,7,npu_memory,11.0,128.0,848.0,19.4921875,403.87181,0.711444,403.160366,746.027678,20.831305182248474,407.861812,316.71516781775154,342.15586800000005,True
157,C,47.287855857,8,7,npu_memory,11.0,128.0,848.0,19.4921875,417.72303,12.945953,404.777077,738.204585,16.117969182248473,404.752055,316.71516781775154,320.48155499999996,True
197,C,59.248167936,3,4,npu_memory,11.0,128.0,830.0,77.4921875,1204.348893,789.773705,414.575188,763.431424,29.858881182248474,416.237982,316.71516781775154,-440.9174690000001,False
205,C,60.665925812,3,4,npu_memory,11.0,128.0,840.0,95.4921875,2059.443623,1645.704359,413.739264,746.991497,12.682457182248474,416.974479,316.71516781775154,-1312.4521260000001,False
49,C,17.873615254,4,5,npu_memory,11.0,128.0,824.0,129.4921875,2190.406403,1780.506184,409.900219,702.688432,11.306972182248472,374.046899,316.71516781775154,-1487.717971,False
263,C,77.129693726,6,5,npu_memory,11.0,128.0,838.0,15.4921875,4544.423903,4130.087462,414.336441,1393.335469,219.89477518224848,856.106133,316.71516781775154,-3151.088434,False
267,C,77.859829689,6,5,npu_memory,11.0,128.0,826.0,15.4921875,4821.508721,4410.460664,411.048057,1338.042638,345.86494518224845,674.843132,316.71516781775154,-3483.4660830000003,False
51,C,18.21799358,4,5,npu_memory,11.0,128.0,848.0,129.4921875,4321.829836,3910.742672,411.087164,735.700064,40.975545182248474,377.389958,316.71516781775154,-3586.129772,False
90,C,30.141378148,4,5,npu_memory,11.0,128.0,830.0,87.4921875,6644.91108,6231.837097,413.073983,731.359017,4.058149182248473,409.966307,316.71516781775154,-5913.552063,False
82,C,26.781136197,4,5,npu_memory,11.0,128.0,848.0,87.4921875,7607.491338,7188.862056,418.629282,889.682009,22.618226182248474,549.729222,316.71516781775154,-6717.809329,False
84,C,26.997786849,4,5,npu_memory,11.0,128.0,848.0,87.4921875,9006.090816,8588.441987,417.648829,931.687715,61.606218182248476,552.746936,316.71516781775154,-8074.403101,False
67,C,21.888218808,4,5,npu_memory,11.0,128.0,840.0,117.4921875,11038.971411,10621.373842,417.597569,721.04786,19.861602182248472,383.851697,316.71516781775154,-10317.923551,False
154,C,45.407830899,4,5,npu_memory,11.0,128.0,822.0,77.4921875,15177.31179,14762.021103,415.290687,732.352418,6.978968182248473,408.038889,316.71516781775154,-14444.959372,False
156,C,45.841376388,4,5,npu_memory,11.0,128.0,828.0,77.4921875,15612.654258,15197.947371,414.706887,738.188122,7.940257182248473,412.913304,316.71516781775154,-14874.466136000001,False
161,C,48.338200581,4,5,npu_memory,11.0,128.0,836.0,107.4921875,16152.117755,15740.396869,411.720886,727.521792,2.204655182248473,407.982576,316.71516781775154,-15424.595963,False
165,C,49.41089657,4,5,npu_memory,11.0,128.0,818.0,107.4921875,16394.064622,15984.087321,409.977301,751.395178,21.381203182248473,412.679414,316.71516781775154,-15642.669444000001,False
173,C,51.312511814,4,5,npu_memory,11.0,128.0,848.0,107.4921875,19044.070824,18628.290404,415.78042,749.523721,18.617879182248473,413.571281,316.71516781775154,-18294.547102999997,False
199,C,59.676008712,4,5,npu_memory,11.0,128.0,822.0,99.4921875,20441.766769,20025.811587,415.955182,746.394174,22.095584182248473,406.964029,316.71516781775154,-19695.372595,False
175,C,51.40843976,4,5,npu_memory,11.0,128.0,848.0,107.4921875,24548.445878,24132.000954,416.444924,1434.283991,707.6605831822485,409.288847,316.71516781775154,-23114.161887,False
