target,group,full_mae_ms,ablated_mae_ms,mae_increase_ms
router_queue_ms,request_demand,1326.2043590133756,1165.091045471961,-161.11331354141453
router_queue_ms,realized_reuse,1326.2043590133756,1336.1150502961689,9.910691282793323
router_queue_ms,offered_load,1326.2043590133756,1259.467537494673,-66.73682151870253
router_queue_ms,routing_result,1326.2043590133756,1599.9912075320492,273.78684851867365
router_queue_ms,initial_home_capacity,1326.2043590133756,5716.238662906276,4390.0343038929
router_queue_ms,initial_candidate_capacity,1326.2043590133756,1343.1370902956803,16.932731282304758
router_queue_ms,initial_target_capacity,1326.2043590133756,1593.050910469239,266.8465514558634
scheduler_queue_ms,request_demand,40.608378324494296,47.39337930497756,6.785000980483261
scheduler_queue_ms,realized_reuse,40.608378324494296,43.53455848954671,2.926180165052415
scheduler_queue_ms,offered_load,40.608378324494296,34.7889476551366,-5.819430669357693
scheduler_queue_ms,routing_result,40.608378324494296,39.79415288767201,-0.8142254368222837
scheduler_queue_ms,scheduler_admission_state,40.608378324494296,62.16664818007043,21.558269855576135
kv_transfer_ms,kv_movement,3.410050898353489,3.416338229013647,0.006287330660157853
kv_transfer_ms,kv_link,3.410050898353489,3.4100825312755476,3.163292205865531e-05
compute_ms,effective_demand,76.0255881189357,265.15466662495305,189.12907850601735
