scenario,policy,policy_label,request_id,input_tokens,output_tokens,realized_reuse_tokens,effective_uncached_tokens,request_rate_rps,home_arrivals_1s,home_arrivals_5s,rerouted,initial_capacity_pressure,initial_slot_pressure,initial_waiting_reqs,initial_running_reqs,initial_admissible,initial_admissible_candidate_count,initial_total_waiting_reqs,initial_total_running_reqs,initial_max_running_reqs,initial_min_capacity_pressure,initial_max_capacity_pressure,initial_target_capacity_pressure,initial_target_slot_pressure,initial_target_waiting_reqs,initial_target_running_reqs,initial_target_admissible,scheduler_waiting_reqs_at_admission,scheduler_running_reqs_at_admission,scheduler_running_decode_reqs_at_admission,scheduler_inflight_prefill_tokens_at_admission,scheduler_inflight_decode_tokens_at_admission,scheduler_available_token_budget_at_admission,scheduler_prefill_tokens_ahead_at_admission,kv_moved,kv_migration_bytes,kv_bandwidth_gbps,kv_distance_m,router_queue_ms,scheduler_queue_ms,kv_transfer_ms,compute_ms,e2e_ttft_ms,other_communication_ms
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,246,4000.0,772.0,0.0,4000.0,2.5073430794920317,0,0,0,0.2559535611682269,0.03125,0.0,3.0,1,10.0,0.0,39.0,9.0,0.0645823753496201,0.6337280577785465,0.3127601321279261,0.0390625,0.0,4.0,1,0.0,3.0,3.0,0.0,3.0,2045.0,0.0,0,0.0,0.0,0.0,0.0,14.150292,0.0,461.220642,475.370934,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,253,4000.0,763.0,0.0,4000.0,2.5073430794920317,0,1,0,0.2557375666018401,0.03125,0.0,3.0,1,10.0,0.0,40.0,10.0,0.0643663807832334,0.6946385254995929,0.2494737241766262,0.03125,0.0,3.0,1,0.0,3.0,3.0,0.0,3.0,2045.0,0.0,0,0.0,0.0,0.0,0.0,6.643064,0.0,458.66288,465.305944,5.684341886080802e-14
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,260,4000.0,701.0,0.0,4000.0,2.5073430794920317,0,2,0,0.3179440017212067,0.0390625,0.0,4.0,1,10.0,0.0,36.0,11.0,0.0635024025176866,0.7546850149550925,0.1866193053580996,0.0234375,0.0,2.0,1,0.0,4.0,4.0,0.0,4.0,2044.0,0.0,0,0.0,0.0,0.0,0.0,1.572984,0.0,458.479936,460.05292,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,269,4000.0,681.0,0.0,4000.0,2.5073430794920317,0,2,0,0.3812304096725066,0.046875,0.0,5.0,1,10.0,0.0,37.0,9.0,0.0632864079512999,0.6315681121146797,0.0632864079512999,0.0078125,0.0,0.0,1,0.0,5.0,5.0,0.0,5.0,2043.0,0.0,0,0.0,0.0,0.0,0.0,15.24052,0.0,462.742086,477.982606,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,280,4000.0,557.0,0.0,4000.0,2.5073430794920317,0,1,0,0.3784224803094797,0.046875,0.0,5.0,1,10.0,0.0,41.0,9.0,0.1263568213362132,0.6294081664508128,0.1263568213362132,0.015625,0.0,1.0,1,0.0,5.0,5.0,0.0,5.0,2043.0,0.0,0,0.0,0.0,0.0,0.0,16.867492,0.0,463.224247,480.091739,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,297,4000.0,551.0,0.0,4000.0,2.5073430794920317,0,1,0,0.3788544694422531,0.046875,0.0,5.0,1,10.0,0.0,43.0,6.0,0.1892112401547398,0.4471087524204469,0.4471087524204469,0.0546875,0.0,6.0,1,0.0,5.0,5.0,0.0,5.0,2043.0,0.0,0,0.0,0.0,0.0,0.0,10.56346,0.0,470.711684,481.275144,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,292,4000.0,775.0,0.0,4000.0,2.5073430794920317,0,1,0,0.4430048556590998,0.0546875,0.0,6.0,1,10.0,0.0,44.0,8.0,0.1922351640841535,0.5667697421986728,0.3855503010002404,0.046875,0.0,5.0,1,0.0,6.0,6.0,0.0,6.0,2042.0,0.0,0,0.0,0.0,0.0,0.0,13.823545,0.0,467.496589,481.320134,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,299,4000.0,767.0,0.0,4000.0,2.5073430794920317,1,2,0,0.4432208502254865,0.0546875,0.0,6.0,1,10.0,0.0,45.0,7.0,0.1920191695177668,0.5095311821062002,0.4499166817834739,0.0546875,0.0,6.0,1,0.0,6.0,5.0,2043.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.211666,0.0,697.786566,739.998232,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,24,4000.0,769.0,0.0,4000.0,2.5073430794920317,0,0,0,0.0645823753496201,0.0078125,0.0,0.0,1,10.0,0.0,23.0,5.0,0.0645823753496201,0.3842543336019203,0.1926671532169268,0.0234375,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,2048.0,0.0,0,0.0,0.0,0.0,0.0,0.000785,0.0,439.218678,439.219463,0.0
input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,B,31,4000.0,768.0,0.0,4000.0,2.5073430794920317,0,1,0,0.1289487561328535,0.015625,0.0,1.0,1,10.0,0.0,27.0,6.0,0.0643663807832334,0.4486207143851538,0.1924511586505402,0.0234375,0.0,2.0,1,0.0,1.0,1.0,0.0,1.0,2047.0,0.0,0,0.0,0.0,0.0,0.0,13.241973,0.0,444.835807,458.07778,5.684341886080802e-14
