target,stage,feature,standardized_coefficient,absolute_coefficient
scheduler_queue_ms,ridge,scheduler_waiting_reqs_at_admission,5.3447965779521756,5.3447965779521756
scheduler_queue_ms,ridge,scheduler_running_reqs_at_admission,118.72678164576574,118.72678164576574
scheduler_queue_ms,ridge,scheduler_running_decode_reqs_at_admission,-59.42245065218078,59.42245065218078
scheduler_queue_ms,ridge,scheduler_inflight_prefill_tokens_at_admission,30.288675189705305,30.288675189705305
scheduler_queue_ms,ridge,scheduler_inflight_decode_tokens_at_admission,-59.42245065218163,59.42245065218163
scheduler_queue_ms,ridge,scheduler_available_token_budget_at_admission,-30.082231550150286,30.082231550150286
scheduler_queue_ms,ridge,scheduler_prefill_tokens_ahead_at_admission,67.08141246595476,67.08141246595476
scheduler_queue_ms,ridge,policy_NEAREST_KV,0.47449043154952697,0.47449043154952697
scheduler_queue_ms,ridge,policy_NEAREST_MIGRATE,-0.040645421107891225,0.040645421107891225
scheduler_queue_ms,ridge,policy_NEAREST_MIGRATE_KV,-0.4338450104386483,0.4338450104386483
kv_transfer_ms,ridge,kv_moved,12.60146671629225,12.60146671629225
kv_transfer_ms,ridge,kv_migration_bytes,0.005717666426292023,0.005717666426292023
kv_transfer_ms,ridge,kv_bandwidth_gbps,12.601466716293713,12.601466716293713
kv_transfer_ms,ridge,kv_distance_m,12.601466716295223,12.601466716295223
compute_ms,ridge,effective_uncached_tokens,221.79417931951576,221.79417931951576
compute_ms,ridge,output_tokens,-2.395278149027093,2.395278149027093
