policy,mean_ms,p50_ms,p95_ms,p99_ms,rerouted_n
Wait local,3046.3254548366667,725.744324,18954.062672550004,25183.17262452995,0
Cold migrate,967.5296997966666,726.193299,1907.8696057000002,4711.75230307998,33
KV handoff,874.3591289866665,725.269544,1394.8246128500007,2639.3098458499876,28
Old formula,1104.7677541066666,725.271922,1716.3343141500013,10739.767208199988,20
Phase1 formula,881.3815131466667,724.5658,1375.4580174,3328.7446923799953,26
