model,capacity_decisions_n,redirect_n,local_n,local_within_margin_n,paired_oracle_agreement,paired_mean_regret_ms,actionable_decisions_n,actionable_oracle_agreement,actionable_mean_regret_ms
Old formula,36,20,16,6,0.6388888888888888,5281.606002333333,26,0.8846153846153846,233.33295388461536
Phase1 formula,36,26,10,0,0.4722222222222222,4401.436262555557,26,0.6538461538461539,161.3334078846154
