policy,mean_ms,p50_ms,p95_ms,p99_ms,rerouted_n,router_wait_mean_ms,router_wait_max_ms,target_not_admissible_n,home_became_admissible_n
KV handoff,487.0869222300001,410.6481435,785.5977232500001,1338.5955663099994,24,5.2742254899998775,687.5220829999976,0,0
Current formula,542.0821227233333,409.8312645,904.7329736000003,2085.2828211899764,20,63.94484124,6591.477726,7,0
Dynamic,487.0869222300001,410.6481435,785.5977232500001,1338.5955663099994,24,5.118435466666667,689.141013,0,1
Multi-candidate,471.72168660999995,412.095827,747.82329285,932.5839493799997,18,0.0,0.0,0,0
