pp,peak_nx,cloud_mean_ttft_ms,apn_mean_ttft_ms,apn_minus_cloud_mean_ttft_ms,apn_over_cloud_mean_ttft,cloud_p95_ttft_ms,apn_p95_ttft_ms,apn_mean_capacity_wait_ms,apn_initially_inadmissible_requests,apn_min_available_kv_gb,apn_electricity_yen_per_hour,miyabi_yen_per_hour,apn_electricity_yen_per_1000_requests,miyabi_yen_per_1000_requests
1,1,46.37001761,47.38087496166667,1.0108573516666723,1.0217998052139767,77.88647510000001,77.64323639999998,0.0,0,3.552081528,139.09198804880057,306.0,4.47803609897973,9.851966749449998
1,2,48.332450431666665,49.64455208,1.312101648333332,1.027147426555341,78.11797494999998,81.48884109999999,0.0,0,1.041790584,155.78774165539892,306.0,2.7035549270884496,5.309700473716667
1,3,51.419514011666664,63.15495747,11.735443458333336,1.2282293733011684,86.81230475,94.97295604999991,10.501499955,14,0.070809208,156.00609415970638,306.0,1.9700369467858625,3.863316658275
1,4,54.577264175,213.58027378,159.003009605,3.913356175112821,96.64560104999998,981.6240442499976,157.00066163666665,152,0.005797496,156.54883189225148,306.0,1.6118667341363455,3.1494645249833337
1,5,57.755860295,599.8100947,542.054234405,10.385268120608817,114.49629824999988,2428.21925,540.9387297866666,326,0.001603192,151.80528408204444,306.0,1.4778801291124042,2.850248522458333
1,6,61.76379518333333,1117.4682291166666,1055.7044339333333,18.092609526336396,133.20431334999992,3933.234865199997,1057.9983645983334,414,0.001603192,144.1233520588781,306.0,1.4551269372635247,2.667789412291667
1,7,66.16777598833335,1582.1241260333331,1515.956350045,23.910794981416515,141.33707434999982,5318.686286499997,1521.2584854283332,439,0.001603192,143.49407322288778,306.0,1.4429232305935,2.55547868265
1,8,71.482481295,1941.6809556250003,1870.1984743300002,27.163032402469433,155.76554809999988,6175.022580599998,1882.0055568516666,457,0.001603192,142.4376784411684,306.0,1.4168711988380456,2.4734231986750004
1,9,79.69323122,2377.4721557166667,2297.7789244966666,29.832799088713706,185.62111879999978,7049.207136849999,2315.933761298333,459,0.001603192,142.1651074489324,306.0,1.4112534992828916,2.4110605776
1,10,90.99249011166667,2591.5809771749996,2500.588487063333,28.481262288729454,245.87281464999998,7077.3882255,2528.6887075433337,471,0.001603192,143.13204749810805,306.0,1.3881045729403625,2.3629448433583335
2,1,44.08650249833333,44.29183696666667,0.20533446833334068,1.0046575359054872,71.5731953,71.8035689,0.0,0,11.584435832,162.52244177353631,306.0,5.239193873126383,9.864927277308333
2,2,46.536106785,46.59383971833333,0.05773293333332674,1.001240605141295,78.34015915,77.85819299999999,0.0,0,9.749427832,160.54939147477248,306.0,2.8312784476767328,5.395282345466667
2,3,49.367439435,50.09035512333334,0.7229156883333374,1.0146435726990697,81.41230605,84.42823489999998,0.0,0,6.217823864,158.0630251075872,306.0,2.0492336273819998,3.9634975863083333
2,4,53.00678153166667,53.367789128333335,0.36100759666666704,1.0068105926493764,92.35852744999994,93.93577339999999,0.0,0,3.145496184,154.39406799662171,306.0,1.7045506627185332,3.417001928225
2,5,57.53713393333333,76.82266041833333,19.285526485,1.335183996257888,113.8722813499999,256.09239794999985,18.889520488333332,61,0.003962488,150.54198317047928,306.0,1.534151094879308,3.116113127683333
2,6,64.74255437166667,297.80739672166663,233.06484234999996,4.599870975310116,130.76520165,1195.4862709499992,236.87428674833333,194,0.00081676,147.6248633067551,306.0,1.4481654620759665,2.9688746535
2,7,70.45339354166667,602.2755260216667,531.82213248,8.548566587718396,140.26140574999997,2346.2713023499996,541.4339389583333,276,0.00081676,144.03896140849398,306.0,1.4423675250276582,2.859554222158333
2,8,77.98763892333334,934.5880527033335,856.6004137800002,11.983797247947091,163.49069284999996,3301.5449843499987,870.6649864266666,317,0.00081676,141.76553934433417,306.0,1.4406167181808749,2.770377069566667
2,9,95.10650173500001,1162.205418225,1067.09891649,12.220041711378585,206.85218149999997,3889.8241308999995,1096.3184492016667,342,0.00081676,144.27347232921178,306.0,1.4091072005987832,2.69459647925
2,10,115.98345186666668,1408.32911042,1292.3456585533334,12.142500397720529,252.2776657499998,4300.5341444000005,1335.6337379683332,361,0.00081676,140.99703275864564,306.0,1.4041609914075164,2.6590235810249996
