environment,pp,peak_nx,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_router_capacity_wait_ms,p95_router_capacity_wait_ms,max_router_capacity_wait_ms,initially_inadmissible_requests,capacity_retry_count,max_capacity_retries_per_request,min_available_kv_gb,mean_scheduler_queue_ms,mean_compute_prefill_ms,mean_rtt_other_comm_ms,mean_residual_ms,mean_gpu_utilization_pct,estimated_cluster_power_w,estimated_electricity_yen_per_hour,estimated_electricity_yen_per_1000_requests,miyabi_yen_per_1000_requests,elapsed_s
apn,1,1,600,47.38087496166667,43.149502999999996,77.64323639999998,105.20434191999998,0.0,0.0,0.0,0,0,0,3.552081528,2.97402223,43.122706015,1.2842559333333334,6.751666666666666e-05,81.60085793825348,6047.477741252199,139.09198804880057,4.47803609897973,9.851602996766669,69.540727036
cloud,1,1,600,46.37001761,43.017044999999996,77.88647510000001,105.19349409999998,0.0,0.0,0.0,0,0,0,72.361390727,3.0265462733333335,42.05746469666666,1.2860066399999999,0.0,81.58732461178353,6046.63001368212,139.07249031468876,4.477573693933075,9.851966749449998,69.543294702
apn,1,2,600,49.64455208,44.981617,81.48884109999999,99.92666935999996,0.0,0.0,0.0,0,0,0,1.041790584,4.559388731666666,43.80101663166667,1.2842559333333334,6.751666666666666e-05,93.18933703661985,6773.3800719738665,155.78774165539892,2.7035549270884496,5.31035239935,37.484840466
cloud,1,2,600,48.332450431666665,44.3744485,78.11797494999998,99.89028800999999,0.0,0.0,0.0,0,0,0,69.851099783,4.210786131666667,42.835657659999995,1.2860066399999999,0.0,93.1879015551774,6773.290153416312,155.78567352857516,2.7031871389965536,5.309700473716667,37.480238638
apn,1,3,600,63.15495747,46.772417000000004,94.97295604999991,516.1022895599993,10.501499955,0.0,993.777505,14,203,33,0.070809208,6.137455373333333,45.231855425,1.2842559333333334,6.751666666666666e-05,93.34089494121439,6782.8736591176685,156.00609415970638,1.9700369467858625,3.864152288175,27.276369093
cloud,1,3,600,51.419514011666664,46.2374095,86.81230475,119.69993715,0.0,0.0,0.0,0,0,0,66.726343303,6.219592538333333,43.91391483333334,1.2860066399999999,0.0,93.33875474868232,6782.739597457461,156.0030107415216,1.9695719939175627,3.863316658275,27.270470529
apn,1,4,600,213.58027378,56.07203,981.6240442499976,1954.4353718799991,157.00066163666665,905.3689218999988,3581.437971,152,3308,127,0.005797496,7.173121783333333,48.12234364333333,1.2842559333333334,6.751666666666666e-05,93.71760778794733,6806.470951837021,156.54883189225148,1.6118667341363455,3.1506541101833334,22.239911366
cloud,1,4,600,54.577264175,47.358025,96.64560104999998,131.6640693,0.0,0.0,0.0,0,0,0,63.226196615,7.316567241666666,45.97469029333334,1.2860066399999999,0.0,92.3707213965728,6722.101988281321,154.60834573047038,1.5912859481845583,3.1494645249833337,22.231514294
apn,1,5,600,599.8100947,173.26498750000002,2428.21925,4330.481915279999,540.9387297866666,2314.9214476499988,5327.437671,326,12684,216,0.001603192,8.023184023333334,49.56403417333333,1.2842559333333334,6.751666666666666e-05,90.42512360628325,6600.229742697584,151.80528408204444,1.4778801291124042,2.979022253691667,21.028392379
cloud,1,5,600,57.755860295,49.46107,114.49629824999988,138.50930627999998,0.0,0.0,0.0,0,0,0,59.048669831,9.052114796666666,47.41773885833334,1.2860066399999999,0.0,88.45989692565571,6477.127943423075,148.9739426987307,1.3876233988949336,2.850248522458333,20.119401335
