user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,request_count,mean_e2e_ttft_ms,p50_e2e_ttft_ms,p95_e2e_ttft_ms,p99_e2e_ttft_ms,mean_communication_ms,mean_queueing_before_ttft_ms,mean_prefill_service_ms,mean_decode_after_ttft_ms,mean_request_completion_latency_ms,dominant_ttft_bottleneck,communication_bottleneck_count,queueing_bottleneck_count,prefill_bottleneck_count
0,,,,,,,12,3280.5950086666667,299.0950835,9767.434775149999,10056.52761743,13.340467415976331,52.018735084023476,190.31979658333336,18298.9816935,21579.50155841667,prefill,0,0,12
1,,,,,,,12,240.15343491666667,186.06012600000003,419.79776234999986,497.7206812700001,0.0,45.40160375,194.75183116666665,21205.2206125,21445.374047416666,prefill,0,0,12
2,,,,,,,15,860.4731976,302.735516,2965.5740279999914,7479.510179199995,7.114915955187376,49.46848597814585,247.6943358,18821.044761666668,19681.4778826,prefill,0,0,15
3,,,,,,,15,766.3245404666667,198.01569,2767.1530921999924,6728.705430439995,3.557457977593688,52.31017322240626,211.96747653333333,20326.908829733333,21093.213331866664,prefill,0,1,14
4,,,,,,,11,1852.9461888181818,181.586388,9203.133236,9466.2573632,9.702158120710058,30.302425061107982,183.7429968181818,19386.673260272728,21239.56479909091,prefill,0,0,11
5,,,,,,,11,2643.9174900909093,213.149058,9100.4876715,9192.2793743,14.553237181065088,22.441686273480155,206.88102454545452,18551.12435827273,21194.959873363638,prefill,0,0,11
6,,,,,,,18,1152.0622224444444,184.555461,8641.3182911,8916.36177662,8.89364494398422,20.984424722682316,172.83924716666667,19730.891919055557,20882.904045666666,prefill,0,0,18
7,,,,,,,17,1863.3423229999999,243.832093,9847.990307799999,10100.561807959999,12.555734038565959,46.20893078496327,206.61396741176472,18541.04729935294,20404.318898823527,prefill,0,0,17
8,,,,,,,25,975.7211655199999,256.140574,6580.72583819998,8746.13260616,27.748172225230768,75.52607281476914,210.79311036000001,20311.968196240003,21287.533062759998,prefill,0,1,24
9,,,,,,,24,1111.1558807083334,421.873063,7328.310650999984,8716.70386559,20.010701123964495,105.30381362603545,285.5097377916667,19660.4650735,20771.508238583334,prefill,0,2,22
10,,,,,,,13,997.6182943846154,374.263351,3886.638977199988,7887.586413039991,4.104759204915794,53.39630610277645,275.0785457692308,21386.85640123077,22384.451574461542,prefill,0,0,13
11,,,,,,,12,1032.6160084166665,308.66844100000003,4384.759433399993,8149.769725080005,4.44682247199211,63.057116528007825,227.54276741666666,19499.24367816667,20531.834638666667,prefill,0,1,11
12,,,,,,,15,248.90501906666665,238.708451,362.49901729999993,393.50161466,7.114915955187376,64.98659811147918,176.7095088,20837.254670266666,21086.11961266667,prefill,0,0,15
13,,,,,,,15,249.1559693333333,189.188615,508.51153389999985,566.9545075799999,10.672373932781065,29.444169000552115,208.17741726666668,20553.6081944,20802.704048733332,prefill,0,0,15
14,,,,,,,15,1318.4794374666665,196.750281,8381.0820329,8531.889586579999,7.114915955187376,44.026607511479185,175.0835218,18499.918424066665,19818.357784866665,prefill,0,0,15
15,,,,,,,14,868.8540507142858,185.836248,3555.7506583999966,8343.754847679993,3.81156211885038,29.482120524006707,173.145891,19736.57230307143,20605.404884142856,prefill,0,0,14
16,,,,,,,15,1390.4133746,303.610104,8310.330129799999,8908.810880359999,7.114915955187376,51.099478978145854,225.6184316,19025.056095266667,20415.4293932,prefill,0,0,15
17,,,,,,,15,281.89634026666664,194.677878,499.6799996,501.68205672,0.0,30.9485322,250.94780806666665,20799.0296422,21080.925982466666,prefill,0,0,15
18,,,,,,,13,203.84364307692312,187.071207,282.83965899999987,335.0622309999999,0.0,30.35282053846154,173.49082253846154,19241.08291723077,19444.926560307693,prefill,0,0,13
19,,,,,,,13,921.2300926153847,219.132645,3780.621380599988,7760.580639319993,4.104759204915794,52.25811410277645,209.86233992307692,19277.874910076924,20199.08188153846,prefill,0,0,13
