model,capacity_decisions_n,redirect_n,local_n,local_within_margin_n,paired_oracle_agreement,paired_mean_regret_ms,actionable_decisions_n,actionable_oracle_agreement,actionable_mean_regret_ms
Old formula,28,16,12,3,0.5714285714285714,3255.584465178571,19,0.8421052631578947,69.74235515789474
Phase1 formula,27,20,7,0,0.5925925925925926,2391.8899064444445,20,0.75,130.6788747
