policy,mean_ms,p50_ms,p95_ms,p99_ms,rerouted_n
Wait local,2004.0521032233335,410.18104900000003,14021.017747500004,19958.072827389995,0
Cold migrate,518.5427145833333,412.07445900000005,917.8950139500002,2369.13549004,24
KV handoff,487.0869222300001,410.6481435,785.5977232500001,1338.5955663099994,24
Old formula,646.32960602,410.1654185,931.7151551000001,7865.935492749999,16
Phase1 formula,542.0821227233333,409.8312645,904.7329736000003,2085.2828211899764,20
