gpu_id,instance_id,gpu_x_m,gpu_y_m,region
0,0,167.0,333.0,tokyo
1,1,500.0,333.0,tokyo
2,2,833.0,333.0,tokyo
3,3,167.0,667.0,tokyo
4,4,500.0,667.0,tokyo
5,5,833.0,667.0,tokyo
6,6,1050167.0,333.0,kagoshima
7,7,1050500.0,333.0,kagoshima
8,8,1050833.0,333.0,kagoshima
9,9,1050167.0,667.0,kagoshima
10,10,1050500.0,667.0,kagoshima
11,11,1050833.0,667.0,kagoshima
