pp_size,load_multiplier,arm,label,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_communication_ms,mean_network_residual_ms,mean_router_wait_ms,mean_queue_ms,mean_prefill_ms,redirects,prewarm_hits,prewarm_wasted,energy_wh,cost_yen,utilization_pct,energy_mwh_per_request,ttft_vs_other_pp_pct,cost_vs_other_pp_pct
1,1,all_tokyo_baseline,All Tokyo,300,279.66907158,225.897136,554.2927394000002,708.30280298,1.2846981,1.284698100000002,0.0,30.620639816666674,247.76373366333337,0,0,0,62.498660083277805,1.4374691819153842,82.97187557737686,208.32886694425935,5.696432818640695,-10.886616869354693
1,1,kg_baseline,Tokyo + Kagoshima,300,284.9280817833333,234.454922,564.3310557000001,718.80831627,6.533986120000001,6.533986120000001,0.0,30.630361999999998,247.76373366333337,0,0,0,62.49953350344443,1.1740183209783253,82.9630202931651,208.33177834481475,5.653645541953556,-12.032916431642516
1,1,kg_proposed,Tokyo + Kagoshima + prewarm,300,285.08169372,234.79630600000002,564.3310557000001,718.80831627,6.533986120000001,6.533986120000001,0.0,30.752617913333335,247.79508968666667,0,0,1,62.5002115261111,1.1740307357327697,82.96405591836034,208.33403842037035,5.710606094967541,-12.03198621639615
1,2,all_tokyo_baseline,All Tokyo,300,326.6063133933333,254.358397,667.1670402000001,859.2769786499997,3.5893944665601576,1.3195502799999996,0.0,53.28620662,272.00055649333336,3,0,0,47.47592077450002,1.0919461778135042,73.67422004478676,158.2530692483334,-1.1424168136335733,-13.571282260020212
1,2,kg_baseline,Tokyo + Kagoshima,300,331.8560410966667,261.0107115,677.6774228,859.2779808099998,8.803667873226827,6.529975496666665,0.0,53.325509106666665,272.00055649333336,3,0,0,47.476806587166706,0.8859516012964368,73.66474468900121,158.25602195722234,-1.6722851236627978,-14.283323142402294
1,2,kg_proposed,Tokyo + Kagoshima + prewarm,300,333.07650652,261.71729300000004,677.4627036,878.2481468699995,8.803667873226827,6.529975496666666,0.0,53.20551534,273.34101568333335,3,0,6,47.48583909905557,0.8861340151730873,73.64835591051225,158.28613033018524,-1.3106657426644186,-14.265674422882723
1,3,all_tokyo_baseline,All Tokyo,300,500.17324816999997,404.9229635,1138.78188205,1547.9538414599986,26.369390333108484,1.7051903400000035,30.667866296666663,138.15538026666667,329.6448112666667,38,0,0,43.43805121222224,0.9990751778811036,66.81930588527443,144.7935040407408,24.188243787188092,-13.325718007970778
1,3,kg_baseline,Tokyo + Kagoshima,300,503.65700975666675,405.82552450000003,1131.8625519999998,1627.8947431099998,30.613149592808682,6.700285136666669,29.35693453,139.69515561,327.90463447999997,37,0,0,43.48148814249997,0.808803379445437,66.32260492374643,144.93829380833324,23.494389036922403,-13.853288005515886
1,3,kg_proposed,Tokyo + Kagoshima + prewarm,300,505.75630530000007,405.9415495,1143.81136135,1627.9913531799998,30.613149592808682,6.666611880000004,29.539079713333333,140.00902122333332,329.5415924833333,37,0,10,43.49203876922224,0.8090271412092616,66.32332482459027,144.97346256407414,24.00912667684354,-13.829454845673261
1,4,all_tokyo_baseline,All Tokyo,300,885.2840541200002,611.6847725,2748.58448855,3175.046006659999,49.7476404203353,1.7722831266666632,324.4015481033333,207.71280465000004,351.39741824000004,75,0,0,42.05147208750002,0.9671838580124934,64.16051247446373,140.17157362500004,68.52996859162745,-12.327929916373215
