model,n,n_scenarios,wait_mae_ms,wait_abs_error_p50_ms,wait_abs_error_p90_ms,wait_abs_error_p95_ms,ttft_mae_ms,ttft_abs_error_p50_ms,ttft_abs_error_p90_ms,ttft_abs_error_p95_ms,ttft_abs_error_p99_ms,ttft_r2,test_scenario
component,900,1,26.65349387139498,5.936129529102634,51.89435524417674,123.13225090203245,50.93646138897267,27.327565072756414,100.59414528830871,223.11402669229915,344.59642932685495,-0.11131454702935928,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
unified_ridge,900,1,78.64544086454865,6.844507528443545,66.92545740451004,119.91798346727977,98.29097011632722,27.06025946138655,92.40394868831648,204.40805988226495,366.2282477969768,-43.78561886983654,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
unified_gbdt_huber,900,1,18.610762575044152,6.082296892757654,58.999131797136684,94.27970791878326,47.41976552983691,29.498189439982866,88.97653003672082,182.11587117617404,336.4928933869211,0.5741574036472681,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
unified_gbdt_squared,900,1,19.012532415565172,6.038281992411819,56.26729011158021,91.46706640932571,48.17610737155623,29.59205309233488,88.84420173672977,188.50820003649818,376.52230237977983,0.5404965804393693,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
component,900,1,61.997802076796944,6.36137187049234,84.9873867775262,141.962382260654,88.28747566303427,25.23332343734978,119.2308426465146,283.54619839106323,1861.1455880577312,-1.0070706972234569,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2
unified_ridge,900,1,49.218607733318784,8.007495001630222,100.33274379649549,154.0528621416817,73.45486421768359,26.769937473224047,139.09246856779978,282.81923871673155,711.3487511229691,0.2977980454421566,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2
unified_gbdt_huber,900,1,31.426715829524195,6.0682271810374,69.7850695246122,117.82178855066533,60.32402295023237,27.433294337111704,119.18759230460041,263.9593997954124,490.58269677127197,0.69624612685908,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2
unified_gbdt_squared,900,1,34.405490471032266,5.948432399458429,72.88297539460359,120.85721948171047,64.33943637612393,27.733582895100653,122.39988840783022,255.61135659223328,545.469486579329,0.5483957353257479,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2
component,900,1,16.694422291008753,6.580242410195874,28.74182769622142,104.83756615503671,47.40600385142356,25.204966208324038,118.16608268095692,229.30790035427214,351.2273522159743,0.3245433953743023,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3
unified_ridge,900,1,21.83155000590777,7.768700231602114,50.90944689903401,119.17603619245332,47.231184583803795,25.898532347016527,97.01723255897399,215.7338754091024,344.07293824511726,0.30477681541039736,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3
unified_gbdt_huber,900,1,17.801066776961864,6.537045726875581,59.58680515587717,83.6633600316761,48.13405974444081,27.43091805477343,91.42888352793682,220.09447826154383,323.67554667357876,0.39487943631062483,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3
unified_gbdt_squared,900,1,17.590935660328405,6.350509891115859,51.84545825163282,94.24983867701745,49.05841359883608,27.54919681360124,91.4774217128553,228.39697085922813,336.63683769735735,0.3468604088435747,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3
component,900,1,280.85152836360504,6.810718651323928,275.4088732742953,1134.7872512905267,334.75547697111165,56.58888368725064,496.5252876343605,1244.8089221007253,6593.905607519205,-0.45434627781488945,2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1
unified_ridge,900,1,213.58328262196264,9.237400786492934,229.78432752439997,450.98332262732475,264.66101338561117,57.35412780912742,405.55871531580084,613.6215685890467,5728.714745648171,0.0755100171369284,2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1
unified_gbdt_huber,900,1,161.83925698512286,6.641078352776464,273.5020009613071,614.626101886556,215.98259077827873,54.74764354286708,467.77542028828805,654.8250586605917,3602.1999033170537,0.5551230627591084,2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1
unified_gbdt_squared,900,1,166.98256171208303,6.637149993975175,294.346019986675,509.3708187767438,222.1235061370619,54.830356235180375,472.76821422068497,642.9597953584314,4008.6037494011284,0.4797173739142423,2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1
component,900,1,677.2711728857511,9.656993983247618,1106.7621627219085,3844.080092952642,729.2417419781034,58.25838514630482,1122.8420641103364,3846.584470541791,15414.655429977072,0.5425902408975798,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1
unified_ridge,900,1,904.730706545672,19.51622925503337,969.2933749337552,4662.49564286842,953.0899007071489,63.219098096659536,1080.836453042341,4664.8337527575695,23140.909387379263,0.044192455634080585,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1
unified_gbdt_huber,900,1,795.6909521782304,8.688887372961183,706.3746943791211,3795.0278645058943,844.2944707164796,58.496481878259715,771.0943610998769,3794.2713690950427,20178.024249170103,0.24175012810399,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1
unified_gbdt_squared,900,1,839.1691748208845,8.619069246275595,693.8267793851192,3951.268452069723,891.808431805808,59.32082261494048,760.7481390607481,3950.5119566588714,21333.971914420123,0.15942689450534298,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1
component,900,1,521.3120357726084,10.431302835270248,1038.541692922165,3565.953662947851,572.5329824442507,57.10065189864645,1057.2452630010787,3561.9907937921375,9185.000784961208,0.707618883912165,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed2
unified_ridge,900,1,755.079041877508,30.64815074994072,1000.2401478847644,4567.556075953299,797.4407143902359,66.71926055375155,1002.1735680779387,4561.799353409013,15979.288355497043,0.08022506223299153,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed2
unified_gbdt_huber,900,1,624.8260618978455,9.15131542391227,1189.217742632787,3640.627516587519,675.4669642418811,56.01524342123531,1180.1127604770727,3646.253610543233,11443.448378381707,0.4574740163600678,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed2
unified_gbdt_squared,900,1,634.5956990838579,9.115380049690362,858.1706191554778,3371.9343765472995,686.9283050073186,55.85982761184579,900.8870556333534,3371.8782139530135,12494.232386816308,0.3575959432261079,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed2
component,900,1,243.30071605933338,9.109496384554111,262.3360470766913,1292.6798414990226,293.83187235041277,55.47226763547354,468.69051152097273,1279.101222881364,5964.122177996594,0.7633352466478428,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed3
unified_ridge,900,1,418.65873408846033,12.637697560905611,256.57848990594545,1791.9000271485436,461.0314725260936,58.4031318120164,401.60102243657127,1761.0165214953045,11115.436670582842,0.1236148100628226,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed3
unified_gbdt_huber,900,1,301.0133672899265,8.170484234392797,306.2610839588959,755.3031341023614,346.8148345409583,55.37281903603298,450.63970910154933,827.542206016241,7247.9475652058545,0.4642640720945561,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed3
unified_gbdt_squared,900,1,328.53087015202965,8.230565746639758,261.4560994005887,682.0678612660691,376.65662308689707,55.421091583532814,414.87609690336,708.3577397707958,8840.429835936835,0.337704069131615,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed3
component,900,1,289.3171127506123,8.41306282257699,149.03683584630176,1607.8567533336982,324.70688627087594,21.6823602599338,326.89980614066866,1946.986096661348,6589.177463884645,0.6439450049129986,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1
unified_ridge,900,1,427.613704083747,9.844528884050927,165.18944139957057,1708.1515588783734,456.5568611443757,24.681234321639664,280.90771105975654,1338.391170220059,11971.437409587337,0.08737183100400137,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1
unified_gbdt_huber,900,1,369.87712491285805,7.489656704450914,153.74992205418746,1039.7073398855343,390.80153790278194,24.549724592828966,210.17291044890652,716.7979167127658,9911.54953655371,0.34775617677849135,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1
unified_gbdt_squared,900,1,384.68774729706115,7.418974272130538,148.8935560980167,948.8124573562746,410.9094477390491,24.512816304122396,217.35704420378877,955.9425626729284,10522.042592506225,0.27189736443800583,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1
component,900,1,3670.3468992181847,368.56030239993424,11209.838613793016,19949.61067619887,3711.9423288871494,510.72187027868654,11217.353426885042,19951.586775390897,31665.044638889565,0.13615292425671965,2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1
unified_ridge,900,1,4235.369911512868,262.9406045338494,13690.514183999789,20483.372760040314,4272.109743933285,409.24295990940146,13692.064953591811,20478.92865723234,40476.37287459313,-0.1890891723885053,2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1
unified_gbdt_huber,900,1,3733.8444366629874,276.4948023670679,11849.825555065308,19895.82963339118,3782.2492575608153,420.8010410150231,11845.298717257334,19897.8057325832,32522.729913079253,0.07597183339873925,2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1
unified_gbdt_squared,900,1,3868.2350838512557,265.6834492188359,12106.335712114858,20285.035996167735,3917.032227159688,439.2210381717333,12102.328803006883,20284.040926916554,33550.854244798014,0.007922744197330411,2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1
component,900,1,1214.2222027035002,11.22143248790028,4111.0043423598745,8767.730117799672,1269.0686749928864,84.4953033071169,4091.779775017871,8764.876103812463,13955.066189998548,0.5389828288032898,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1
unified_ridge,900,1,1620.827135048148,39.88395878518409,4809.883863385486,9699.617220742168,1672.18421798789,87.24777931924103,4786.853716127929,9695.166347839662,26576.263496957723,-0.034114438443728856,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1
unified_gbdt_huber,900,1,1403.8771979134556,9.206126789097654,4289.92987100155,9148.667303040724,1454.9999460881018,78.1683642462126,4274.060276449044,9136.90768363822,20631.825900363612,0.19204463999322963,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1
unified_gbdt_squared,900,1,1461.9507913985735,9.125473847462807,4550.415536172555,9506.842514192664,1514.1402839988398,78.15488029234007,4529.01479642005,9500.289787640158,22222.906418169874,0.1355012543190942,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1
component,900,1,1050.833389825701,10.161665838296443,2434.9506268608416,6683.9760625156,1114.7179062377936,78.29577082691776,2460.9047872430947,6678.753587665303,16391.445191213807,0.5754649047686684,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed2
unified_ridge,900,1,1544.7151805170688,28.862755907234906,3778.0549557596214,8114.51459969666,1612.0362111517668,84.06743765674992,3756.636399366316,8103.156009779615,27291.823889276075,-0.055408510652753096,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed2
unified_gbdt_huber,900,1,1313.4675993956175,9.458354329062402,2957.707970844829,6872.237842468197,1378.1685383897245,79.38889552693149,2943.1359276277826,7130.104885851152,25112.45281016093,0.19239707778260673,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed2
unified_gbdt_squared,900,1,1391.0676686794457,9.490961238242406,3455.3929015473777,7024.1318263993,1456.2546791950545,79.09579676635428,3438.915716130332,7268.948315382267,25742.861459766635,0.12067732438878676,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed2
component,900,1,775.2514561172386,10.71108994535873,1407.635983599578,5052.723967978609,832.3274186822583,78.43973148627896,1539.7089418493917,5233.762719683189,14767.791809092521,0.5553789113939771,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed3
unified_ridge,900,1,1138.306344235594,31.28709887747568,2327.0445819000306,8695.170930691158,1194.5811317478706,87.40350348951824,2307.4936672189474,8693.50049619791,21454.69934344401,-0.01838280115239832,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed3
unified_gbdt_huber,900,1,886.7400738257461,9.088394600144854,1355.2044993929383,5031.924334465349,939.1259851660946,74.846816550766,1454.942274664269,5031.7225170307365,19114.20341032,0.33376014994026726,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed3
unified_gbdt_squared,900,1,956.5195527108366,9.14896522163351,1329.7570934024386,6013.7068829244445,1012.8655962027733,76.73236342596351,1442.2640289253902,6261.746690831208,20020.569789088284,0.23091613803123934,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed3
component,900,1,504.12947855865326,7.630903351585931,541.3773161395417,2834.688056682574,562.2553925778604,48.2574484085589,629.2712839952544,2907.80836698566,12042.579424770149,0.4564585272930819,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1
unified_ridge,900,1,631.3657607294095,12.116422968648376,325.3686900393102,3018.5123922972844,687.5000975631108,52.991387036394144,465.97633001177877,3104.9820468041107,15620.232355196882,0.001834908834350224,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1
unified_gbdt_huber,900,1,530.8027877614182,7.389248044885443,463.61413927348553,1945.291403400218,566.1114557871323,47.3633380413919,416.99854940547175,1971.0618798072514,13356.59192636157,0.2509489293500432,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1
unified_gbdt_squared,900,1,555.732051902102,7.421222989883228,360.2618470014804,2361.9018382197855,602.5848148250326,48.66832599405353,431.32861602901266,2368.8751660258195,14004.11801446516,0.17999005838047,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1
component,900,1,361.404261733123,8.253337983871782,792.4336423868864,2224.2526210529436,421.11123745043506,51.06671023344484,916.2451787471344,2257.411843753758,7300.6091538709115,0.7061810531515399,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed2
unified_ridge,900,1,585.957802879907,11.402773036678418,457.4639744417657,3682.5480559937832,644.895052330692,55.93535108780634,676.2984981642519,3666.1715005606975,15170.480984065669,-0.0032085342109844373,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed2
unified_gbdt_huber,900,1,459.6378980196517,7.495556946570211,529.2248128221825,2124.6584317704633,493.50720904422025,51.00099357541882,453.3886515778901,2180.7826072413354,12876.484379063364,0.3663473069305938,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed2
unified_gbdt_squared,900,1,489.0479630009518,7.62408887200267,447.67846040237924,2724.719413009464,534.863205591791,51.75655681677222,555.7925564247008,2824.9561539917836,13608.701296615962,0.266225670346098,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed2
