model,n,n_scenarios,wait_mae_ms,wait_abs_error_p50_ms,wait_abs_error_p90_ms,wait_abs_error_p95_ms,ttft_mae_ms,ttft_abs_error_p50_ms,ttft_abs_error_p90_ms,ttft_abs_error_p95_ms,ttft_abs_error_p99_ms,ttft_r2
component,13500,15,666.5132311371452,8.593472540287863,1014.4693884401117,4046.852319790602,714.6412465859496,49.19913300327025,1079.7447675758074,4090.6253118137106,13598.877160135711,0.46634355363553925
unified_ridge,13500,15,861.7326991227961,13.035712904210891,912.6285563604323,5235.727036045594,905.9617714238383,56.42156727778058,958.7824199509805,5298.7806485321735,18814.800860400854,0.04232975754909318
unified_gbdt_huber,13500,15,724.3141526489713,7.92609810641995,794.9292110303265,3932.0423795549514,766.3273579398673,49.53930287769117,863.0952211757469,3988.9295837939835,15979.3483662476,0.2889380387797761
unified_gbdt_squared,13500,15,758.2308260312933,7.8982566273552415,751.4416967492838,4335.544676833762,803.9311467932315,49.880325689782495,871.9001630544338,4348.826754938331,16987.658615716737,0.22138483393493258
