condition,input_tokens,reuse,policy,communication_ms,router_wait_ms,scheduler_queue_ms,prefill_ms,other_ms
input10000_reuse00,10000,0.0,KV migrate,0.19572004999999998,16585.104989173335,101.27898298333334,1349.5457413666666,0.30460111999855144
input10000_reuse00,10000,0.0,Multi learned,0.48614335,13353.505298139999,73.78474535,1346.6019925466667,-0.4545758833319269
input10000_reuse025,10000,0.25,KV migrate,87.41462002476923,14920.054563226668,81.03186567189721,1072.8898705066667,0.5885170299989113
input10000_reuse025,10000,0.25,Multi learned,193.37173520630773,10599.383506959999,120.39055121035942,1099.4189332466667,-0.4104823766665504
input10000_reuse05,10000,0.5,KV migrate,160.41889988600002,9853.093052316668,62.75633506066639,758.9643534033333,-0.19129213000269374
input10000_reuse05,10000,0.5,Multi learned,371.96030632907684,7390.195336503333,67.0243405442559,785.8538556533333,-0.16940999333201034
input2000_reuse00,2000,0.0,KV migrate,0.0,0.0,16.506215246666667,217.40135997333334,0.0
input2000_reuse00,2000,0.0,Multi learned,0.0,0.0,16.506215246666667,217.40135997333334,0.0
input2000_reuse025,2000,0.25,KV migrate,0.0,0.0,12.32616525,167.83275984666668,-2.842170943040401e-14
input2000_reuse025,2000,0.25,Multi learned,0.0,0.0,12.32616525,167.83275984666668,-2.842170943040401e-14
input2000_reuse05,2000,0.5,KV migrate,0.0,0.0,10.1083604,113.92612396666667,0.0
input2000_reuse05,2000,0.5,Multi learned,0.0,0.0,10.1083604,113.92612396666667,0.0
input512_reuse00,512,0.0,KV migrate,0.0,0.0,8.341675503333333,57.509450460000004,0.0
input512_reuse00,512,0.0,Multi learned,0.0,0.0,8.341675503333333,57.509450460000004,0.0
input512_reuse025,512,0.25,KV migrate,0.0,0.0,8.59791315,44.85657568333333,7.105427357601002e-15
input512_reuse025,512,0.25,Multi learned,0.0,0.0,8.59791315,44.85657568333333,7.105427357601002e-15
input512_reuse05,512,0.5,KV migrate,0.0,0.0,8.22029307,32.48582115666667,0.0
input512_reuse05,512,0.5,Multi learned,0.0,0.0,8.22029307,32.48582115666667,0.0
