condition,input_tokens,reuse,kv_mean_ms,multi_mean_ms,mean_improvement_pct,kv_p50_ms,multi_p50_ms,p50_improvement_pct,kv_p95_ms,multi_p95_ms,p95_improvement_pct,kv_p99_ms,multi_p99_ms,p99_improvement_pct,better_requests,worse_requests,same_requests,kv_redirects,multi_redirects
input512_reuse00,512,0.0,65.85112596333333,65.85112596333333,0.0,65.6143375,65.6143375,0.0,76.1344781,76.1344781,0.0,80.81462427999999,80.81462427999999,0.0,0,0,300,0,0
input512_reuse025,512,0.25,53.454488833333336,53.454488833333336,0.0,53.7278675,53.7278675,0.0,63.0063561,63.0063561,0.0,64.68104049,64.68104049,0.0,0,0,300,0,0
input512_reuse05,512,0.5,40.70611422666667,40.70611422666667,0.0,40.6481435,40.6481435,0.0,49.834763550000005,49.834763550000005,0.0,52.5033457,52.5033457,0.0,0,0,300,0,0
input2000_reuse00,2000,0.0,233.90757522,233.90757522,0.0,226.74179900000001,226.74179900000001,0.0,298.46911320000015,298.46911320000015,0.0,385.22959661,385.22959661,0.0,0,0,300,0,0
input2000_reuse025,2000,0.25,180.15892509666665,180.15892509666665,0.0,176.3797615,176.3797615,0.0,198.49759990000007,198.49759990000007,0.0,285.46987358999996,285.46987358999996,0.0,0,0,300,0,0
input2000_reuse05,2000,0.5,124.03448436666666,124.03448436666666,0.0,123.7234815,123.7234815,0.0,134.83243305,134.83243305,0.0,175.47073465,175.47073465,0.0,0,0,300,0,0
input10000_reuse00,10000,0.0,18036.430034693334,14773.923603503332,18.0884267280971,12277.303748,14819.170239,-20.703784342014625,65266.524625200014,30956.84527615,52.568571018722096,94740.23821726999,31590.323134899998,66.65585422906244,106,150,44,93,231
input10000_reuse025,10000,0.25,16161.979436459998,12012.154244246667,25.676466230687634,8737.484559,12177.549014,-39.37133658744586,69800.3927959,25330.4955212,63.71009602300134,107709.32273265999,25983.555436119997,75.87622428876236,104,148,48,99,219
input10000_reuse05,10000,0.5,10835.041348536666,8614.864429036668,20.49071016973872,5761.252689999999,8832.604901499999,-53.310492991065104,40670.77768340002,18486.904394800004,54.54499410188184,50475.98386751999,19329.75269867,61.70505016919897,119,127,54,91,211
