pp,environment,peak_nx,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,communication_ms,router_queue_ms,scheduler_queue_ms,prefill_ms,residual_ms,mean_gpu_utilization_pct,estimated_cluster_power_w,estimated_energy_wh,estimated_electricity_yen,estimated_electricity_yen_per_hour,estimated_electricity_yen_per_1000_requests,miyabi_yen_same_elapsed,miyabi_yen_per_1000_requests,elapsed_s,source_csv
1,cloud,2,600,48.332450431666665,44.3744485,78.11797494999999,99.89028801,1.2860066399999999,0.0,4.210786131666667,42.835657659999995,0.0,93.1879015551774,6773.290153416312,70.5179253651275,1.6219122833979323,155.78567352857516,2.7031871389965536,3.1858202842300005,5.309700473716667,37.480238638,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_2x_repeat600_seed1_1_nearest_kv/requests.csv
1,distributed,2,600,48.33050225333333,44.3728685,78.11725039999997,99.88726992000001,1.2842559333333334,0.0,4.210697876666667,42.835657659999995,6.751666666666666e-05,93.18790616233028,6773.290442008369,70.5179248833475,1.6219122723169925,155.7856801661925,2.703187120528321,3.1858201267250004,5.309700211208335,37.480236785,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_2x_repeat600_seed1_1_nearest_kv/requests.csv
1,cloud,3,600,51.419514011666664,46.2374095,86.81230475,119.69993715,1.2860066399999999,0.0,6.219592538333333,43.91391483333334,0.0,93.33875474868232,6782.739597457461,51.380138971762506,1.1817431963505376,156.0030107415216,1.9695719939175627,2.317989994965,3.863316658275,27.270470529,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_3x_repeat600_seed1_1_nearest_kv/requests.csv
1,distributed,3,600,51.45176209,46.2348615,86.85342564999996,120.75752326999996,1.2842559333333334,0.0,6.253700273333333,43.913915100000004,6.751666666666666e-05,93.33877672233153,6782.740973886848,51.3801459071675,1.1817433558648525,156.00304239939751,1.969572259774754,2.31798983746,3.8633163957666663,27.270468676,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_3x_repeat600_seed1_1_nearest_kv/requests.csv
1,cloud,4,600,54.577264174999996,47.358025,96.64560104999998,131.6640693,1.2860066399999999,0.0,7.316567241666666,45.97469029333334,0.0,92.3707213965728,6722.101988281321,41.511807343944994,0.9547715689107349,154.60834573047038,1.5912859481845583,1.88967871499,3.1494645249833337,22.231514294,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_4x_repeat600_seed1_1_nearest_kv/requests.csv
1,distributed,4,600,54.57500292,47.3548275,96.64286915,131.66065447,1.2842559333333334,0.0,7.3161659100000005,45.97469029333334,6.751666666666666e-05,92.37071957670689,6722.101874284919,41.511807457825,0.9547715715299749,154.60834310855316,1.591285952549958,1.88967875222,3.149464587033333,22.231514732,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_4x_repeat600_seed1_1_nearest_kv/requests.csv
1,cloud,5,600,57.755860295000005,49.46107,114.49629824999988,138.50930627999998,1.2860066399999999,0.0,9.052114796666666,47.41773885833334,0.0,88.45989692565571,6477.127943423075,36.198871275520005,0.8325740393369601,148.9739426987307,1.3876233988949336,1.710149113475,2.850248522458333,20.119401335,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_5x_repeat600_seed1_1_nearest_kv/requests.csv
1,distributed,5,600,57.75420100833333,49.4577315,114.49316474999988,138.50628718,1.2842559333333334,0.0,9.052315433333334,47.41773885833334,6.751666666666666e-05,88.45988117651441,6477.126956896864,36.19887220684,0.8325740607573201,148.97392000862789,1.3876234345955336,1.7101494179449999,2.8502490299083334,20.119404917,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_5x_repeat600_seed1_1_nearest_kv/requests.csv
1,cloud,6,600,61.76379518333333,51.355542,133.20431334999992,157.31835246999998,1.2860066399999999,0.0,10.422371758333332,50.055416785,0.0,85.38402882768801,6284.455565766377,32.8737333732725,0.7560958675852675,144.54247801262667,1.260159779308779,1.600673647375,2.667789412291667,18.831454675,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_6x_repeat600_seed1_1_nearest_kv/requests.csv
1,distributed,6,600,61.762839203333336,51.361252,133.21828849999991,157.31534005999998,1.2842559333333334,0.0,10.423275701666666,50.055416785,6.751666666666666e-05,85.38395946028021,6284.451220591952,32.8737373510125,0.7560959590732876,144.54237807361488,1.2601599317888128,1.60067494779,2.66779157965,18.831469974,experiments/2026-08-24-simulate-both-local-and-cloudlike/results_no_ran_no_pp/distributed_apn/peak_6x_repeat600_seed1_1_nearest_kv/requests.csv
1,cloud,7,600,66.16777598833333,54.0660135,141.33707434999985,187.16990549999994,1.2860066399999999,0.0,12.366145824999998,52.51562352333333,0.0,82.96778952544011,6133.102335873569,30.7313966232075,0.7068221223337725,141.0613537250921,1.1780368705562876,1.5332872095899999,2.55547868265,18.038673054,experiments/2026-08-24-simulate-both-local-and-cloudlike/results/clustered_cloud/peak_7x_repeat600_seed1_1_nearest_kv/requests.csv
