pp,peak_nx,mean_ttft_ms_cloud,mean_ttft_ms_distributed,p50_ttft_ms_cloud,p50_ttft_ms_distributed,p95_ttft_ms_cloud,p95_ttft_ms_distributed,p99_ttft_ms_cloud,p99_ttft_ms_distributed,mean_ttft_ms_distributed_minus_cloud,mean_ttft_ms_distributed_over_cloud,p50_ttft_ms_distributed_minus_cloud,p50_ttft_ms_distributed_over_cloud,p95_ttft_ms_distributed_minus_cloud,p95_ttft_ms_distributed_over_cloud,p99_ttft_ms_distributed_minus_cloud,p99_ttft_ms_distributed_over_cloud
1,2,48.332450431666665,48.33050225333333,44.3744485,44.3728685,78.11797494999999,78.11725039999997,99.89028801,99.88726992000001,-0.001948178333336159,0.9999596921257677,-0.0015799999999970282,0.9999643939236789,-0.000724550000015256,0.9999907249259792,-0.003018089999997642,0.9999697859515663
1,3,51.419514011666664,51.45176209,46.2374095,46.2348615,86.81230475,86.85342564999996,119.69993715,120.75752326999996,0.03224807833333898,1.0006271564201485,-0.00254799999999733,0.9999448931065223,0.041120899999967264,1.0004736759393542,1.0575861199999679,1.0088353105705867
1,4,54.577264174999996,54.57500292,47.358025,47.3548275,96.64560104999998,96.64286915,131.6640693,131.66065447,-0.0022612549999934117,0.9999585678206085,-0.003197499999998854,0.9999324824039854,-0.0027318999999863536,0.9999717328055255,-0.0034148299999969822,0.9999740640706447
1,5,57.755860295000005,57.75420100833333,49.46107,49.4577315,114.49629824999988,114.49316474999988,138.50930627999998,138.50628718,-0.001659286666672699,0.9999712706787122,-0.0033384999999981346,0.9999325024711354,-0.003133500000004119,0.9999726323029836,-0.003019099999988839,0.9999782029086631
1,6,61.76379518333333,61.762839203333336,51.355542,51.361252,133.20431334999992,133.21828849999991,157.31835246999998,157.31534005999998,-0.0009559799999934171,0.9999845220003538,0.005710000000000548,1.0001111856632727,0.013975149999993164,1.000104915146128,-0.0030124099999966347,0.9999808515030021
1,7,66.16777598833333,66.165047635,54.0660135,54.062969,141.33707434999985,141.33377484999986,187.16990549999994,187.16865068999994,-0.002728353333338873,0.9999587661321151,-0.0030444999999943434,0.9999436892087485,-0.003299499999997124,0.999976655099059,-0.0012548100000060458,0.9999932958773653
1,8,71.482481295,71.47975294166666,57.121383,57.1185225,155.76554809999988,155.76239984999987,208.84225519,208.83944393,-0.002728353333338873,0.9999618318602836,-0.0028605000000041514,0.9999499224309747,-0.0031482500000095115,0.9999797885345096,-0.0028112600000156363,0.9999865388352684
1,9,79.69323122,79.69050286666666,61.755304,61.752102,185.62111879999978,185.61837874999975,259.8761403199999,259.8746971399999,-0.002728353333338873,0.9999657643027949,-0.0032020000000017035,0.9999481502026125,-0.0027400500000283046,0.9999852384792326,-0.0014431799999670147,0.9999944466621745
1,10,90.99249011166667,91.01905847833333,64.448749,64.490251,245.87281464999998,245.86996549999998,356.30953909,356.30729312,0.026568366666666066,1.0002919841696174,0.041501999999994155,1.0006439535389584,-0.0028491500000029646,0.9999884120983279,-0.0022459699999899385,0.999993696576281
2,7,71.73940018166667,102.803059915,59.9562725,80.035729,141.36770064999993,230.92494424999992,191.31269247999995,262.17420046999996,31.06365973333334,1.4330069620692452,20.079456500000006,1.3349016818882462,89.55724359999999,1.6335056960551904,70.86150799,1.3703962715249953
2,8,79.27364556333333,121.15630966833334,64.000772,97.7731555,165.99629525,278.25383984999996,202.9667296,336.7305646299999,41.882664105,1.5283302389763203,33.772383500000004,1.527687126961531,112.25754459999996,1.6762653614102268,133.76383502999988,1.6590431608846294
2,9,96.392508375,170.19279210666664,76.586019,126.7169845,208.00731339999996,403.0342021999999,260.33827894999996,541.2380891499997,73.80028373166664,1.765622608808541,50.1309655,1.6545707187104217,195.02688879999997,1.9375963066498603,280.89981019999976,2.078980053693713
2,10,117.26945850666667,211.97139839833335,97.5701505,166.245052,253.45326064999983,531.9761461999999,331.03141258999983,704.1449475899999,94.70193989166668,1.8075584307936663,68.67490149999999,1.703851548327785,278.52288555000007,2.0989122208793343,373.11353500000007,2.12712425712336
