rate,policy,dimension,value,requests,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,redirects,router_wait_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,completion_mean_ms
2.5,KV migrate,phase,normal,720,550.0349650250001,492.4461845,1294.35294635,1623.2772273599999,1884.756042,7,0.0,44.76436103542077,503.2715728833333,16192.449599059722
2.5,KV migrate,phase,burst,180,660.8282550166666,546.070554,1546.1406233499995,2391.0907242100006,2491.945961,5,0.0,114.59450034890205,542.0599674888889,17546.459012883333
2.5,KV migrate,input,512,150,107.12696058000002,66.74190200000001,440.7172761499999,865.9352544099977,1016.316398,0,0.0,33.78579614666667,73.34116443333333,15764.070156013335
2.5,KV migrate,input,2000,150,259.4687376066666,189.195132,919.1615152499951,1360.9731180099984,1565.600943,0,0.0,65.14930652666666,194.31943108000002,15777.71196064
2.5,KV migrate,input,4000,150,434.8338899333333,375.27187949999995,1012.7202813999985,1264.468833179999,1380.531767,3,0.0,54.961632829214984,377.71740544666665,15886.614219153334
2.5,KV migrate,input,6000,150,719.39212228,676.3933285,1528.838700399999,2170.408314989996,2481.845609,2,0.0,102.72938111738856,615.5840422866667,16601.954147893335
2.5,KV migrate,input,8000,150,829.4713258533333,780.624446,1313.3003883999984,1732.3719839499993,1806.889174,3,0.0,52.74717567020116,772.4377185533333,17156.186324860002
2.5,KV migrate,input,10000,150,1082.8687018866667,1037.1903069999998,1589.1388441499987,2112.172832599997,2491.945961,4,0.0,43.0090410985641,1032.7757490266667,17592.972082386666
2.5,KV migrate,reuse,0.0,300,707.3968434599999,725.2854255,1376.42458355,1888.7398834099963,2491.945961,5,0.0,62.49350954333334,644.8748195366667,16607.80927411
2.5,KV migrate,reuse,0.25,300,578.5113894366667,563.881704,1165.9789618500004,1684.1658614499993,2481.845609,3,0.0,56.150001409968446,520.7592346133333,16476.77712708
2.5,KV migrate,reuse,0.5,300,430.67263617333333,389.5338165,1234.03676765,1557.5917242,1965.827859,4,0.0,57.5476557410493,367.4537012633333,16305.168044283333
2.5,Multi no model,phase,normal,720,548.4612373444444,491.69461950000004,1294.35294635,1623.2772273599999,1884.756042,7,0.0,43.7865317187541,502.67808109305554,16195.967492786112
2.5,Multi no model,phase,burst,180,662.7556871777778,546.0698105,1546.1406233499995,2391.0907242100006,2491.945961,5,0.0,117.28464513223538,541.2944841888889,17461.392514794446
2.5,Multi no model,input,512,150,107.72477257999999,67.76494650000001,440.7172761499999,865.9352544099977,1016.316398,0,0.0,34.28725906666667,73.43751351333333,15796.681389833335
2.5,Multi no model,input,2000,150,259.44253390666665,189.572208,919.1615152499951,1360.9731180099984,1565.600943,0,0.0,65.23237419333334,194.21015971333333,15743.091356593333
2.5,Multi no model,input,4000,150,432.02546194,374.98607000000004,960.2855537999999,1353.4433459199995,1494.011389,3,0.0,54.87088951588165,374.99972076666666,15829.823468626668
