rate,policy,dimension,value,requests,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,redirects,router_wait_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,completion_mean_ms
2.5,Multi no model,input,6000,150,717.0914606533333,676.3933285,1537.9871770999987,2170.408314989996,2481.845609,2,0.0,101.21584369738856,614.7969180800001,16577.507490746666
2.5,Multi no model,input,8000,150,829.9199563733333,785.2392095,1342.1772987999996,1732.3712553199991,1796.070559,3,0.0,52.53774257686783,773.1040089066666,17165.60611394
2.5,Multi no model,input,10000,150,1081.7165784133335,1035.5578865,1589.1388441499987,2112.172832599997,2491.945961,4,0.0,42.77281735856409,1031.8598492933334,17581.605163386666
2.5,Multi no model,reuse,0.0,300,705.5855748633334,722.0860809999999,1362.3995160000002,1888.7398834099963,2491.945961,5,0.0,61.449985979999994,644.1054120966667,16585.30868802333
2.5,Multi no model,reuse,0.25,300,574.9398769433333,562.2421345,1200.6057304000008,1684.1643893199991,2481.845609,3,0.0,53.69647473330178,519.6470245733333,16440.547117296668
2.5,Multi no model,reuse,0.5,300,433.4349301266667,388.3207085,1234.03676765,1565.68637774,1965.827859,4,0.0,60.3120024910493,367.45164846666665,16321.301686243334
2.5,Multi learned,phase,normal,720,549.6178760111111,491.69461950000004,1297.8519465999998,1661.4957383099975,1884.756042,7,0.0,43.8976464687541,503.7268253375,16217.033051808332
2.5,Multi learned,phase,burst,180,655.5060912333333,548.217204,1549.7220558999998,2391.0907242100006,2491.945961,5,0.0,112.1359159544576,539.1975377833332,17494.736623483335
2.5,Multi learned,input,512,150,107.22383597333334,66.2634435,440.7172761499999,865.9352544099977,1016.316398,0,0.0,33.782274486666665,73.44156148666667,15789.940496533332
2.5,Multi learned,input,2000,150,259.35927711333335,189.195132,919.1615152499951,1360.9731180099984,1565.600943,0,0.0,65.13660549333333,194.22267162,15807.556611733333
2.5,Multi learned,input,4000,150,425.41769865333333,372.6707035,935.9135327499988,1258.024699619999,1389.994805,3,0.0,47.247506589214986,376.01557414,15836.693332213334
2.5,Multi learned,input,6000,150,717.2522487533333,676.3933285,1537.9871770999987,2170.408314989996,2481.845609,2,0.0,101.15444194405524,615.0342946333333,16602.45211004
2.5,Multi learned,input,8000,150,828.4976198199998,782.9988265,1313.3003883999984,1732.3719839499993,1806.889174,3,0.0,52.71058017020116,771.51361004,17134.428483826665
2.5,Multi learned,input,10000,150,1087.0224340200002,1045.101091,1622.8371888,2112.172832599997,2491.945961,4,0.0,45.24039351189743,1034.69809504,17664.371562513334
2.5,Multi learned,reuse,0.0,300,705.6802166133333,722.0860809999999,1362.8726679000004,1888.7398834099963,2491.945961,5,0.0,60.26980639,645.3825856533333,16604.611396963333
2.5,Multi learned,reuse,0.25,300,574.4916672566667,560.747395,1155.0356458500005,1684.1658614499993,2481.845609,3,0.0,53.57196055996844,519.3310747,16462.004984643332
2.5,Multi learned,reuse,0.5,300,432.21467329666666,389.5363445,1209.8803903500002,1575.232137879999,1965.827859,4,0.0,58.794134147715965,367.74924312666667,16351.104916823333
3.33,KV migrate,phase,normal,720,698.6184402652777,527.599311,1610.0360843499986,3925.279676569978,13020.562466,62,95.63032915833332,65.31257644481921,521.6496893527777,18129.666782297223
3.33,KV migrate,phase,burst,180,787.5631255833333,720.6369705,1939.3289848,2669.296798040006,3291.042862,20,13.411009255555555,180.65136185864569,571.4779426444445,19632.411515105556
3.33,KV migrate,input,512,150,200.3066711,70.1656385,1017.3892293999995,1386.659934419998,1508.967598,4,0.0,99.1235357803392,100.93736962,17004.5699318
3.33,KV migrate,input,2000,150,343.99262686666674,213.33246300000002,1209.21176065,2622.754462669997,4000.750982,7,49.36882254,83.05555108320313,209.67207144,17853.516782233335
3.33,KV migrate,input,4000,150,501.8311363000001,383.4253125,1347.3774038499992,1720.7725347199985,1829.888745,9,10.881895160000001,83.87290438621702,397.77890524000003,18279.82726952
3.33,KV migrate,input,6000,150,908.0949404466668,712.451896,1759.5964091999992,5128.606410019991,10041.555312,21,179.97777303333334,90.95029434639844,615.8617571333333,18840.922871013332
3.33,KV migrate,input,8000,150,1081.70513866,975.6982115000001,2169.2251794999997,3707.5152878099916,5831.601703,23,112.34321692,110.26414545181073,820.45071912,18973.776255073335
3.33,KV migrate,input,10000,150,1262.5137506,1132.774577,2082.1698086999977,3121.8834155999966,13020.562466,18,122.54708341333333,63.01557011753852,1044.9912175133334,19628.681263513332
3.33,KV migrate,reuse,0.0,300,867.0737185533333,740.1897605,1806.589935350001,3608.945485489995,13020.562466,25,90.38047459,100.64425504,675.8807951633333,18607.218937556667
3.33,KV migrate,reuse,0.25,300,646.8329399666667,555.69618,1540.1615551000007,2620.8759915999967,4658.66084,29,43.54530152666666,74.52117767621698,511.6433670733333,18216.653789806667
3.33,KV migrate,reuse,0.5,300,635.3154734666667,421.5165275,1677.9557770500005,4016.5446995999855,10041.555312,28,103.63361941666668,89.97556786653654,407.3218577966667,18466.774459213335
3.33,Multi no model,phase,normal,720,583.2309349611112,511.6078155,1341.8249051999999,1644.3432436599987,2215.280475,39,0.0,56.05116568728638,517.9185823736111,17623.829548625
3.33,Multi no model,phase,burst,180,704.553403261111,643.135438,1520.9070734999991,2470.41402512,3193.44453,16,0.0,141.55376937757399,547.7739605277778,18849.65241825
3.33,Multi no model,input,512,150,176.65790895999996,71.0830285,865.4328313999978,1287.1057869599995,1508.967598,3,0.0,79.90208074350296,96.61822514666666,16782.018467726666
3.33,Multi no model,input,2000,150,284.14916608666664,209.98244,919.8842241499997,1394.3778193399987,2458.753907,4,0.0,76.55669360944381,205.38873178,17405.88474036
3.33,Multi no model,input,4000,150,463.4614197133333,385.3594035,1009.5183966999999,1664.5411144299972,1852.659609,5,0.0,66.2443677578304,391.52864877999997,17955.120435533332
3.33,Multi no model,input,6000,150,690.9402774133333,698.9648465,1422.8010034999986,1636.3266352899998,1725.51225,14,0.0,68.97483286733734,603.7940223866667,17893.63240364667
3.33,Multi no model,input,8000,150,907.7427680266665,930.9463559999999,1409.136471399999,2117.2545265599983,2336.246624,19,0.0,83.40645959620524,805.60993138,18261.612147486667
3.33,Multi no model,input,10000,150,1122.0210315266668,1080.4138295,1543.8495538500001,2360.756730329997,3193.44453,10,0.0,63.82568397774366,1040.3983885533332,18915.696540546665
3.33,Multi no model,reuse,0.0,300,738.0051638266666,724.132673,1499.2700968000001,2201.11211079,3193.44453,19,0.0,76.38661964666666,661.44603886,17987.26451225667
3.33,Multi no model,reuse,0.25,300,594.5727628366667,557.893284,1346.5800729500004,1852.9844409099996,2458.753907,17,0.0,72.94908975525844,511.00064633999995,17772.69567676333
3.33,Multi no model,reuse,0.5,300,489.9083592,412.74856750000004,1214.0311322000002,1436.6363450299998,1675.504345,19,0.0,70.1193498741066,399.2222888133333,17847.022178630003
3.33,Multi learned,phase,normal,720,590.8457479638889,526.1845995,1355.3819423,1721.3152736199968,2199.357781,42,0.0,59.90579221956448,520.4798227819444,17750.296554788885
3.33,Multi learned,phase,burst,180,721.4535228722223,646.349382,1542.5921675999982,2470.41402512,3193.44453,16,0.0,153.7071216664629,552.543317961111,19126.959525083334
3.33,Multi learned,input,512,150,187.64663424666668,70.620913,956.3040026999989,1328.5721316599995,1508.967598,3,0.0,88.85348402350296,98.66080894,16929.30110562
3.33,Multi learned,input,2000,150,284.8806211533333,218.96739300000002,916.9945349499984,1276.212074859999,2458.753907,4,0.0,74.51299023611048,208.16636929333333,17517.687724926665
3.33,Multi learned,input,4000,150,462.4113174333334,380.25836000000004,1013.2050204499999,1668.9454485599972,1852.659609,5,0.0,66.89948577116374,389.74076268666664,18085.123086633335
3.33,Multi learned,input,6000,150,708.48088874,695.7280834999999,1426.888452499999,1639.3484868499997,1651.039559,15,0.0,76.62834652067066,613.7203632533333,18109.43312012
3.33,Multi learned,input,8000,150,922.7121613733333,936.7181909999999,1549.4334224499996,2107.2302144199984,2336.246624,20,0.0,91.64794668447347,806.65479938,18412.78603368
3.33,Multi learned,input,10000,150,1135.6721947266667,1088.422327,1615.8399767499977,2339.625190249997,3193.44453,11,0.0,73.45409541774366,1044.4120273533333,19099.443822106667
3.33,Multi learned,reuse,0.0,300,743.8446474033334,723.9739904999999,1507.80911195,2158.25854777,3193.44453,20,0.0,78.98857108333333,664.67839487,18102.343782396667
3.33,Multi learned,reuse,0.25,300,603.8418017633333,555.29654,1392.9630865000008,1856.3228535799992,2458.753907,17,0.0,82.74994404525845,510.4871473,17960.335246783332
3.33,Multi learned,reuse,0.5,300,503.2154596699999,417.2931775,1233.0593816500002,1676.0699120199995,1770.604524,21,0.0,74.25965919824071,405.51202328333335,18014.208417363334
