scope,condition,rate,seed,population,policy,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
pooled_rate,,2.5,,All requests,KV migrate,900,0.018732257777782976,58.73038889811702,2.4069383285496384,511.0292518044444,0.00831173444444433,572.1936230233333
pooled_rate,,2.5,,All requests,Multi learned,900,0.014000800000005201,57.5453003658948,2.4069383285496384,510.8209678266667,0.00831173444444433,570.7955190555556
pooled_rate,,2.5,,Redirected only,KV migrate,12,1.4049193333337233,66.6544152754434,180.52037464122287,754.619491,0.6233800833333305,1003.8225803333333
pooled_rate,,2.5,,Redirected only,Multi learned,12,1.05006000000039,33.79754969211006,180.52037464122287,713.0141444166667,0.6233800833333305,929.0055088333334
pooled_rate,,2.5,,Not redirected only,KV migrate,888,0.0,58.623307460585586,0.0,507.7374918153153,0.0,566.360799275901
pooled_rate,,2.5,,Not redirected only,Multi learned,888,0.0,57.866215915540536,0.0,508.0886276024775,0.0,565.954843518018
pooled_rate,,3.33,,All requests,KV migrate,900,79.3553377844444,88.3803335275845,16.99976614574885,531.6153400111111,0.056599859999998614,716.4073773288889
pooled_rate,,3.33,,All requests,Multi learned,900,0.1395212522221736,78.66605810894416,11.22914732772255,526.8925218177777,0.040054438888889266,616.9673029455556
pooled_rate,,3.33,,Redirected only,KV migrate,82,511.3683523780485,141.57582697348852,186.58279916065808,706.4904620731708,0.6212179756097669,1546.6386585609755
pooled_rate,,3.33,,Redirected only,Multi learned,58,2.1649849482751073,47.02957129396116,174.24538956810855,692.1009304655173,0.6215343965517377,916.1624106724138
pooled_rate,,3.33,,Not redirected only,KV migrate,818,36.048409671149145,83.04777794987776,0.0,514.0850710513447,0.0,633.1812586723717
pooled_rate,,3.33,,Not redirected only,Multi learned,842,0.0,80.84529354275536,0.0,515.5123701532067,0.0,596.357663695962
workload,mixed_rate2p5_seed1,2.5,1,All requests,KV migrate,300,0.03461513666667639,60.256062398982245,4.227506737684418,508.75696868333335,0.012447663333333026,573.28760062
workload,mixed_rate2p5_seed1,2.5,1,All requests,Multi learned,300,0.03394218000000974,57.50898528231558,4.227506737684418,508.79999588,0.012447663333333026,570.5828777433334
workload,mixed_rate2p5_seed1,2.5,1,Redirected only,KV migrate,6,1.73075683333382,80.20365694911195,211.37533688422093,690.8362543333334,0.6223831666666513,984.7683881666667
workload,mixed_rate2p5_seed1,2.5,1,Redirected only,Multi learned,6,1.697109000000487,60.65844994911194,211.37533688422093,661.6790455,0.6223831666666513,936.0323245
workload,mixed_rate2p5_seed1,2.5,1,Not redirected only,KV migrate,294,0.0,59.848968632653055,0.0,505.04106489455785,0.0,564.8900335272108
workload,mixed_rate2p5_seed1,2.5,1,Not redirected only,Multi learned,294,0.0,57.44471049319728,0.0,505.6800152755102,0.0,563.1247257687075
