seed,policy_label,policy_dir,note,request_count,redirects,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,component_Router queue,component_Scheduler queue,component_KV transfer,component_Compute / prefill,component_RTT / other comm
mixed_rate3p33_seed1,KV migrate,NEAREST_MIGRATE_KV,,300,22,675.5482321066667,543.464365,1318.4795457,1528.0293367000002,2388.4760997999965,45.72156876000008,88.30538916699405,14.134426769672586,527.3414948233333,0.04535258666666664
mixed_rate3p33_seed1,Dynamic (1 candidate),NEAREST_CAPACITY_DYNAMIC_FORMULA_KV_RESERVE,,300,21,659.56394093,543.464365,1315.4248890000001,1487.3261652500003,2316.3242881599913,35.356876769999914,85.19865707208675,13.783732854579883,525.1813065366667,0.0433676966666674
mixed_rate3p33_seed1,Multi no-model,NEAREST_CAPACITY_MULTI_PRESSURE_KV_RESERVE,,300,17,596.0997409633334,513.9444925,1209.0311698000003,1347.6495496500008,1856.2858176599968,0.0888598766666604,69.3598784427535,10.920148900579882,515.6958294733333,0.03502427000000097
mixed_rate3p33_seed1,"Multi no-model, no-reserve",NEAREST_CAPACITY_MULTI_PRESSURE_KV_RESERVE_NO_RESERVATION,reservation ablation pair,300,17,596.0997409633334,513.9444925,1209.0311698000003,1347.6495496500008,1856.2858176599968,0.0888598766666604,69.3598784427535,10.920148900579882,515.6958294733333,0.03502427000000097
mixed_rate3p33_seed1,Multi pressure+gate,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,,300,17,596.0997409633334,513.9444925,1209.0311698000003,1347.6495496500008,1856.2858176599968,0.0888598766666604,69.3598784427535,10.920148900579882,515.6958294733333,0.03502427000000097
mixed_rate3p33_seed1,Multi learned,NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE,,300,16,598.32731537,521.7255585,1226.682039,1347.6495496500008,1856.1265907199968,0.09745119999989527,70.48448195942017,10.92014890057988,516.79229362,0.03293969000000274
mixed_rate3p33_seed1,"Multi learned, no-reserve",NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE_NO_RESERVATION,reservation ablation pair,300,16,598.32731537,521.7255585,1226.682039,1347.6495496500008,1856.1265907199968,0.09745119999989527,70.48448195942017,10.92014890057988,516.79229362,0.03293969000000274
mixed_rate3p33_seed2,KV migrate,NEAREST_MIGRATE_KV,,300,29,767.1434614333333,550.724286,1380.4226071000003,1941.7866250000004,4149.863006059995,127.30524598999985,88.41460323667461,16.78067658332544,534.5829112266667,0.06002439666666959
mixed_rate3p33_seed2,Dynamic (1 candidate),NEAREST_CAPACITY_DYNAMIC_FORMULA_KV_RESERVE,,300,32,775.6608698099999,557.2746635000001,1429.7689569000017,2011.9460545000004,4149.863006059995,137.08304627333314,85.00416692013026,19.243807303203162,534.2637306766667,0.06611863666666196
mixed_rate3p33_seed2,Multi no-model,NEAREST_CAPACITY_MULTI_PRESSURE_KV_RESERVE,,300,21,613.8762600700001,541.9595314999999,1269.110244,1346.2702606500002,1940.0620085799992,0.17720784666659029,75.18861455255235,9.550585930781066,528.9163444766667,0.04350726333333199
mixed_rate3p33_seed2,"Multi no-model, no-reserve",NEAREST_CAPACITY_MULTI_PRESSURE_KV_RESERVE_NO_RESERVATION,reservation ablation pair,300,21,613.8762600700001,541.9595314999999,1269.110244,1346.2702606500002,1940.0620085799992,0.17720784666659029,75.18861455255235,9.550585930781066,528.9163444766667,0.04350726333333199
mixed_rate3p33_seed2,Multi pressure+gate,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,,300,21,613.8762600700001,541.9595314999999,1269.110244,1346.2702606500002,1940.0620085799992,0.17720784666659029,75.18861455255235,9.550585930781066,528.9163444766667,0.04350726333333199
mixed_rate3p33_seed2,Multi learned,NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE,,300,21,628.57319552,548.2767289999999,1305.0712313,1385.4567818,1951.5852549099993,0.18049084999992715,85.39774038588568,9.550585930781066,533.40087109,0.04350726333333199
mixed_rate3p33_seed2,"Multi learned, no-reserve",NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE_NO_RESERVATION,reservation ablation pair,300,21,628.57319552,548.2767289999999,1305.0712313,1385.4567818,1951.5852549099993,0.18049084999992715,85.39774038588568,9.550585930781066,533.40087109,0.04350726333333199
