rate,population,policy,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
2.5,All requests,KV migrate,900,0.018732257777782976,58.73038889811702,2.4069383285496384,511.0292518044444,0.00831173444444433,572.1936230233333
2.5,All requests,Multi no model,900,0.017361134444449706,58.48615440145036,2.4069383285496384,510.40136171222224,0.00831173444444433,571.320127311111
2.5,All requests,Multi learned,900,0.014000800000005201,57.5453003658948,2.4069383285496384,510.8209678266667,0.00831173444444433,570.7955190555556
2.5,Redirected only,KV migrate,12,1.4049193333337233,66.6544152754434,180.52037464122287,754.619491,0.6233800833333305,1003.8225803333333
2.5,Redirected only,Multi no model,12,1.302085083333728,79.10553235877673,180.52037464122287,706.1311579166667,0.6233800833333305,967.6825300833334
2.5,Redirected only,Multi learned,12,1.05006000000039,33.79754969211006,180.52037464122287,713.0141444166667,0.6233800833333305,929.0055088333334
2.5,Not redirected only,KV migrate,888,0.0,58.623307460585586,0.0,507.7374918153153,0.0,566.360799275901
2.5,Not redirected only,Multi no model,888,0.0,58.20751415878379,0.0,507.7563644662162,0.0,565.963878625
2.5,Not redirected only,Multi learned,888,0.0,57.866215915540536,0.0,508.0886276024775,0.0,565.954843518018
3.33,All requests,KV migrate,900,79.3553377844444,88.3803335275845,16.99976614574885,531.6153400111111,0.056599859999998614,716.4073773288889
3.33,All requests,Multi no model,900,0.12766632111105972,73.1516864253439,10.288448011322815,523.8896580044444,0.03796985888888749,607.4954286211112
3.33,All requests,Multi learned,900,0.1395212522221736,78.66605810894416,11.22914732772255,526.8925218177777,0.040054438888889266,616.9673029455556
3.33,Redirected only,KV migrate,82,511.3683523780485,141.57582697348852,186.58279916065808,706.4904620731708,0.6212179756097669,1546.6386585609755
3.33,Redirected only,Multi no model,55,2.0890852545446137,31.8846873965366,168.35642200346425,669.1869305272727,0.6213249636363685,872.1384501454545
3.33,Redirected only,Multi learned,58,2.1649849482751073,47.02957129396116,174.24538956810855,692.1009304655173,0.6215343965517377,916.1624106724138
3.33,Not redirected only,KV migrate,818,36.048409671149145,83.04777794987776,0.0,514.0850710513447,0.0,633.1812586723717
3.33,Not redirected only,Multi no model,845,0.0,75.83770411360946,0.0,514.4324390828402,0.0,590.2701431964498
3.33,Not redirected only,Multi learned,842,0.0,80.84529354275536,0.0,515.5123701532067,0.0,596.357663695962
