rate,policy,requests,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,redirects,router_wait_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,completion_mean_ms
2.5,KV migrate,900,572.1936230233333,517.5869995,1332.38443395,1780.0708006599998,2491.945961,12,0.0,58.73038889811702,511.0292518044444,16463.251481824445
2.5,Multi no model,900,571.320127311111,511.4743075,1327.7026619499998,1779.9626145099999,2491.945961,12,0.0,58.48615440145036,510.40136171222224,16449.05249718778
2.5,Multi learned,900,570.7955190555556,506.15685699999995,1332.38443395,1807.1353336599998,2491.945961,12,0.0,57.5453003658948,510.8209678266667,16472.573766143334
3.33,KV migrate,900,716.407377328889,550.261915,1677.4879443999982,3294.167769229997,13020.562466,82,79.18646517777778,88.3803335275845,531.6153400111111,18430.21572885889
3.33,Multi no model,900,607.495428621111,536.639915,1353.5839293,1885.20117447,3193.44453,55,0.0,73.1516864253439,523.8896580044444,17868.99412255
3.33,Multi learned,900,616.9673029455555,539.5053835,1374.7907648999997,1891.2696298399997,3193.44453,58,0.0,78.66605810894416,526.8925218177777,18025.62914884778
