request_id,decision_time_ns,reevaluation_count,home_instance_id,candidate_instance_id,candidate_count,admissible_candidate_count,capacity_pressure_rank,model_ttft_rank,selected_by_model,predicted_total_ttft_ms,predicted_route_probability,predicted_route_positive_ms,predicted_route_upper_ms,predicted_route_ms,predicted_scheduler_raw_ms,predicted_scheduler_ms,predicted_compute_ms,predicted_formula_ttft_ms,request_migration_ms,kv_migration_ms,downlink_ms,candidate_waiting_reqs,candidate_running_reqs,candidate_max_num_seqs,candidate_required_kv_bytes,candidate_free_npu_bytes,candidate_projected_active_kv_bytes,candidate_kv_budget_bytes,candidate_available_kv_bytes,candidate_reserved_kv_bytes,candidate_reserved_slots,candidate_reserved_prefill_tokens,candidate_capacity_pressure,candidate_slot_pressure,candidate_admissible,feature_request_rate_rps,feature_arrival_offset_s,feature_interarrival_ms,feature_global_arrivals_1s,feature_global_arrivals_5s,feature_home_arrivals_1s,feature_home_arrivals_5s,feature_home_workload_share,feature_input_tokens,feature_output_tokens,feature_home_cached_prefix_tokens,feature_router_initial_waiting_reqs,feature_router_initial_running_reqs,feature_router_initial_required_kv_bytes,feature_router_initial_available_kv_bytes,feature_router_initial_projected_active_kv_bytes,feature_router_initial_capacity_pressure,feature_router_initial_slot_pressure,feature_router_initial_admissible_candidate_count,feature_router_initial_total_waiting_reqs,feature_router_initial_max_waiting_reqs,feature_router_initial_total_running_reqs,feature_router_initial_max_running_reqs,feature_router_initial_min_available_kv_bytes,feature_router_initial_max_available_kv_bytes,feature_router_initial_min_capacity_pressure,feature_router_initial_max_capacity_pressure
49,17891375217,0,4,5,9,9,1,5,0,727.7915465989465,3.2711984308187964e-18,3.5e-05,10311.686728689352,1.1449194507865787e-22,-10.920123284076835,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,1,128,864026624,7196893184,853540864,9709281280,8855740416,0,0,0,0.17689954987069856,0.015625,1,3.3368690004150836,17.873615254,447.303116,3,12,0,1,0.08333333333333333,6000,579,2992,0,1,864026624,8855740416,853540864,0.17689954987069856,0.015625,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
49,17891375217,0,4,0,9,9,7,1,1,727.7915465989465,2.081265173890923e-14,3.5e-05,10311.686728689352,7.28442810861823e-19,-10.304271583489983,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,3,128,864026624,5418508288,2640314368,9709281280,7068966912,0,0,0,0.3609269204321579,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,0,0,0.08,6000,579,2992,0,3,864026624,7068966912,2640314368,0.3609269204321579,0.03125,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
49,17891375217,0,4,1,9,9,4,2,0,727.7915465989465,2.3583911435848984e-14,3.5e-05,10311.686728689352,8.254369002547144e-19,-10.7781271467649,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,3,128,864026624,4642562048,2606759936,9709281280,7102521344,0,0,0,0.35747100736997084,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,0,1,0.1,6000,579,2992,0,3,864026624,7102521344,2606759936,0.35747100736997084,0.03125,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
49,17891375217,0,4,2,9,9,5,3,0,727.7915465989465,2.0726519991040663e-14,3.5e-05,10311.686728689352,7.254281996864231e-19,-4.790674669259998,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,3,128,864026624,7198990336,2625634304,9709281280,7083646976,0,0,0,0.35941495846745103,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,0,1,0.07333333333333333,6000,579,2992,0,3,864026624,7083646976,2625634304,0.35941495846745103,0.03125,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
49,17891375217,0,4,3,9,9,8,4,0,727.7915465989465,2.729193375892683e-14,3.5e-05,10311.686728689352,9.55217681562439e-19,-18.386924949547364,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,3,128,864026624,6269952000,2642411520,9709281280,7066869760,0,0,0,0.36114291499854456,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,0,0,0.11666666666666667,6000,579,2992,0,3,864026624,7066869760,2642411520,0.36114291499854456,0.03125,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
49,17891375217,0,4,6,9,9,9,8,0,822.8663138693512,2.4806791608348024e-12,3.5e-05,10311.686728689352,8.682377062921807e-17,95.07476727040459,95.07476727040459,410.4569855989465,505.5317528693511,0.318818,316.715168,0.300575,0,4,128,864026624,6374809600,3508535296,9709281280,6200745984,0,0,0,0.45034867091624725,0.0390625,1,3.3368690004150836,17.873615254,447.303116,3,12,1,1,0.1,6000,579,2992,0,4,864026624,6200745984,3508535296,0.45034867091624725,0.0390625,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
49,17891375217,0,4,7,9,9,3,6,0,727.7915465989465,2.7751362494375553e-16,3.5e-05,10311.686728689352,9.712976873031443e-21,-15.98359673983678,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,2,128,864026624,6255271936,1746927616,9709281280,7962353664,0,0,0,0.26891323515142823,0.0234375,1,3.3368690004150836,17.873615254,447.303116,3,12,0,0,0.09666666666666666,6000,579,2992,0,2,864026624,7962353664,1746927616,0.26891323515142823,0.0234375,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
49,17891375217,0,4,8,9,9,2,7,0,727.7915465989465,3.846242415476377e-18,3.5e-05,10311.686728689352,1.346184845416732e-22,-14.531825731885595,0.0,410.4569855989465,410.4569855989465,0.318818,316.715168,0.300575,0,1,128,864026624,5431091200,866123776,9709281280,8843157504,0,0,0,0.1781955172690187,0.015625,1,3.3368690004150836,17.873615254,447.303116,3,12,0,1,0.1,6000,579,2992,0,1,864026624,8843157504,866123776,0.1781955172690187,0.015625,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
49,17891375217,0,4,9,9,9,6,9,0,828.0307850159228,3.113880717452899e-14,3.5e-05,10311.686728689352,1.0898582511085145e-18,100.23923841697625,100.23923841697625,410.4569855989465,510.6962240159228,0.318818,316.715168,0.300575,0,3,128,864026624,6429335552,2634022912,9709281280,7075258368,0,0,0,0.3602789367329978,0.03125,1,3.3368690004150836,17.873615254,447.303116,3,12,1,2,0.08666666666666667,6000,579,2992,0,3,864026624,7075258368,2634022912,0.3602789367329978,0.03125,9,0,0,34,11,135782400,8855740416,0.17689954987069856,1.0750049569065527
51,18237109993,0,4,5,9,9,1,4,0,730.1509972550501,3.865723008171682e-18,0.15231895074076704,10311.839012640094,5.888228724591522e-19,2.359450656103717,2.359450656103717,410.4569855989465,412.81643625505023,0.318818,316.715168,0.300575,0,1,128,889192448,7192698880,853540864,9709281280,8855740416,0,0,0,0.17949148466733883,0.015625,1,3.3368690004150836,18.21799358,164.622106,3,14,0,1,0.08333333333333333,6000,769,2992,0,1,889192448,8855740416,853540864,0.17949148466733883,0.015625,9,1,1,35,11,135782400,8855740416,0.17949148466733883,1.077596891703193
