instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,user_id,gpu_id,user_x_m,user_y_m,gpu_x_m,gpu_y_m,distance_m,network_throughput_mbps,request_payload_bytes,first_token_payload_bytes,uplink_distance_latency_ns,uplink_serialization_latency_ns,uplink_latency_ns,downlink_distance_latency_ns,downlink_serialization_latency_ns,downlink_latency_ns,communication_latency_ns,request_send_time_ns,gpu_arrival_time_ns,first_schedule_time_ns,first_token_ready_time_ns,first_token_received_time_ns,request_end_time_ns,queueing_before_ttft_ns,prefill_service_ns,simulator_ttft_ns,e2e_ttft_ns,decode_queueing_ns,decode_active_ns,decode_after_ttft_ns,request_completion_latency_ns,ttft_bottleneck,total_latency_bottleneck,communication_ratio,queueing_ratio,prefill_ratio,decode_ratio,nearest_gpu_id,rerouted,reject_penalty_ns
0,0,meta-llama/Llama-3.1-8B,2358,531,47723149,6822115967,6774392818,84997472,104910029,12583929,"[11508715, 11508811, 11508875, 11508971, 11509035, 11509131, 11509195, 11509291, 11509355, 11509451, 11509515, 11509611, 11509675, 11509771, 11509835, 11509931, 11509995, 11510091, 47810803, 11599132, 11599324, 11599516, 11599708, 11599900, 11600092, 11600284, 11600476, 11600668, 11600860, 11601052, 11601244, 11601436, 11601628, 11601820, 34969330, 35147202, 11601682, 12548794, 11602578, 11603026, 11603474, 11603922, 11604370, 11604786, 11605234, 11605682, 11606130, 11606578, 11607026, 11607442, 11607890, 11608338, 11608786, 11609234, 11609650, 11610098, 11610546, 11610962, 11611410, 11611858, 11612274, 11612722, 11613170, 11613586, 11614034, 11614450, 11614898, 11615346, 11615762, 27764407, 11688455, 11688935, 11689447, 11689959, 11690471, 11690951, 11691463, 11691975, 11692487, 11692967, 11693479, 11693991, 11694471, 11694983, 11695495, 11695975, 11696487, 11696967, 11697479, 11697959, 11698471, 11698951, 11699463, 11699943, 11700455, 11700935, 11701415, 11701927, 11702407, 11702919, 11703399, 11703879, 11704391, 11704871, 11705351, 11705831, 11706343, 11706823, 11707303, 11707783, 11708263, 11708775, 11709255, 11709735, 11710215, 11710695, 11711143, 39146319, 86375232, 70872845, 12082650, 12083418, 12084186, 12084954, 12085722, 12086490, 12087258, 12088026, 12088794, 12089530, 12090298, 12091066, 12091834, 12092570, 12093338, 12094106, 12094874, 12095610, 12096378, 12097146, 12097882, 12098650, 12099386, 12100154, 12100922, 12101658, 12102426, 12103162, 12103930, 12104666, 12105402, 12106170, 12106906, 12107674, 12108410, 12109146, 12109914, 12110650, 12111386, 12112154, 12112890, 12113626, 12114362, 12115130, 12115866, 12116602, 12117338, 12118074, 12118810, 12119578, 12120314, 12121050, 12121786, 12122522, 12123258, 12123994, 12124730, 12125466, 12126202, 12126938, 12127674, 12128378, 12129114, 12129850, 12130586, 12131322, 12132058, 12132762, 12133498, 12134234, 12134970, 12135674, 12136410, 12137146, 12137882, 12138586, 12139322, 12140026, 12140762, 12141498, 12142202, 12142938, 12143642, 12144378, 12145082, 12145786, 12146490, 12147226, 12147930, 12148666, 12149370, 12150074, 12150810, 12151514, 12152250, 12152954, 12153658, 12154362, 12155098, 12155802, 12156506, 12157210, 12157946, 12158650, 12159354, 12160058, 12160762, 12161466, 12162202, 12162906, 12163610, 12164314, 12165018, 12165722, 12166426, 12167130, 12167834, 12168538, 12169242, 12169946, 12170650, 12171354, 12172058, 12172730, 12173434, 12174138, 12174842, 12175546, 12176250, 12176954, 12177658, 12178362, 12179066, 12179738, 12180442, 12181146, 12181818, 12182522, 12183226, 12183898, 12184602, 12185306, 12185978, 12186682, 12187354, 12188058, 12188730, 12189434, 12190106, 12190810, 12191482, 12192186, 12192858, 12193562, 12194234, 12194906, 12195610, 12196282, 12196954, 12197658, 12198330, 12199002, 12199706, 12200378, 12201050, 12201722, 12202426, 12203098, 12203770, 12204442, 12205114, 12205786, 12206490, 12207162, 12207834, 12208506, 12209178, 12209850, 12210522, 12211194, 12211866, 12212538, 12213210, 12213882, 12214554, 12215226, 12215898, 12216570, 12217242, 12217914, 12218554, 12219226, 12219898, 12220570, 12221242, 12221914, 12222554, 12223226, 12223898, 12224570, 12225210, 12225882, 12226554, 12227226, 12227866, 12228538, 12229210, 12229850, 12230522, 12231162, 12231834, 12232506, 12233146, 12233818, 12234458, 12235130, 12235770, 12236442, 12237082, 12237754, 12238394, 12239066, 12239706, 12240378, 12241050, 12241690, 12242362, 12243002, 12243642, 12244314, 12244954, 12245594, 12246234, 12246906, 12247546, 12248186, 12248858, 12249498, 12250138, 12250778, 12251418, 12252058, 12252730, 12253370, 12254010, 12254650, 12255290, 12255930, 12256570, 12257210, 12257850, 12258490, 12259130, 12259770, 12260410, 12261050, 12261690, 12262330, 12262970, 12263610, 12264250, 12264890, 12265530, 12266170, 12266810, 12267450, 12268058, 12268698, 12269338, 12269978, 12270618, 12271258, 12271898, 12272538, 12273178, 12273786, 12274426, 12275066, 12275674, 12276314, 12276954, 12277562, 12278202, 12278842, 12279450, 12280090, 12280698, 12281338, 12281978, 12282586, 12283226, 12283834, 12284474, 12285082, 12285722, 12286330, 12286970, 12287578, 12288218, 12288826, 12289434, 12290074, 12290682, 12291322, 12291930, 12292538, 12293178, 12293786, 12294394, 12295034, 12295674, 12296282, 12296890, 12297530, 12298138, 12298746, 12299354, 12299962, 12300602, 12301210, 12301818, 12302426, 12303034, 12303642, 12304282, 12304890, 12305498, 12306106, 12306714, 12307322, 12307930, 12308538, 12309146, 12309754, 12310362, 12310970, 12311578, 12312186, 12312794, 12313402, 12314010, 12314618, 12315226, 12315834, 12316442, 12317050, 12317658, 12318266, 12318874, 12319482, 12320058, 12320666, 12321274, 12321882, 12322490, 12323066, 12323674, 12324282, 12324858, 12325466, 12326074, 12326682, 12327258, 12327866, 12328474, 12329050, 12329658, 12330234, 12330842, 12331450, 12332026, 12332634, 12333210, 12333850, 12334426, 12335034, 12335610, 12336218, 12336794, 12337402, 12337978, 12338586, 12339162, 12339770, 12340346, 12340954, 12341530, 12342106, 12342714, 12343290, 12343866, 12344474, 12345050, 12345626, 12346234, 12346810, 12347386, 12347994, 12348570, 12349146, 12349754, 12350362, 12350938, 12351514, 12352090, 12352698, 12358164, 12353850, 12354426, 12355002]",11,0,340.25051651799185,155.47949981178155,250.0,500.0,356.14537871732176,100.0,9932.0,100.0,1781,794560,796341,1781,8000,9781,806122,46926808,47723149,47723149,152633178,152642959,6822115967,0,104910029,104910029,105716151,0,6669482789,6669482789,6775189159,prefill,decode,0.007625343832277813,0.0,0.9923746561677221,0.9843965982495564,0,0,0
0,5,meta-llama/Llama-3.1-8B,399,520,604999097,7176168196,6571169099,11590608,46737810,12571158,"[11601682, 12548794, 11602578, 11603026, 11603474, 11603922, 11604370, 11604786, 11605234, 11605682, 11606130, 11606578, 11607026, 11607442, 11607890, 11608338, 11608786, 11609234, 11609650, 11610098, 11610546, 11610962, 11611410, 11611858, 11612274, 11612722, 11613170, 11613586, 11614034, 11614450, 11614898, 11615346, 11615762, 27764407, 11688455, 11688935, 11689447, 11689959, 11690471, 11690951, 11691463, 11691975, 11692487, 11692967, 11693479, 11693991, 11694471, 11694983, 11695495, 11695975, 11696487, 11696967, 11697479, 11697959, 11698471, 11698951, 11699463, 11699943, 11700455, 11700935, 11701415, 11701927, 11702407, 11702919, 11703399, 11703879, 11704391, 11704871, 11705351, 11705831, 11706343, 11706823, 11707303, 11707783, 11708263, 11708775, 11709255, 11709735, 11710215, 11710695, 11711143, 39146319, 86375232, 70872845, 12082650, 12083418, 12084186, 12084954, 12085722, 12086490, 12087258, 12088026, 12088794, 12089530, 12090298, 12091066, 12091834, 12092570, 12093338, 12094106, 12094874, 12095610, 12096378, 12097146, 12097882, 12098650, 12099386, 12100154, 12100922, 12101658, 12102426, 12103162, 12103930, 12104666, 12105402, 12106170, 12106906, 12107674, 12108410, 12109146, 12109914, 12110650, 12111386, 12112154, 12112890, 12113626, 12114362, 12115130, 12115866, 12116602, 12117338, 12118074, 12118810, 12119578, 12120314, 12121050, 12121786, 12122522, 12123258, 12123994, 12124730, 12125466, 12126202, 12126938, 12127674, 12128378, 12129114, 12129850, 12130586, 12131322, 12132058, 12132762, 12133498, 12134234, 12134970, 12135674, 12136410, 12137146, 12137882, 12138586, 12139322, 12140026, 12140762, 12141498, 12142202, 12142938, 12143642, 12144378, 12145082, 12145786, 12146490, 12147226, 12147930, 12148666, 12149370, 12150074, 12150810, 12151514, 12152250, 12152954, 12153658, 12154362, 12155098, 12155802, 12156506, 12157210, 12157946, 12158650, 12159354, 12160058, 12160762, 12161466, 12162202, 12162906, 12163610, 12164314, 12165018, 12165722, 12166426, 12167130, 12167834, 12168538, 12169242, 12169946, 12170650, 12171354, 12172058, 12172730, 12173434, 12174138, 12174842, 12175546, 12176250, 12176954, 12177658, 12178362, 12179066, 12179738, 12180442, 12181146, 12181818, 12182522, 12183226, 12183898, 12184602, 12185306, 12185978, 12186682, 12187354, 12188058, 12188730, 12189434, 12190106, 12190810, 12191482, 12192186, 12192858, 12193562, 12194234, 12194906, 12195610, 12196282, 12196954, 12197658, 12198330, 12199002, 12199706, 12200378, 12201050, 12201722, 12202426, 12203098, 12203770, 12204442, 12205114, 12205786, 12206490, 12207162, 12207834, 12208506, 12209178, 12209850, 12210522, 12211194, 12211866, 12212538, 12213210, 12213882, 12214554, 12215226, 12215898, 12216570, 12217242, 12217914, 12218554, 12219226, 12219898, 12220570, 12221242, 12221914, 12222554, 12223226, 12223898, 12224570, 12225210, 12225882, 12226554, 12227226, 12227866, 12228538, 12229210, 12229850, 12230522, 12231162, 12231834, 12232506, 12233146, 12233818, 12234458, 12235130, 12235770, 12236442, 12237082, 12237754, 12238394, 12239066, 12239706, 12240378, 12241050, 12241690, 12242362, 12243002, 12243642, 12244314, 12244954, 12245594, 12246234, 12246906, 12247546, 12248186, 12248858, 12249498, 12250138, 12250778, 12251418, 12252058, 12252730, 12253370, 12254010, 12254650, 12255290, 12255930, 12256570, 12257210, 12257850, 12258490, 12259130, 12259770, 12260410, 12261050, 12261690, 12262330, 12262970, 12263610, 12264250, 12264890, 12265530, 12266170, 12266810, 12267450, 12268058, 12268698, 12269338, 12269978, 12270618, 12271258, 12271898, 12272538, 12273178, 12273786, 12274426, 12275066, 12275674, 12276314, 12276954, 12277562, 12278202, 12278842, 12279450, 12280090, 12280698, 12281338, 12281978, 12282586, 12283226, 12283834, 12284474, 12285082, 12285722, 12286330, 12286970, 12287578, 12288218, 12288826, 12289434, 12290074, 12290682, 12291322, 12291930, 12292538, 12293178, 12293786, 12294394, 12295034, 12295674, 12296282, 12296890, 12297530, 12298138, 12298746, 12299354, 12299962, 12300602, 12301210, 12301818, 12302426, 12303034, 12303642, 12304282, 12304890, 12305498, 12306106, 12306714, 12307322, 12307930, 12308538, 12309146, 12309754, 12310362, 12310970, 12311578, 12312186, 12312794, 12313402, 12314010, 12314618, 12315226, 12315834, 12316442, 12317050, 12317658, 12318266, 12318874, 12319482, 12320058, 12320666, 12321274, 12321882, 12322490, 12323066, 12323674, 12324282, 12324858, 12325466, 12326074, 12326682, 12327258, 12327866, 12328474, 12329050, 12329658, 12330234, 12330842, 12331450, 12332026, 12332634, 12333210, 12333850, 12334426, 12335034, 12335610, 12336218, 12336794, 12337402, 12337978, 12338586, 12339162, 12339770, 12340346, 12340954, 12341530, 12342106, 12342714, 12343290, 12343866, 12344474, 12345050, 12345626, 12346234, 12346810, 12347386, 12347994, 12348570, 12349146, 12349754, 12350362, 12350938, 12351514, 12352090, 12352698, 12358164, 12353850, 12354426, 12355002, 60113621, 12239962, 12240602, 12241274, 12241914, 12242554, 12243226, 12243866, 12244538, 12245178, 12245818, 12246490, 12247130, 12247770, 12248410, 12249082, 12249722, 12250362, 12251034, 12251674, 12252314, 12252954, 12253594, 12254234, 12254906]",62,0,0.5718961279435053,324.1560570046731,250.0,500.0,305.181046740051,100.0,2096.0,100.0,1526,167680,169206,1526,8000,9526,178732,604829891,604999097,616589705,651736907,651746433,7176168196,11590608,35147202,46737810,46916542,0,6524431289,6524431289,6571338305,prefill,decode,0.0038095731778356556,0.24704736337985012,0.7491430634423142,0.992860438496548,0,0,0
0,4,meta-llama/Llama-3.1-8B,298,526,588006332,7265915583,6677909251,28583373,63730575,12598435,"[11601682, 12548794, 11602578, 11603026, 11603474, 11603922, 11604370, 11604786, 11605234, 11605682, 11606130, 11606578, 11607026, 11607442, 11607890, 11608338, 11608786, 11609234, 11609650, 11610098, 11610546, 11610962, 11611410, 11611858, 11612274, 11612722, 11613170, 11613586, 11614034, 11614450, 11614898, 11615346, 11615762, 27764407, 11688455, 11688935, 11689447, 11689959, 11690471, 11690951, 11691463, 11691975, 11692487, 11692967, 11693479, 11693991, 11694471, 11694983, 11695495, 11695975, 11696487, 11696967, 11697479, 11697959, 11698471, 11698951, 11699463, 11699943, 11700455, 11700935, 11701415, 11701927, 11702407, 11702919, 11703399, 11703879, 11704391, 11704871, 11705351, 11705831, 11706343, 11706823, 11707303, 11707783, 11708263, 11708775, 11709255, 11709735, 11710215, 11710695, 11711143, 39146319, 86375232, 70872845, 12082650, 12083418, 12084186, 12084954, 12085722, 12086490, 12087258, 12088026, 12088794, 12089530, 12090298, 12091066, 12091834, 12092570, 12093338, 12094106, 12094874, 12095610, 12096378, 12097146, 12097882, 12098650, 12099386, 12100154, 12100922, 12101658, 12102426, 12103162, 12103930, 12104666, 12105402, 12106170, 12106906, 12107674, 12108410, 12109146, 12109914, 12110650, 12111386, 12112154, 12112890, 12113626, 12114362, 12115130, 12115866, 12116602, 12117338, 12118074, 12118810, 12119578, 12120314, 12121050, 12121786, 12122522, 12123258, 12123994, 12124730, 12125466, 12126202, 12126938, 12127674, 12128378, 12129114, 12129850, 12130586, 12131322, 12132058, 12132762, 12133498, 12134234, 12134970, 12135674, 12136410, 12137146, 12137882, 12138586, 12139322, 12140026, 12140762, 12141498, 12142202, 12142938, 12143642, 12144378, 12145082, 12145786, 12146490, 12147226, 12147930, 12148666, 12149370, 12150074, 12150810, 12151514, 12152250, 12152954, 12153658, 12154362, 12155098, 12155802, 12156506, 12157210, 12157946, 12158650, 12159354, 12160058, 12160762, 12161466, 12162202, 12162906, 12163610, 12164314, 12165018, 12165722, 12166426, 12167130, 12167834, 12168538, 12169242, 12169946, 12170650, 12171354, 12172058, 12172730, 12173434, 12174138, 12174842, 12175546, 12176250, 12176954, 12177658, 12178362, 12179066, 12179738, 12180442, 12181146, 12181818, 12182522, 12183226, 12183898, 12184602, 12185306, 12185978, 12186682, 12187354, 12188058, 12188730, 12189434, 12190106, 12190810, 12191482, 12192186, 12192858, 12193562, 12194234, 12194906, 12195610, 12196282, 12196954, 12197658, 12198330, 12199002, 12199706, 12200378, 12201050, 12201722, 12202426, 12203098, 12203770, 12204442, 12205114, 12205786, 12206490, 12207162, 12207834, 12208506, 12209178, 12209850, 12210522, 12211194, 12211866, 12212538, 12213210, 12213882, 12214554, 12215226, 12215898, 12216570, 12217242, 12217914, 12218554, 12219226, 12219898, 12220570, 12221242, 12221914, 12222554, 12223226, 12223898, 12224570, 12225210, 12225882, 12226554, 12227226, 12227866, 12228538, 12229210, 12229850, 12230522, 12231162, 12231834, 12232506, 12233146, 12233818, 12234458, 12235130, 12235770, 12236442, 12237082, 12237754, 12238394, 12239066, 12239706, 12240378, 12241050, 12241690, 12242362, 12243002, 12243642, 12244314, 12244954, 12245594, 12246234, 12246906, 12247546, 12248186, 12248858, 12249498, 12250138, 12250778, 12251418, 12252058, 12252730, 12253370, 12254010, 12254650, 12255290, 12255930, 12256570, 12257210, 12257850, 12258490, 12259130, 12259770, 12260410, 12261050, 12261690, 12262330, 12262970, 12263610, 12264250, 12264890, 12265530, 12266170, 12266810, 12267450, 12268058, 12268698, 12269338, 12269978, 12270618, 12271258, 12271898, 12272538, 12273178, 12273786, 12274426, 12275066, 12275674, 12276314, 12276954, 12277562, 12278202, 12278842, 12279450, 12280090, 12280698, 12281338, 12281978, 12282586, 12283226, 12283834, 12284474, 12285082, 12285722, 12286330, 12286970, 12287578, 12288218, 12288826, 12289434, 12290074, 12290682, 12291322, 12291930, 12292538, 12293178, 12293786, 12294394, 12295034, 12295674, 12296282, 12296890, 12297530, 12298138, 12298746, 12299354, 12299962, 12300602, 12301210, 12301818, 12302426, 12303034, 12303642, 12304282, 12304890, 12305498, 12306106, 12306714, 12307322, 12307930, 12308538, 12309146, 12309754, 12310362, 12310970, 12311578, 12312186, 12312794, 12313402, 12314010, 12314618, 12315226, 12315834, 12316442, 12317050, 12317658, 12318266, 12318874, 12319482, 12320058, 12320666, 12321274, 12321882, 12322490, 12323066, 12323674, 12324282, 12324858, 12325466, 12326074, 12326682, 12327258, 12327866, 12328474, 12329050, 12329658, 12330234, 12330842, 12331450, 12332026, 12332634, 12333210, 12333850, 12334426, 12335034, 12335610, 12336218, 12336794, 12337402, 12337978, 12338586, 12339162, 12339770, 12340346, 12340954, 12341530, 12342106, 12342714, 12343290, 12343866, 12344474, 12345050, 12345626, 12346234, 12346810, 12347386, 12347994, 12348570, 12349146, 12349754, 12350362, 12350938, 12351514, 12352090, 12352698, 12358164, 12353850, 12354426, 12355002, 60113621, 12239962, 12240602, 12241274, 12241914, 12242554, 12243226, 12243866, 12244538, 12245178, 12245818, 12246490, 12247130, 12247770, 12248410, 12249082, 12249722, 12250362, 12251034, 12251674, 12252314, 12252954, 12253594, 12254234, 12254906, 28610841, 12225978, 12226650, 12227322, 12227962, 12228634]",52,0,266.82518995254276,640.961798579808,250.0,500.0,141.96237415524408,100.0,1692.0,100.0,710,135360,136070,710,8000,8710,144780,587870262,588006332,616589705,651736907,651745617,7265915583,28583373,35147202,63730575,63875355,0,6614178676,6614178676,6678045321,prefill,decode,0.0022666018842478447,0.44748671846911847,0.5502466796466337,0.990435034711686,0,0,0
0,14,meta-llama/Llama-3.1-8B,835,527,1602294907,8294966910,6692672003,11137482,50283801,12628114,"[86375232, 70872845, 12082650, 12083418, 12084186, 12084954, 12085722, 12086490, 12087258, 12088026, 12088794, 12089530, 12090298, 12091066, 12091834, 12092570, 12093338, 12094106, 12094874, 12095610, 12096378, 12097146, 12097882, 12098650, 12099386, 12100154, 12100922, 12101658, 12102426, 12103162, 12103930, 12104666, 12105402, 12106170, 12106906, 12107674, 12108410, 12109146, 12109914, 12110650, 12111386, 12112154, 12112890, 12113626, 12114362, 12115130, 12115866, 12116602, 12117338, 12118074, 12118810, 12119578, 12120314, 12121050, 12121786, 12122522, 12123258, 12123994, 12124730, 12125466, 12126202, 12126938, 12127674, 12128378, 12129114, 12129850, 12130586, 12131322, 12132058, 12132762, 12133498, 12134234, 12134970, 12135674, 12136410, 12137146, 12137882, 12138586, 12139322, 12140026, 12140762, 12141498, 12142202, 12142938, 12143642, 12144378, 12145082, 12145786, 12146490, 12147226, 12147930, 12148666, 12149370, 12150074, 12150810, 12151514, 12152250, 12152954, 12153658, 12154362, 12155098, 12155802, 12156506, 12157210, 12157946, 12158650, 12159354, 12160058, 12160762, 12161466, 12162202, 12162906, 12163610, 12164314, 12165018, 12165722, 12166426, 12167130, 12167834, 12168538, 12169242, 12169946, 12170650, 12171354, 12172058, 12172730, 12173434, 12174138, 12174842, 12175546, 12176250, 12176954, 12177658, 12178362, 12179066, 12179738, 12180442, 12181146, 12181818, 12182522, 12183226, 12183898, 12184602, 12185306, 12185978, 12186682, 12187354, 12188058, 12188730, 12189434, 12190106, 12190810, 12191482, 12192186, 12192858, 12193562, 12194234, 12194906, 12195610, 12196282, 12196954, 12197658, 12198330, 12199002, 12199706, 12200378, 12201050, 12201722, 12202426, 12203098, 12203770, 12204442, 12205114, 12205786, 12206490, 12207162, 12207834, 12208506, 12209178, 12209850, 12210522, 12211194, 12211866, 12212538, 12213210, 12213882, 12214554, 12215226, 12215898, 12216570, 12217242, 12217914, 12218554, 12219226, 12219898, 12220570, 12221242, 12221914, 12222554, 12223226, 12223898, 12224570, 12225210, 12225882, 12226554, 12227226, 12227866, 12228538, 12229210, 12229850, 12230522, 12231162, 12231834, 12232506, 12233146, 12233818, 12234458, 12235130, 12235770, 12236442, 12237082, 12237754, 12238394, 12239066, 12239706, 12240378, 12241050, 12241690, 12242362, 12243002, 12243642, 12244314, 12244954, 12245594, 12246234, 12246906, 12247546, 12248186, 12248858, 12249498, 12250138, 12250778, 12251418, 12252058, 12252730, 12253370, 12254010, 12254650, 12255290, 12255930, 12256570, 12257210, 12257850, 12258490, 12259130, 12259770, 12260410, 12261050, 12261690, 12262330, 12262970, 12263610, 12264250, 12264890, 12265530, 12266170, 12266810, 12267450, 12268058, 12268698, 12269338, 12269978, 12270618, 12271258, 12271898, 12272538, 12273178, 12273786, 12274426, 12275066, 12275674, 12276314, 12276954, 12277562, 12278202, 12278842, 12279450, 12280090, 12280698, 12281338, 12281978, 12282586, 12283226, 12283834, 12284474, 12285082, 12285722, 12286330, 12286970, 12287578, 12288218, 12288826, 12289434, 12290074, 12290682, 12291322, 12291930, 12292538, 12293178, 12293786, 12294394, 12295034, 12295674, 12296282, 12296890, 12297530, 12298138, 12298746, 12299354, 12299962, 12300602, 12301210, 12301818, 12302426, 12303034, 12303642, 12304282, 12304890, 12305498, 12306106, 12306714, 12307322, 12307930, 12308538, 12309146, 12309754, 12310362, 12310970, 12311578, 12312186, 12312794, 12313402, 12314010, 12314618, 12315226, 12315834, 12316442, 12317050, 12317658, 12318266, 12318874, 12319482, 12320058, 12320666, 12321274, 12321882, 12322490, 12323066, 12323674, 12324282, 12324858, 12325466, 12326074, 12326682, 12327258, 12327866, 12328474, 12329050, 12329658, 12330234, 12330842, 12331450, 12332026, 12332634, 12333210, 12333850, 12334426, 12335034, 12335610, 12336218, 12336794, 12337402, 12337978, 12338586, 12339162, 12339770, 12340346, 12340954, 12341530, 12342106, 12342714, 12343290, 12343866, 12344474, 12345050, 12345626, 12346234, 12346810, 12347386, 12347994, 12348570, 12349146, 12349754, 12350362, 12350938, 12351514, 12352090, 12352698, 12358164, 12353850, 12354426, 12355002, 60113621, 12239962, 12240602, 12241274, 12241914, 12242554, 12243226, 12243866, 12244538, 12245178, 12245818, 12246490, 12247130, 12247770, 12248410, 12249082, 12249722, 12250362, 12251034, 12251674, 12252314, 12252954, 12253594, 12254234, 12254906, 28610841, 12225978, 12226650, 12227322, 12227962, 12228634, 26288875, 12201594, 12202266, 12202970, 12203642, 12204314, 12204986, 12205690, 12206362, 12207034, 12207706, 12208410, 12209082, 12209786, 12210458, 12211130, 12211802, 12212474, 12213146, 12213818, 12214490, 12215194, 12215866, 12216538, 12217210, 12217882, 12218554, 12219226, 12219898, 12220570, 12221242, 12221914, 12222586, 12223258, 12223930, 12224602, 12225274, 12225914, 12226586, 12227258, 12227930, 12228602, 12229274, 12229946, 12230618, 12231258, 12231930, 12232602, 12233242, 12233914, 12234554, 12235258, 12235930, 12236570, 12237242, 12237882, 12238554, 12239194, 12239866, 12240506, 12241210, 12241850, 12242522, 12243162, 12243802, 12244474, 12245114, 12245786, 12246426, 12247066, 12247770, 12248410, 12249050, 12249690, 12250362, 12251002, 12251642, 12252314, 12252954, 12253594, 12254266, 12254906, 12255546]",33,0,229.04807196410437,32.10024390403776,250.0,500.0,468.3686208992681,100.0,3840.0,100.0,2342,307200,309542,2342,8000,10342,319884,1601985365,1602294907,1613432389,1652578708,1652589050,8294966910,11137482,39146319,50283801,50603685,0,6642388202,6642388202,6692981545,prefill,decode,0.006321357822063749,0.22009231145913583,0.7735863307188005,0.9924393028029379,0,0,0
