instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,user_id,gpu_id,user_x_m,user_y_m,gpu_x_m,gpu_y_m,distance_m,network_throughput_mbps,request_payload_bytes,first_token_payload_bytes,uplink_distance_latency_ns,uplink_serialization_latency_ns,uplink_latency_ns,downlink_distance_latency_ns,downlink_serialization_latency_ns,downlink_latency_ns,communication_latency_ns,request_send_time_ns,gpu_arrival_time_ns,first_schedule_time_ns,first_token_ready_time_ns,first_token_received_time_ns,request_end_time_ns,queueing_before_ttft_ns,prefill_service_ns,simulator_ttft_ns,e2e_ttft_ns,decode_queueing_ns,decode_active_ns,decode_after_ttft_ns,request_completion_latency_ns,ttft_bottleneck,total_latency_bottleneck,communication_ratio,queueing_ratio,prefill_ratio,decode_ratio,nearest_gpu_id,rerouted,reject_penalty_ns
0,0,meta-llama/Llama-3.1-8B,10,70,46971839,827592708,780620869,0,11008270,11153805,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475]",0,0,134.36424411240122,847.4337369372327,250.0,500.0,366.1718580146029,100.0,540.0,100.0,1831,43200,45031,1831,8000,9831,54862,46926808,46971839,46971839,57980109,57989940,827592708,0,11008270,11008270,11063132,0,769612599,769612599,780665900,prefill,decode,0.004958993529138042,0.0,0.9950410064708619,0.9858287742776008,0,0,0
0,3,meta-llama/Llama-3.1-8B,4,12,571655212,961161807,389506595,255937496,266880586,11147819,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819]",6,0,762.280082457942,2.1060533511106927,750.0,500.0,714.3733372633128,100.0,516.0,100.0,3572,41280,44852,3572,8000,11572,61404,570907776,571655212,827592708,838535798,838547370,961161807,255937496,10943090,266880586,267639594,0,122626009,122626009,390254031,queueing,queueing,0.0002300275052268847,0.9587757100334796,0.040994262461293555,0.3147743380225643,1,1,4980
0,4,meta-llama/Llama-3.1-8B,13,96,593234000,2033476774,1440242774,367927807,378976929,11171219,"[11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475, 11184523, 11186571, 11188587, 11190571, 11192523, 11194443, 11196363, 11198251, 11200107, 11201963, 11203787, 11205579, 11207371, 11209131, 11210891, 11212619, 11214315, 11216011, 11217707, 11219339, 11221003, 11222603, 11224235, 11225803, 11227403, 11228939, 11230507, 11232011, 11233547]",3,0,651.592972722763,788.7233511355132,750.0,500.0,494.60902663743076,100.0,552.0,100.0,2473,44160,46633,2473,8000,10473,60156,587870263,593234000,961161807,972210929,972221402,2033476774,367927807,11049122,378976929,384351139,0,1061265845,1061265845,1445606511,queueing,decode,0.0001587074256863283,0.9706907887390491,0.029150503835264564,0.7368351635582662,1,1,3050
0,5,meta-llama/Llama-3.1-8B,15,63,605111597,2736054129,2130942532,1428365177,1439431898,11153397,"[11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283]",6,0,762.280082457942,2.1060533511106927,750.0,500.0,714.3733372633128,100.0,560.0,100.0,3572,44800,48372,3572,8000,11572,64924,604829893,605111597,2033476774,2044543495,2044555067,2736054129,1428365177,11066721,1439431898,1439725174,0,691510634,691510634,2131224236,queueing,queueing,4.510187102031685e-05,0.9922669888325741,0.007687909296405519,0.32449939677733347,1,1,4980
0,8,meta-llama/Llama-3.1-8B,18,58,905473995,3383096440,2477622445,1830580134,1841909978,11152850,"[11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963]",3,0,651.592972722763,788.7233511355132,750.0,500.0,494.60902663743076,100.0,572.0,100.0,2473,45760,48233,2473,8000,10473,61756,903845071,905473995,2736054129,2747383973,2747394446,3383096440,1830580134,11329844,1841909978,1843549375,0,635712467,635712467,2479251369,queueing,queueing,3.352711600296468e-05,0.9938155402769063,0.006150932607090701,0.25657525956836014,1,1,3050
1,1,meta-llama/Llama-3.1-8B,22,104,348160534,1511863584,1163703050,33277,11582141,11185639,"[11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475, 11184523, 11186571, 11188587, 11190571, 11192523, 11194443, 11196363, 11198251, 11200107, 11201963, 11203787, 11205579, 11207371, 11209131, 11210891, 11212619, 11214315, 11216011, 11217707, 11219339, 11221003, 11222603, 11224235, 11225803, 11227403, 11228939, 11230507, 11232011, 11233547, 11235051, 11236523, 11237995, 11239467, 11240907, 11242347, 11243787, 11245195, 11246603, 11247979, 11249355, 11250699, 11252075, 11253419, 11254731, 11256043, 11257355]",8,1,228.76222127045264,945.2706955539223,250.0,500.0,685.5325041848755,100.0,588.0,100.0,3428,47040,50468,3428,8000,11428,66354,347938952,348160534,348193811,359742675,359754103,1511863584,33277,11548864,11582141,11815151,0,1152120909,1152120909,1163924632,prefill,decode,0.005696358199063484,0.002856763899542387,0.9914468779013941,0.9899907189861128,0,1,4458
1,2,meta-llama/Llama-3.1-8B,16,69,481729388,2281644567,1799915179,1030134196,1041246719,11156889,"[11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475, 11184523, 11186571, 11188587, 11190571, 11192523]",0,1,134.36424411240122,847.4337369372327,250.0,500.0,706.9070557643807,100.0,564.0,100.0,3535,45120,48655,3535,8000,11535,63852,479613521,481729388,1511863584,1522976107,1522987642,2281644567,1030134196,11112523,1041246719,1043374121,0,758668460,758668460,1802031046,queueing,queueing,6.131888197262908e-05,0.9892670109079301,0.010671670210097194,0.4214873878716868,0,1,3662
1,6,meta-llama/Llama-3.1-8B,15,84,615537552,3219416105,2603878553,1666107015,1677173736,11165118,"[11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475, 11184523, 11186571, 11188587, 11190571, 11192523, 11194443, 11196363, 11198251, 11200107, 11201963, 11203787, 11205579, 11207371, 11209131, 11210891, 11212619, 11214315, 11216011, 11217707]",0,1,134.36424411240122,847.4337369372327,250.0,500.0,706.9070557643807,100.0,560.0,100.0,3535,44800,48335,3535,8000,11535,63532,610813769,615537552,2281644567,2292711288,2292722823,3219416105,1666107015,11066721,1677173736,1681909054,0,926704817,926704817,2608602336,queueing,queueing,3.787895798175169e-05,0.9933639365089519,0.006598184533066314,0.3558853410520457,0,1,3662
1,7,meta-llama/Llama-3.1-8B,2,9,816458759,3319686047,2503227288,2402957346,2414044736,11147819,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819]",8,1,228.76222127045264,945.2706955539223,250.0,500.0,685.5325041848755,100.0,508.0,100.0,3428,40640,44068,3428,8000,11428,59954,811936856,816458759,3219416105,3230503495,3230514923,3319686047,2402957346,11087390,2414044736,2418578067,0,89182552,89182552,2507749191,queueing,queueing,2.483487988252904e-05,0.9953824106940449,0.00459275442607255,0.0356261760551089,0,1,4458
1,9,meta-llama/Llama-3.1-8B,5,26,1027996749,3609353881,2581357132,2291689298,2302639449,11148707,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731]",7,1,445.38719405480145,721.5400323407825,250.0,500.0,376.6549448439011,100.0,520.0,100.0,1883,41600,43483,1883,8000,9883,56320,1026970077,1027996749,3319686047,3330636198,3330646081,3609353881,2291689298,10950151,2302639449,2303676004,0,278717683,278717683,2582383804,queueing,queueing,2.4458289609164604e-05,0.995220180126192,0.004755361584198924,0.10797095784251766,0,1,2954
