policy,requests,redirects,e2e_ttft_mean_ms,e2e_ttft_p50_ms,e2e_ttft_p95_ms,e2e_ttft_p99_ms,e2e_ttft_max_ms,router_queue_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,kv_transfer_mean_ms,completion_mean_ms,completion_p95_ms,case,reuse
NEAREST_KV,300,0,19377.419025363335,11786.46593,89486.30290115,104735.45400554,110689.910644,17932.53651289333,95.27145702666668,1349.6110554433335,0.0,41758.5829478,111787.01405665006,input10000_reuse00,reuse 0%
NEAREST_MIGRATE,300,93,18036.430034693338,12277.303748,65266.524625200014,94740.23821727,102981.95977,16585.409590293333,101.27898298333334,1349.5457413666666,0.0,40371.65068527334,90767.10078855,input10000_reuse00,reuse 0%
NEAREST_MIGRATE_KV,300,93,18036.430034693338,12277.303748,65266.524625200014,94740.23821727,102981.95977,16585.409590293333,101.27898298333334,1349.5457413666666,0.0,40371.65068527334,90767.10078855,input10000_reuse00,reuse 0%
NEAREST_KV,300,0,16212.563173760002,8954.91569,80167.95176645,92295.54693992,98405.800636,15075.95595056,70.60188254666667,1066.0053406533332,0.0,37317.00702123,101793.20038130006,input10000_reuse025,reuse 25%
NEAREST_MIGRATE,300,95,15574.168610063332,9714.3984185,62731.90924010001,89982.62712821999,94238.323904,14330.86686454,84.66463424666667,1158.4371821933332,0.0,37089.102139673334,83726.32371105006,input10000_reuse025,reuse 25%
NEAREST_MIGRATE_KV,300,99,16161.979436459998,8737.484559,69800.3927959,107709.32273266,108520.056124,14920.643080256665,81.0318656718972,1072.8898705066667,87.20627287476925,37223.81550387666,91870.56673865,input10000_reuse025,reuse 25%
NEAREST_KV,300,0,13426.594585653333,6106.4565695,71145.5095039,81904.41043967998,84917.961827,12615.266391193332,55.73375643000001,755.59443803,0.0,33000.50791345667,89041.8522681,input10000_reuse05,reuse 50%
NEAREST_MIGRATE,300,86,12913.477852043334,7421.7391025,51970.74813375002,73593.02611975996,83543.556438,11924.57450369,65.12486504666666,923.5974948733336,0.0,33381.42541313,74279.34407215001,input10000_reuse05,reuse 50%
NEAREST_MIGRATE_KV,300,91,10835.041348536666,5761.252689999999,40670.77768340002,50475.98386751999,60210.233202,9852.901760186667,62.75633506066639,758.9643534033332,160.2273888693333,30467.985003963335,61278.20149485,input10000_reuse05,reuse 50%
