selector,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,redirects,mean_regret_ms,oracle_wins
Learned formula,471.72168660999995,412.095827,747.82329285,932.5839493799997,1267.704366,18.0,15.688916490000004,157
Min waiting,470.0999075033333,410.556342,742.6399628,968.4135270699986,1482.898705,18.0,14.067137383333332,163
Min pressure,470.5262490366667,411.66410399999995,758.61140345,931.09228985,1111.445138,18.0,14.493478916666664,175
Random,472.93834961000005,411.426806,751.18787935,1027.5787507899997,1127.745158,17.0,16.90557949,175
Observed-policy oracle,456.03277011999995,404.88635550000004,715.5865890000001,774.1690787899989,1111.445138,,0.0,300
