request id,ttft_ms,winning_selectors,winner_count
289,399.823376,Min pressure,1
290,406.388833,Min waiting|Random,2
291,409.959338,Min pressure,1
292,544.438588,Min pressure,1
293,641.790317,Min pressure,1
294,890.405651,Min pressure,1
295,403.24585,Learned formula|Random,2
296,550.350375,Min pressure,1
297,697.342594,Min pressure,1
298,550.475916,Learned formula,1
299,749.104306,Learned formula,1
