window_index,window_start_ns,window_end_ns,window_duration_ns,time_since_start_s,gpu_id,instance_id,busy_time_ns,idle_time_ns,utilization_pct
7,7888374625,8888374625,1000000000,7.0,5,5,0,1000000000,0.0
7,7888374625,8888374625,1000000000,7.0,6,6,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,7,7,1000000000,0,100.0
7,7888374625,8888374625,1000000000,7.0,8,8,0,1000000000,0.0
7,7888374625,8888374625,1000000000,7.0,9,9,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,0,0,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,1,1,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,2,2,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,3,3,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,4,4,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,5,5,0,1000000000,0.0
8,8888374625,9888374625,1000000000,8.0,6,6,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,7,7,1000000000,0,100.0
8,8888374625,9888374625,1000000000,8.0,8,8,906386130,93613870,90.638613
8,8888374625,9888374625,1000000000,8.0,9,9,1000000000,0,100.0
9,9888374625,10888374625,1000000000,9.0,0,0,1000000000,0,100.0
9,9888374625,10888374625,1000000000,9.0,1,1,833644446,166355554,83.3644446
9,9888374625,10888374625,1000000000,9.0,2,2,1000000000,0,100.0
9,9888374625,10888374625,1000000000,9.0,3,3,1000000000,0,100.0
9,9888374625,10888374625,1000000000,9.0,4,4,1000000000,0,100.0
9,9888374625,10888374625,1000000000,9.0,5,5,286274103,713725897,28.6274103
9,9888374625,10888374625,1000000000,9.0,6,6,1000000000,0,100.0
9,9888374625,10888374625,1000000000,9.0,7,7,1000000000,0,100.0
9,9888374625,10888374625,1000000000,9.0,8,8,1000000000,0,100.0
9,9888374625,10888374625,1000000000,9.0,9,9,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,0,0,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,1,1,0,1000000000,0.0
10,10888374625,11888374625,1000000000,10.0,2,2,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,3,3,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,4,4,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,5,5,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,6,6,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,7,7,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,8,8,1000000000,0,100.0
10,10888374625,11888374625,1000000000,10.0,9,9,1000000000,0,100.0
11,11888374625,12888374625,1000000000,11.0,0,0,1000000000,0,100.0
11,11888374625,12888374625,1000000000,11.0,1,1,0,1000000000,0.0
11,11888374625,12888374625,1000000000,11.0,2,2,1000000000,0,100.0
11,11888374625,12888374625,1000000000,11.0,3,3,1000000000,0,100.0
