arm,requests,Decode queue,Decode active,Total
1: no_redirect,300,0.0,29.083293881954408,29.083293446666648
2: redirect_no_kv,300,0.0,32.429792512052074,32.42979204666667
3: redirect_kv_pp1,300,0.0,28.8937045939583,28.89370412333332
4: redirect_kv_pp2,300,1.3125787113637128,60.18107575487332,61.493653993333304
