case,term,transformed_value,coefficient,contribution
low_load,intercept,1.0,2.751543290358685,2.751543290358685
low_load,input_tokens,-1.6035674514745464,0.04243648887401638,-0.06804977231323439
low_load,output_tokens,-1.1041407575763533,-0.0064558861664619095,0.007128207042663952
low_load,home_cached_prefix_tokens,-0.5975228230874312,-0.16308870693826572,0.09744922458343126
low_load,request_rate_rps,-0.916481042365336,-0.05307521374084819,0.048642427212975556
low_load,arrival_offset_s,1.645768460636797,0.024936098125469805,0.041039043826242565
low_load,interarrival_ms,-0.14432775781301227,-0.0642177657969569,0.009268406149235938
low_load,global_arrivals_1s,-0.45457117197730723,-0.016567779121769592,0.007531234772443965
low_load,global_arrivals_5s,-0.5865054741847149,0.051819571403432296,-0.03039246229801875
low_load,home_arrivals_1s,1.3439837802600172,0.6292217475789705,0.8456638229329991
low_load,home_arrivals_5s,0.45453358289045237,0.09812084487818726,0.04459921917872075
low_load,home_workload_share,-0.6888335954728828,-0.03347672793951644,0.023059894871244623
low_load,router_initial_waiting_reqs,-0.11128538715157643,0.1102758219104991,-0.012272087534768187
low_load,router_initial_running_reqs,-0.008614463341846035,0.0261209973733792,-0.0002250183743254317
low_load,router_initial_required_kv_bytes,-1.6774751383764774,0.04289627062263502,-0.0719574274985395
low_load,router_initial_available_kv_bytes,0.5720813504010022,-0.09111263284571842,-0.0521238380369693
low_load,router_initial_projected_active_kv_bytes,-0.5720813504010022,0.09111263284571848,-0.052123838036969336
low_load,router_initial_capacity_pressure,-0.6677269735610789,0.0918779770374878,-0.061349403544156036
low_load,router_initial_slot_pressure,-0.008614463341846035,0.026120997373378977,-0.00022501837432542976
low_load,router_initial_admissible_candidate_count,0.7681282483012779,0.07030636385108187,0.054004304109363806
low_load,router_initial_total_waiting_reqs,-0.3834561804026826,-0.013680240350688261,0.005245772711865575
low_load,router_initial_max_waiting_reqs,-0.39607343495626596,-0.01750225351508896,0.0069321776691966645
low_load,router_initial_total_running_reqs,-0.8589202361793535,-0.028083071521185315,0.02412111842361817
low_load,router_initial_max_running_reqs,-0.5682585725620788,-0.015600955093602972,0.008865376472095917
low_load,router_initial_min_available_kv_bytes,1.4516703465551304,-0.05454409267599693,-0.07918004191749961
low_load,router_initial_max_available_kv_bytes,0.5696402912265192,-0.015086845151906026,-0.008594074866021147
low_load,router_initial_min_capacity_pressure,-0.7528401604257708,0.019756940989121407,-0.014873818623772647
low_load,router_initial_max_capacity_pressure,-1.5273277996322892,0.05577678144496684,-0.08518942887491229
low_load,policy_NEAREST_KV,1.0,0.002326165665120116,0.002326165665120116
low_load,policy_NEAREST_MIGRATE,0.0,0.005778106178601487,0.0
low_load,policy_NEAREST_MIGRATE_KV,0.0,-0.008104271843721178,-0.0
cache_reuse,intercept,1.0,2.751543290358685,2.751543290358685
cache_reuse,input_tokens,-0.2672612419124244,0.04243648887401638,-0.011341628718872399
cache_reuse,output_tokens,-1.2669483524636602,-0.0064558861664619095,0.008179274342291851
cache_reuse,home_cached_prefix_tokens,1.1912194594741958,-0.16308870693826572,-0.1942744413253464
cache_reuse,request_rate_rps,0.7204003638984143,-0.05307521374084819,-0.038235403292893155
cache_reuse,arrival_offset_s,-0.3924155256411065,0.024936098125469805,-0.009785312053344444
cache_reuse,interarrival_ms,-0.799617358107257,-0.0642177657969569,0.05134964023011324
cache_reuse,global_arrivals_1s,-0.45457117197730723,-0.016567779121769592,0.007531234772443965
cache_reuse,global_arrivals_5s,0.8207859972365616,0.051819571403432296,0.04253277859073739
cache_reuse,home_arrivals_1s,1.3439837802600172,0.6292217475789705,0.8456638229329991
cache_reuse,home_arrivals_5s,-0.3351965804327274,0.09812084487818726,-0.03288977167233846
cache_reuse,home_workload_share,-0.21047693195004621,-0.03347672793951644,0.007046078988435813
