case,input_tokens,home_cached_prefix_tokens,request_rate_rps,policy,router_initial_waiting_reqs,router_initial_running_reqs,router_initial_capacity_pressure,router_initial_slot_pressure,router_initial_admissible_candidate_count,route_logit,route_probability,tail_log_raw,tail_log_clipped,route_positive_ms,route_expected_ms,scheduler_raw_ms,scheduler_ms,compute_intercept_ms,compute_input_contribution_ms,compute_cache_contribution_ms,compute_ms,communication_ms,ttft_ms,observed_row_ttft_ms
low_load,4000.0,0.0,2.3185830382447685,NEAREST_KV,0.0,5.0,0.3697826976540121,0.046875,10.0,-32.747032714371144,5.999905268616723e-15,7.679972602514907,7.679972602514907,2163.5604675219456,1.2981157848055783e-11,96.83921067438347,96.83921067438347,-96.33729485796232,576.1739636640881,-0.0,479.8366688061258,0.0,576.6758794805222,627.461192
cache_reuse,6000.0,2992.0,3.326229654655415,NEAREST_MIGRATE,0.0,6.0,0.6246562859903055,0.0546875,9.0,-18.599563131734538,8.362042344568272e-09,-0.37064083684617266,3.499938751429129e-05,3.5e-05,2.926714820598895e-13,107.79171536597298,107.79171536597298,-96.33729485796232,864.2609454961322,-357.46666503922336,410.4569855989465,0.0,518.2487009649197,420.590758
capacity_boundary,6000.0,0.0,4.7331674208632775,NEAREST_KV,0.0,10.0,0.9853672118560768,0.0859375,5.0,-0.35536652350202763,0.41208166087410464,8.515914121983979,8.515914121983979,4992.6087411419785,2057.362502144359,69.83610833144385,69.83610833144385,-96.33729485796232,864.2609454961322,-0.0,767.9236506381699,0.0,2895.122261113973,758.771418
no_admissible_gpu,6000.0,0.0,4.7331674208632775,NEAREST_KV,0.0,11.0,1.086236674358661,0.09375,0.0,6.368162265016902,0.9982876286319025,9.068802174881368,9.068802174881368,8679.220190322914,8664.358142171592,9.841040557045766,9.841040557045766,-96.33729485796232,864.2609454961322,-0.0,767.9236506381699,0.0,9442.122833366808,10441.60267
