case,term,transformed_value,coefficient,contribution
low_load,intercept,1.0,-14.013231727628632,-14.013231727628632
low_load,input_tokens,-1.758853959674307,1.2003373638520713,-2.1112181253562348
low_load,output_tokens,-1.368703099268227,-0.016759261165922565,0.022938452699243855
low_load,home_cached_prefix_tokens,-0.5702290488137676,0.029309092117852483,-0.016712895719958112
low_load,request_rate_rps,-0.8012255855890411,-0.10213597573041894,0.081833956964313
low_load,arrival_offset_s,1.3776653543020723,0.13407217715863018,0.18470659344729445
low_load,interarrival_ms,-0.5195208298242274,-0.1296567715511841,0.06735939354860145
low_load,global_arrivals_1s,0.48415687245589967,-0.0406226068670686,-0.019667714291765486
low_load,global_arrivals_5s,-0.17997958159208619,-0.10790610935076496,0.019420896412180574
low_load,home_arrivals_1s,3.1088598681645117,0.07853459201499544,0.24415304137809243
low_load,home_arrivals_5s,0.35728395475428326,0.12211733559222265,0.0436305646044453
low_load,home_workload_share,0.3874688974534942,0.28823088505957256,0.1116805032460774
low_load,router_initial_waiting_reqs,-0.12253194582202237,0.09304633043358153,-0.011401147919625603
low_load,router_initial_running_reqs,-0.12491141278887072,1.7425256700528462,-0.21766134326717462
low_load,router_initial_required_kv_bytes,-1.8545769461612756,1.1924778548735429,-2.2115419384563237
low_load,router_initial_available_kv_bytes,0.6469605701943604,-2.3972669112056195,-1.5509371677816606
low_load,router_initial_projected_active_kv_bytes,-0.6469605701943604,2.3972669112056195,-1.5509371677816606
low_load,router_initial_capacity_pressure,-0.7407936297209072,2.4262288555437794,-1.7973348804318792
low_load,router_initial_slot_pressure,-0.12491141278887072,1.7425256700528462,-0.21766134326717462
low_load,router_initial_admissible_candidate_count,0.7309928442901923,-1.1936276149456668,-0.8725332452724515
low_load,router_initial_total_waiting_reqs,-0.407501740422964,-0.028945819864718874,0.011795471972842546
low_load,router_initial_max_waiting_reqs,-0.4194297166824204,0.04050119370190966,-0.0169874041996918
low_load,router_initial_total_running_reqs,-0.5399810007016925,-0.20097453757303282,0.10852243191424617
low_load,router_initial_max_running_reqs,-0.6540068075460123,-0.3278199275875237,0.2143964642914813
low_load,router_initial_min_available_kv_bytes,1.5206568409106807,-0.4226668519025954,-0.6427312397718632
low_load,router_initial_max_available_kv_bytes,0.9277743796646261,0.21629230066727773,0.2006704550778184
low_load,router_initial_min_capacity_pressure,-1.0710040819295295,-0.1082304834119082,0.11591528952335992
low_load,router_initial_max_capacity_pressure,-1.611092193356724,0.49608933129500143,-0.7992456488569343
low_load,policy_NEAREST_KV,0.0,0.1293844884768685,0.0
low_load,policy_NEAREST_MIGRATE,0.0,-0.04477169752929272,-0.0
low_load,policy_NEAREST_MIGRATE_KV,1.0,-0.08571602418372766,-0.08571602418372766
cache_reuse,intercept,1.0,-14.013231727628632,-14.013231727628632
cache_reuse,input_tokens,-0.22941573387056177,1.2003373638520713,-0.2753762772203785
cache_reuse,output_tokens,-1.2669483524636602,-0.016759261165922565,0.021233118322673796
