arm,requests,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,max_tpot_ms,redirects
1: no_redirect,600,19.020755009999988,18.736306,21.867121649999998,23.894417439999994,55.043975,0
2: redirect_no_kv,600,19.020755009999988,18.736306,21.867121649999998,23.894417439999994,55.043975,0
3: redirect_kv_nopp,600,19.020755009999988,18.736306,21.867121649999998,23.894417439999994,55.043975,0
4: redirect_kv_pp2,600,20.405730064999975,20.355353,24.374344149999995,26.15170251999995,52.177711,0
