arm,metric,requests,mean,p50,p95,p99
"Naive (PP=1, no redirect)",TTFT,300,1481.88326223,670.386148,6669.871264600001,10678.328682169997
"Naive (PP=1, no redirect)",TPOT,300,43.099642853333336,35.247127,70.5705319,229.3191857499997
"Naive (PP=1, no redirect)",TTLT,300,10.447083342963333,9.0095042755,21.7073109721,24.978169013149994
Proposed (PP=2 + KV migration),TTFT,300,726.2841935033334,689.3937655,1281.1073342500001,1465.8148213199997
Proposed (PP=2 + KV migration),TPOT,300,63.634889439999995,42.313854,252.8067723,295.19461739
Proposed (PP=2 + KV migration),TTLT,300,11.25232527965,10.3802042955,22.093940805650004,25.509872355229994
