variant,request_id,chosen_gpu,top1_correct,regret_ms,spearman
formula_old_clipped,49,0,0,268.10791599999993,-0.09999999999999999
formula_new_log1p,49,8,1,0.0,0.7333333333333334
pressure,49,5,0,3.8165930000000117,0.8499999999999999
formula_old_clipped,51,3,0,7.714667999999961,0.21666666666666667
formula_new_log1p,51,8,0,372.535435,0.08333333333333334
pressure,51,5,0,0.3193340000000262,0.15
formula_old_clipped,67,8,0,155.85861999999997,0.19999999999999998
formula_new_log1p,67,8,0,155.85861999999997,0.19999999999999998
pressure,67,7,1,0.0,0.5666666666666667
formula_old_clipped,82,0,0,4.755126000000018,-0.15
formula_new_log1p,82,0,0,4.755126000000018,-0.18333333333333335
pressure,82,6,0,226.05935899999997,0.39999999999999997
formula_old_clipped,84,3,0,3.5373540000000503,0.06666666666666667
formula_new_log1p,84,3,0,3.5373540000000503,-0.13333333333333333
pressure,84,6,0,13.618229000000042,0.049999999999999996
formula_old_clipped,90,0,0,4.944749000000002,0.5666666666666667
formula_new_log1p,90,5,1,0.0,0.5333333333333333
pressure,90,5,1,0.0,0.7
formula_old_clipped,154,1,0,189.49389900000006,-0.21666666666666667
formula_new_log1p,154,1,0,189.49389900000006,-0.21666666666666667
pressure,154,1,0,189.49389900000006,0.016666666666666666
formula_old_clipped,156,6,1,0.0,0.18333333333333335
formula_new_log1p,156,6,1,0.0,0.25
pressure,156,1,0,137.07329900000002,0.16666666666666669
formula_old_clipped,161,2,0,1.34700399999997,-0.11666666666666665
formula_new_log1p,161,9,0,14.517367000000036,-0.15
pressure,161,2,0,1.34700399999997,0.6333333333333333
formula_old_clipped,165,7,0,10.02788600000008,0.6333333333333333
formula_new_log1p,165,7,0,10.02788600000008,0.6666666666666667
pressure,165,7,0,10.02788600000008,0.7333333333333334
formula_old_clipped,173,1,0,557.7409279999999,0.18333333333333335
formula_new_log1p,173,2,1,0.0,0.31666666666666665
pressure,173,2,1,0.0,0.26666666666666666
formula_old_clipped,175,2,0,0.18702700000005734,0.8333333333333333
formula_new_log1p,175,2,0,0.18702700000005734,0.7666666666666667
pressure,175,2,0,0.18702700000005734,0.4666666666666666
formula_old_clipped,197,8,0,149.16378399999996,0.3
formula_new_log1p,197,9,1,0.0,0.31666666666666665
pressure,197,9,1,0.0,0.26666666666666666
formula_old_clipped,203,9,1,0.0,0.9047619047619048
formula_new_log1p,203,9,1,0.0,0.8571428571428572
pressure,203,9,1,0.0,0.5952380952380953
formula_old_clipped,205,9,0,7.183597000000077,0.5333333333333333
formula_new_log1p,205,9,0,7.183597000000077,0.5166666666666667
pressure,205,9,0,7.183597000000077,0.6833333333333333
formula_old_clipped,263,0,1,0.0,0.75
formula_new_log1p,263,0,1,0.0,0.7333333333333334
pressure,263,0,1,0.0,0.5166666666666667
formula_old_clipped,265,0,0,2.7885420000000067,0.15
formula_new_log1p,265,0,0,2.7885420000000067,0.18333333333333335
pressure,265,2,1,0.0,0.6333333333333333
formula_old_clipped,267,4,0,16.46042799999998,0.2333333333333333
formula_new_log1p,267,2,1,0.0,0.18333333333333335
pressure,267,0,0,218.75641499999995,0.35
