excluded,n,pressure_mean_regret_ms,guardrail_mean_regret_ms,pressure_top1,guardrail_top1
(none),18,44.88236900000001,21.152011777777798,0.3888888888888889,0.3888888888888889
[82],17,34.224899000000015,22.116534470588256,0.4117647058823529,0.4117647058823529
"[82, 267]",16,22.69167925000002,23.49881787500002,0.4375,0.375
"[82, 267, 156]",15,15.066237933333356,25.065405733333357,0.4666666666666667,0.3333333333333333
"[82, 267, 156, 84]",14,15.169667142857165,26.501607285714304,0.5,0.35714285714285715
"[82, 267, 156, 84, 265]",13,16.33656461538464,28.32568923076925,0.46153846153846156,0.38461538461538464
"[82, 267, 156, 84, 265, 67]",12,17.697945000000026,17.697945000000026,0.4166666666666667,0.4166666666666667
