variant,folds,top1_accuracy,mean_regret_ms,p95_regret_ms,mean_spearman
formula_only,18,0.16666666666666666,76.62841822222224,311.5528677999995,0.28730158730158734
pressure,18,0.3888888888888889,44.88236900000001,219.85185659999993,0.4469576719576719
stage2_base,18,0.16666666666666666,13.888200277777791,35.253777299999996,0.25145502645502643
stage2_expanded,18,0.1111111111111111,28.16114411111112,76.77921739999968,0.17592592592592593
rank_model,18,0.1111111111111111,45.546632611111114,285.2231773999999,0.15092592592592594
