new_arrivals_during_window,n,mean_abs_err_ms,median_abs_err_ms,mean_actual_ttft_rank
0,129,29.329178490259235,18.912266371317628,4.3023255813953485
1,26,177.6500212036003,162.75906181064425,7.423076923076923
2,4,231.17893445384473,192.77641878728167,8.75
3,2,685.5147903713971,685.5147903713971,9.0
