redirect_group,policy,requests,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
All requests,C: Redirect / KV,300,5.274225489999877,29.943301901246667,25.33721342542012,426.48262997333336,0.04955144000000189,487.08692223
Redirected only,C: Redirect / KV,24,44.47564408333179,71.54699822391669,316.71516781775154,479.399110375,0.6193930000000023,912.7563135
Not redirected only,C: Redirect / KV,276,1.8654064818840579,26.32558917753623,0.0,421.88119689492754,0.0,450.0721925543478
All requests,D: Multi no model,300,0.13596664666659275,27.110159294268314,19.00291006906509,424.24004944666666,0.03716358000000142,470.5262490366667
Redirected only,D: Multi no model,18,2.2661107777765457,36.773497182249706,316.7151678177516,444.5302826111111,0.6193930000000023,800.9044513888888
Not redirected only,D: Multi no model,282,0.0,26.4933504929078,0.0,422.94492818085104,0.0,449.4382786737589
All requests,E: Multi learned,300,0.13359729666659276,28.026405690934983,19.002910069065088,424.52160997333334,0.03716358000000142,471.72168661
Redirected only,E: Multi learned,18,2.2266216111098793,33.207026460027485,316.7151678177516,437.0838542222222,0.6193930000000023,789.8520631111112
Not redirected only,E: Multi learned,282,0.0,27.695727769503545,0.0,423.71976459574466,0.0,451.4154923652482
