policy,requests,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,redirects,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
A: Nearest only,300,2004.0521032233335,410.18104900000003,14021.017747500004,19958.072827389995,0,1563.3613279466667,24.38328175666667,0.0,416.30749352,0.0,2004.0521032233335
B: Redirect / cold,300,518.5427145833333,412.07445900000005,917.8950139500002,2369.13549004,24,18.967768420000002,42.08782916,0.0,457.43756556333335,0.04955144,518.5427145833333
C: Redirect / KV,300,487.0869222300001,410.6481435,785.5977232500001,1338.5955663099994,24,5.274225489999877,29.943301901246667,25.33721342542012,426.48262997333336,0.04955144000000189,487.08692223
D: Multi no model,300,470.5262490366667,411.66410399999995,758.61140345,931.09228985,18,0.13596664666659275,27.110159294268314,19.00291006906509,424.24004944666666,0.03716358000000142,470.5262490366667
E: Multi learned,300,471.72168660999995,412.095827,747.82329285,932.5839493799997,18,0.13359729666659276,28.026405690934983,19.002910069065088,424.52160997333334,0.03716358000000142,471.72168661
