variant,folds,top1_accuracy,mean_regret_ms,median_regret_ms,p95_regret_ms,mean_spearman
formula_only_clipped,18,0.16666666666666666,76.62841822222224,6.064173000000039,311.5528677999995,0.28730158730158734
formula_unclipped,18,0.2222222222222222,84.42827761111113,13.463031,275.8115943499995,0.22235449735449736
pressure,18,0.3888888888888889,44.88236900000001,0.833168999999998,219.85185659999993,0.4469576719576719
guardrail_clipped,18,0.5,25.249998500000018,0.09351350000002867,194.978718,0.4793650793650793
guardrail_unclipped,18,0.5,25.249998500000018,0.09351350000002867,194.978718,0.46547619047619043
